"survey","country","region","records","children","deaths","complete_case_records","complete_case_children","complete_case_deaths","baseline"
"BJ51FL","BEN","BEN:BJ51FL:couffo",7183,2292,121,0,0,0,"regional_baseline"
"BJ51FL","BEN","BEN:BJ51FL:donga",4333,1408,119,0,0,0,"regional_baseline"
"BJ51FL","BEN","BEN:BJ51FL:littoral",5204,1605,60,0,0,0,"regional_baseline"
"BJ51FL","BEN","BEN:BJ51FL:mono",5387,1692,57,0,0,0,"regional_baseline"
"BJ51FL","BEN","BEN:BJ51FL:oueme",9612,3011,212,0,0,0,"regional_baseline"
"BJ51FL","BEN","BEN:BJ51FL:plateau",4168,1333,76,0,0,0,"regional_baseline"
"BJ51FL","BEN","BEN:BJ51FL:zou",8545,2715,161,0,0,0,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:alibori",6249,1871,97,6249,1871,97,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:atacora",8173,2490,86,8173,2490,86,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:atlantique",8750,2630,107,8750,2630,107,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:borgou",6807,2088,57,6807,2088,57,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:collines",5514,1686,68,5514,1686,68,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:couffo",6167,1852,86,6167,1852,86,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:donga",4469,1371,47,4469,1371,47,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:littoral",5979,1792,54,5979,1792,54,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:mono",4927,1460,41,4927,1460,41,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:oueme",8708,2606,74,8708,2606,74,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:plateau",4818,1454,33,4818,1454,33,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:zou",7610,2311,104,7610,2311,104,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:alibori",6249,1871,97,6249,1871,97,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:atacora",8173,2490,86,8173,2490,86,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:atlantique",8750,2630,107,8750,2630,107,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:borgou",6807,2088,57,6807,2088,57,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:collines",5514,1686,68,5514,1686,68,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:couffo",6167,1852,86,6167,1852,86,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:donga",4469,1371,47,4469,1371,47,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:littoral",5979,1792,54,5979,1792,54,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:mono",4927,1460,41,4927,1460,41,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:oueme",8708,2606,74,8708,2606,74,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:plateau",4818,1454,33,4818,1454,33,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:zou",7610,2311,104,7610,2311,104,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:alibori",6249,1871,97,6249,1871,97,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:atacora",8173,2490,86,8173,2490,86,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:atlantique",8750,2630,107,8750,2630,107,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:borgou",6807,2088,57,6807,2088,57,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:collines",5514,1686,68,5514,1686,68,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:couffo",6167,1852,86,6167,1852,86,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:donga",4469,1371,47,4469,1371,47,"regional_baseline"
