"label","n_hh","w_hh","matched","numeric_code","group_rule_improved","svkey","v113_class"
"protected well",616,598.921219,TRUE,FALSE,NA,"CM61FL","character"
"public tap/standpipe",2208,2343.072118,TRUE,FALSE,NA,"CM61FL","character"
"rainwater",15,10.536083,TRUE,FALSE,NA,"CM61FL","character"
"river/dam/lake/ponds/stream/canal/irrigation channel",807,801.531547999998,FALSE,FALSE,NA,"CM61FL","character"
"tanker truck",1,1.180156,FALSE,FALSE,NA,"CM61FL","character"
"tube well or borehole",1423,1379.27804299999,TRUE,FALSE,NA,"CM61FL","character"
"unprotected spring",1012,809.14255,FALSE,FALSE,NA,"CM61FL","character"
"unprotected well",809,844.766964999999,FALSE,FALSE,NA,"CM61FL","character"
"bottled water",104,116.543927,TRUE,FALSE,NA,"CM71FL","character"
"cart with small tank",33,31.729027,FALSE,FALSE,NA,"CM71FL","character"
"not a dejure resident",253,216.277156,FALSE,FALSE,NA,"CM71FL","character"
"other",3,1.660585,FALSE,FALSE,NA,"CM71FL","character"
"piped into dwelling",490,529.390862999999,TRUE,FALSE,NA,"CM71FL","character"
"piped to neighbor",689,697.123772,TRUE,FALSE,NA,"CM71FL","character"
"piped to yard/plot",491,480.265123,TRUE,FALSE,NA,"CM71FL","character"
"protected spring",428,385.935599,TRUE,FALSE,NA,"CM71FL","character"
"protected well",313,326.101773,TRUE,FALSE,NA,"CM71FL","character"
"public tap/standpipe",809,784.256652,TRUE,FALSE,NA,"CM71FL","character"
"rainwater",34,36.869878,TRUE,FALSE,NA,"CM71FL","character"
"river/dam/lake/ponds/stream/canal/irrigation channel",376,458.520882999999,FALSE,FALSE,NA,"CM71FL","character"
"sachet water",8,7.465914,TRUE,FALSE,NA,"CM71FL","character"
"tanker truck",3,3.784641,FALSE,FALSE,NA,"CM71FL","character"
"tube well or borehole",2125,2288.008098,TRUE,FALSE,NA,"CM71FL","character"
"unprotected spring",575,473.925254,FALSE,FALSE,NA,"CM71FL","character"
"unprotected well",690,773.665566999998,FALSE,FALSE,NA,"CM71FL","character"
"bottled water",2,1.599472,TRUE,FALSE,NA,"CD51FL","character"
"dam",2,0.825805,FALSE,FALSE,NA,"CD51FL","character"
"not dejure resident",52,50.899863,FALSE,FALSE,NA,"CD51FL","character"
"open public well",313,250.241224,FALSE,FALSE,NA,"CD51FL","character"
"open well in dwelling",20,23.655407,FALSE,FALSE,NA,"CD51FL","character"
"open well in yard/plot",26,19.91617,FALSE,FALSE,NA,"CD51FL","character"
"other",4,5.452407,FALSE,FALSE,NA,"CD51FL","character"
"piped into dwelling",154,155.743876,TRUE,FALSE,NA,"CD51FL","character"
"piped to yard/plot",407,374.479512,TRUE,FALSE,NA,"CD51FL","character"
"protected public well",153,168.209329,TRUE,FALSE,NA,"CD51FL","character"
"protected spring",1010,1047.035545,TRUE,FALSE,NA,"CD51FL","character"
