"svkey","regkey","recomputed","corrected","share_numeric_codes"
"CM61FL","southwest",65.3431283389994,66.476256964463,0
"CM61FL","west",65.9064732405773,67.8727100979949,0
"CM61FL","yaounde",96.331099302766,98.0002931572582,0
"CM71FL","adamawa",59.172737006581,60.1701783730181,0
"CM71FL","centre",63.2319710957473,65.4411508876246,0
"CM71FL","douala",97.3902442514836,99.8870902830329,0
"CM71FL","east",66.1181961474242,69.9014664899526,0
"CM71FL","farnorth",74.879459114568,75.2836874362684,0
"CM71FL","littoral",83.8632231716741,87.152575398453,0
"CM71FL","north",39.8764537252004,40.5105558966525,0
"CM71FL","northwest",78.9498411058658,81.1665126315918,0
"CM71FL","south",78.6863271465561,83.188844097613,0
"CM71FL","southwest",95.9676530790704,97.5958362448045,0
"CM71FL","west",70.4599247890189,75.4503659181937,0
"CM71FL","yaounde",96.2925114994328,98.4459916923269,0
"CD51FL","bandundu",30.0273816889168,30.1276642799609,0
"CD51FL","bascongo",51.4023701254436,51.8325053985598,0
"CD51FL","equateur",11.6749295735601,11.7558244011476,0
"CD51FL","kasaioccident",24.2024383811275,24.3964344549513,0
"CD51FL","kasaioriental",65.7166859238383,66.3608485159976,0
"CD51FL","katanga",46.7147574787609,46.8082508105173,0
"CD51FL","kinshasa",91.9452492591784,93.1044391237955,0
"CD51FL","maniema",43.7949708821677,43.9963843473393,0
"CD51FL","nordkivu",72.0152139983748,73.4136480268781,0
"CD51FL","orientale",35.46334875266,35.9482074757684,0
"CD51FL","sudkivu",62.7763989167037,63.1232981613382,0
"CD61FL","bandundu",28.3941932743398,28.619536850541,0
"CD61FL","bascongo",60.4494907654945,60.6192404761901,0
"CD61FL","equateur",21.1577962106767,21.2121829687687,0
"CD61FL","kasaioccidental",29.1902639247942,29.4043343880704,0
"CD61FL","kasaioriental",38.5330988254377,38.7460429625077,0
"CD61FL","katanga",47.4837739047159,47.901691396369,0
"CD61FL","kinshasa",97.0870950629199,99.149312613895,0
"CD61FL","maniema",64.0727397943332,64.2470488460772,0
"CD61FL","nordkivu",79.2548508529068,80.1876907388416,0
"CD61FL","orientale",48.6300491507314,49.1649749735271,0
"CD61FL","sudkivu",71.6354157168827,71.6713825508889,0
"CD81FL","basuele",31.2246285543354,31.3706982942232,0
"CD81FL","equateur",25.5929623683852,25.6038278197028,0
"CD81FL","hautkatanga",87.517372713915,87.8247142663298,0
"CD81FL","hautlomami",44.1011713386329,44.1357421116254,0
"CD81FL","hautuele",46.6742255469874,46.6820019606274,0
"CD81FL","ituri",44.8782637482282,44.9566456119913,0
"CD81FL","kasai",24.454868372064,24.6018181820513,0
"CD81FL","kasaicentral",40.8617882388617,41.0739026436565,0
"CD81FL","kasaioriental",85.0909682353736,85.5469235873652,0
"CD81FL","kinshasa",98.5201571272493,99.3925661219042,0
"CD81FL","kongocentral",42.4174785894383,42.7584154107609,0
"CD81FL","kwango",4.04550557518769,4.05125102366926,0
"CD81FL","kwilu",33.4552210956062,33.9434050586091,0
"CD81FL","lomami",52.2374062881718,52.616071827168,0
"CD81FL","lualaba",39.939938545342,39.9466274965873,0
"CD81FL","maindombe",27.3584334198435,27.4749651293986,0
"CD81FL","maniema",32.1503166298279,32.3191717791787,0
"CD81FL","mongala",13.3285310066331,13.375809964029,0
"CD81FL","nordkivu",79.3211022889114,79.7900082957297,0
"CD81FL","nordubangi",48.1734398864001,48.3491378412743,0
"CD81FL","sankuru",5.78265969346251,5.78668537145659,0
"CD81FL","sudkivu",59.8370167239803,60.3123277205153,0
"CD81FL","sudubangi",20.3597190564109,20.6096942931523,0
"CD81FL","tanganyika",35.9861873629109,36.1758851280389,0
"CD81FL","tshopo",42.304431724185,42.7797414234885,0
"CD81FL","tshuapa",2.29883110817329,2.3035854429911,0
"CG51FL","brazzaville",0.549091204479205,90.7292332007085,95.3950591432444
"CG51FL","north",0.45210900656182,38.3828144816519,90.0744736385771
"CG51FL","pointenoire",0,91.8460384790905,92.5346142618402
"CG51FL","south",0.0101654263921499,25.9357891134916,89.3079867236167
"CG61FL","bouenza",54.8800883883334,57.6495263189599,0
"CG61FL","brazzaville",93.7529520905015,95.4909240196843,0
"CG61FL","cuvette",56.8879011693932,60.1657848297893,0
"CG61FL","cuvetteouest",20.2800141415848,21.0819157988102,0
"CG61FL","kouilou",33.1540926169834,35.0836026060565,0
"CG61FL","lekoumou",44.8973696321331,45.4952832862354,0
"CG61FL","likouala",52.7543668604343,53.6185488776045,0
"CG61FL","niari",53.0881294962005,55.0421311658339,0
"CG61FL","plateaux",47.8316447642093,48.9561747792781,0
"CG61FL","pointenoire",95.7575072313808,96.9967033212342,0
"CG61FL","pool",44.5111368826849,45.6940843751277,0
"CG61FL","sangha",49.7688156246984,51.7453537997982,0
"KM61FL","mwali",90.5872263870323,90.9734689338047,0
"KM61FL","ndzuwani",88.3466892219669,88.4219509117116,0
"KM61FL","ngazidja",83.9064607403273,84.2025934387285,0
"ET41FL","addisababa",95.9225584067045,95.9225584067045,0
"ET41FL","affar",10.9835199090663,10.9835199090663,0
"ET41FL","amhara",9.89191534616259,9.89191534616259,0
"ET41FL","benishangulgumuz",4.21136204503633,4.21136204503633,0
"ET41FL","diredawa",78.8594601901407,78.8594601901407,0
"ET41FL","gambela",17.5418867583597,17.5418867583597,0
"ET41FL","harari",50.4833168084644,50.4833168084644,0
"ET41FL","oromiya",13.5452076766123,13.5452076766123,0
"ET41FL","snnp",12.1058482073649,12.1058482073649,0
"ET41FL","somali",14.556996336034,14.556996336034,0
"ET41FL","tigray",20.9762615999688,20.9762615999688,0
"ET51FL","addisababa",97.3684620225108,99.1667617539787,0
"ET51FL","affar",38.5481271793064,38.6047864640433,0
"ET51FL","amhara",60.5266189581753,60.7763657150334,0
"ET51FL","benishangulgumuz",56.148082348739,56.2456242120017,0
