"svkey","rule","jmp","ambiguous","dhs_api","year","rule_minus_api","jmp_minus_api","numeric_code_share"
"UG5AFL",92.6202389305904,32.046498893023,0,32.5,2009,60.1202389305904,-0.453501106976979,0
"UG61FL",90.1886194618488,33.4723275480018,0,35.2,2011,54.9886194618488,-1.72767245199825,0
"UG7BFL",37.7208043488217,37.7208043488217,0,38.9,2016,-1.17919565117834,-1.17919565117834,0
"ZA71FL",73.9006134141108,74.5992765010937,0,95.6,2016,-21.6993865858892,-21.0007234989063,0
"ZM42FL",18.9172414447891,18.9172414447891,0,17.2,2002,1.71724144478914,1.71724144478914,0
"ZM51FL",36.5487588510055,36.5487588510055,0,35.5,2007,1.04875885100554,1.04875885100554,0
"ZM61FL",45.4653140864717,45.4653140864717,0,45.5,2013,-0.0346859135282926,-0.0346859135282926,0
"ZM71FL",53.832366266356,53.832366266356,0,54.4,2018,-0.567633733644037,-0.567633733644037,0
"ZM81FL",57.1243122272874,57.1243122272874,0,57.8,2024,-0.675687772712585,-0.675687772712585,0
"ZW52FL",62.9446525713605,62.7456213738377,0.199031197522768,65,2005,-2.05534742863954,-2.25437862616231,0
"ZW62FL",62.5820586718632,62.5820586718632,0,64.5,2010,-1.91794132813681,-1.91794132813681,0
"ZW72FL",65.4730159757358,65.4730159757358,0,66.9,2015,-1.42698402426423,-1.42698402426423,0
