"svkey","rule","jmp","ambiguous","dhs_api","year","rule_minus_api","jmp_minus_api","numeric_code_share"
"RW41FL",40.0151705379492,40.0151705379492,0,40.5,2000,-0.484829462050769,-0.484829462050769,0
"RW53FL",33.457184026424,33.457184026424,0,33.9,2005,-0.442815973575989,-0.442815973575989,0
"RW5AFL",41.6784169720068,41.6784169720068,0,41.6,2008,0.0784169720068064,0.0784169720068064,0
"RW61FL",72.9100557307213,72.9100557307213,0,73.8,2010,-0.889944269278743,-0.889944269278743,0
"RW70FL",71.7444004278977,71.7444004278977,0,73,2015,-1.25559957210227,-1.25559957210227,0
"RW81FL",79.689739476701,79.689739476701,0,80.4,2019,-0.710260523299056,-0.710260523299056,0
"SL51FL",50.5333548086767,50.5333548086767,0,51.4,2008,-0.866645191323272,-0.866645191323272,0
"SL61FL",59.5080656613554,59.5080656613554,0,60.9,2013,-1.39193433864464,-1.39193433864464,0
"SL7AFL",66.0572329815678,66.0572329815678,0,67,2019,-0.942767018432178,-0.942767018432178,0
"SN4AFL",68.0982632208001,68.0982632208001,0,70.6,2005,-2.50173677919985,-2.50173677919985,1.35163888371106
"SN5AFL",73.5767950426932,73.5767950426932,0,74.3,2008,-0.723204957306777,-0.723204957306777,0
"SN61FL",78.1755040128728,78.1755040128728,0,79.7,2010,-1.52449598712718,-1.52449598712718,0
"SN6DFL",74.741405352595,74.741405352595,0,78.8,2012,-4.05859464740504,-4.05859464740504,0
"SN71FL",80.9143588450237,80.9143588450237,0,83.7,2014,-2.78564115497629,-2.78564115497629,0
"SN7AFL",74.0429915901446,74.0429915901446,0,78.6,2015,-4.55700840985544,-4.55700840985544,0
"SN7IFL",80.682210997301,80.682210997301,0,85.6,2016,-4.91778900269901,-4.91778900269901,0
"SN7ZFL",79.8087175925382,79.8087175925382,0,85.1,2017,-5.29128240746181,-5.29128240746181,0
"SN81FL",80.3377792583351,80.3377792583351,0,85.6,2018,-5.26222074166485,-5.26222074166485,0
"SN8BFL",79.8981052795807,79.8981052795807,0,86.2,2019,-6.30189472041931,-6.30189472041931,0
"SN8SFL",87.3796402528727,87.6030956213971,0,90.9,2023,-3.52035974712726,-3.29690437860286,0
"ST51FL",94.4644907803112,94.4644907803112,0,94.2,2008,0.264490780311149,0.264490780311149,0
"SZ51FL",68.2438467334352,68.2438467334352,0,71.4,2006,-3.15615326656476,-3.15615326656476,0
"TD41FL",45.101897224762,38.9640858187013,0,40.4,2004,4.70189722476204,-1.43591418129865,0
"TD71FL",55.9611769939324,55.9611769939324,0,55.8,2014,0.161176993932415,0.161176993932415,0
"TG61FL",64.4477912215355,66.7642207369652,0,67.7,2013,-3.25220877846448,-0.93577926303476,0
"TZ4IFL",47.9020643129396,47.9020643129396,0,51.3,2004,-3.39793568706038,-3.39793568706038,0
"TZ63FL",49.2291763229151,49.2291763229151,0,51.8,2010,-2.57082367708492,-2.57082367708492,0
"TZ7BFL",61.4140997225169,61.4140997225169,0,64,2015,-2.58590027748308,-2.58590027748308,0
"TZ82FL",71.9760169297328,72.0339109348558,0,73.5,2022,-1.52398307026721,-1.46608906514423,0
"UG41FL",52.3015704195182,52.8825391422128,0,52.6,2000,-0.298429580481837,0.282539142212769,0
"UG52FL",67.2506092570503,68.0025860944096,0,68,2006,-0.749390742949686,0.0025860944095939,0
"UG5AFL",71.0157676797133,71.0157676797133,0,70.3,2009,0.715767679713323,0.715767679713323,0
"UG61FL",70.7640893933433,70.7640893933433,0,71.4,2011,-0.635910606656708,-0.635910606656708,0
"UG7BFL",78.2648231052375,78.2648231052375,0,79.2,2016,-0.935176894762478,-0.935176894762478,0
"ZA71FL",92.0261797317615,92.0261797317615,0,95.3,2016,-3.27382026823848,-3.27382026823848,0
"ZM42FL",52.8546120439336,52.8546120439336,0,51.3,2002,1.55461204393363,1.55461204393363,0
"ZM51FL",42.1777455720918,42.1777455720918,0,41.1,2007,1.07774557209178,1.07774557209178,0
"ZM61FL",64.92693817194,64.92693817194,0,64.7,2013,0.226938171940034,0.226938171940034,0
"ZM71FL",72.1119488700004,72.1119488700004,0,72.3,2018,-0.188051129999565,-0.188051129999565,0
"ZM81FL",70.2797958454372,70.878143897507,0,71.4,2024,-1.12020415456276,-0.521856102492961,0
"ZW52FL",76.3902340792347,76.3902340792347,0,78.5,2005,-2.10976592076531,-2.10976592076531,0
"ZW62FL",77.6433933298969,77.6433933298969,0,79,2010,-1.35660667010313,-1.35660667010313,0
"ZW72FL",77.5091696140159,77.5091696140159,0,78.4,2015,-0.890830385984074,-0.890830385984074,0
