"svkey","regkey","imp_water","imp_sanit","imp_water_api","imp_water_api_source","imp_sanit_api","imp_sanit_api_source"
"KE8CFL","siaya",53.6635187009728,55.7378355797916,58.5,"regional",57.1,"regional"
"KE8CFL","taitataveta",80.4923187332703,82.0979402328782,82.5,"regional",80,"regional"
"KE8CFL","tanariver",56.6858649893088,36.2807450691674,60.7,"regional",38.4,"regional"
"KE8CFL","tharakanithi",63.998823151669,64.0403743879263,70.5,"regional",68,"regional"
"KE8CFL","transnzoia",86.2369413753272,87.8674924339002,86.6,"regional",90,"regional"
"KE8CFL","turkana",62.3669895630859,24.1415714657131,67.7,"regional",27.4,"regional"
"KE8CFL","uasingishu",83.1001352323884,74.0926142841105,86.1,"regional",79.4,"regional"
"KE8CFL","vihiga",83.8189186538906,77.184359381998,85.6,"regional",78.7,"regional"
"KE8CFL","wajir",67.435192116045,29.4276349743581,77.6,"regional",31.7,"regional"
"KE8CFL","westpokot",43.9272882123751,31.981842655173,43.4,"regional",32.2,"regional"
"LB51FL","monrovia",81.7215542856691,49.4424199948717,90.3,"regional",51.9,"regional"
"LB51FL","northcentral",61.7523807147624,16.9088119533624,61.9,"regional",18.2,"regional"
"LB51FL","northwestern",70.7443277636533,31.8030076887768,70.6,"regional",30.5,"regional"
"LB51FL","southcentral",49.8750118049947,19.9132575486559,48.7,"regional",20.3,"regional"
"LB51FL","southeasterna",59.8851712657013,11.3350048439323,57.1,"regional",11.3,"regional"
"LB51FL","southeasternb",55.5368922803585,11.1195599523295,55.1,"regional",11.5,"regional"
"LB5AFL","monrovia",94.7142763637694,64.5351889042451,97.8,"regional",65.7,"regional"
"LB5AFL","northcentral",77.4176401073772,42.9189811113479,76.4,"regional",43.1,"regional"
"LB5AFL","northwestern",61.1654257590112,31.8433849277701,62.8,"regional",31,"regional"
"LB5AFL","southcentral",64.2624330131855,32.5541064676256,63.3,"regional",32.7,"regional"
"LB5AFL","southeasterna",45.4908132843556,23.4979576100162,47.4,"regional",26,"regional"
"LB5AFL","southeasternb",63.235317422514,32.2054473997465,60.8,"regional",31.1,"regional"
"LB6AFL","northcentral",69.1417352900008,25.7896428029566,70,"regional",26.7,"regional"
"LB6AFL","northwestern",65.7894646480454,22.9483328840283,68.4,"regional",24.2,"regional"
"LB6AFL","southcentral",77.1326417945145,56.8650902983328,83.4,"regional",57.1,"regional"
"LB6AFL","southeasterna",54.4145057184522,21.9887793297925,57.7,"regional",22.5,"regional"
"LB6AFL","southeasternb",63.4126234625738,31.8440942302319,65.5,"regional",33.7,"regional"
"LB7AFL","northcentral",80.0464946677027,35.8037423047028,79.5,"regional",35,"regional"
"LB7AFL","northwestern",77.6481195651696,23.5070916000941,79.6,"regional",26,"regional"
"LB7AFL","southcentral",88.1789490727717,63.0096529072276,89.3,"regional",62.3,"regional"
"LB7AFL","southeasterna",74.3911798754174,31.9896001236813,75.6,"regional",30.4,"regional"
"LB7AFL","southeasternb",83.2919143506224,27.4521520195224,81.4,"regional",27.2,"regional"
"MD42FL","antananarivo",53.986664624891,5.25419094275002,56.4,"regional",6.6,"regional"
"MD42FL","antsiranana",31.3658642317841,1.54202678070839,33.3,"regional",1.8,"regional"
"MD42FL","fianarantsoa",18.979571562792,0.890302039842741,18,"regional",1.2,"regional"
"MD42FL","mahajanga",29.9663841389666,1.47344976089188,29.5,"regional",1.7,"regional"
"MD42FL","toamasina",20.6632661763166,1.90913291100147,20.9,"regional",1.8,"regional"
"MD42FL","toliara",29.2931778286689,0.714987472554772,34.8,"national",3.1,"national"
"MD51FL","alaotramangoro",56.0896425985652,1.51914593935432,55.1,"regional",1.6,"regional"
"MD51FL","amoronimania",29.9906262231443,5.78800232301398,41.5,"national",4.4,"national"
"MD51FL","analamanga",76.2765761526696,16.8229486385535,77.8,"regional",14.1,"regional"
