"label","n_hh","w_hh","matched","numeric_code","svkey","variable"
"flush to septic tank",178,369.821027,TRUE,FALSE,"CG61FL","v116"
"flush to somewhere else",1,0.27386,FALSE,FALSE,"CG61FL","v116"
"hanging toilet/latrine",85,43.282761,FALSE,FALSE,"CG61FL","v116"
"no facility/bush/field",1124,554.792335,FALSE,FALSE,"CG61FL","v116"
"not a dejure resident",217,175.119778,FALSE,FALSE,"CG61FL","v116"
"other",5,6.146126,FALSE,FALSE,"CG61FL","v116"
"pit latrine with slab",1422,2238.132337,TRUE,FALSE,"CG61FL","v116"
"pit latrine without slab/open pit",4243,3300.34931299998,FALSE,FALSE,"CG61FL","v116"
"ventilated improved pit latrine (vip)",60,93.9625510000001,TRUE,FALSE,"CG61FL","v116"
"no",5539,4022.56815299997,FALSE,FALSE,"CG61FL","v119"
"not a dejure resident",217,175.119778,FALSE,FALSE,"CG61FL","v119"
"yes",1793,2923.29257199998,TRUE,FALSE,"CG61FL","v119"
"bucket toilet",1,2.448772,FALSE,FALSE,"KM61FL","v116"
"composting toilet",37,39.219458,TRUE,FALSE,"KM61FL","v116"
"flush to piped sewer system",135,122.6807,TRUE,FALSE,"KM61FL","v116"
"flush to pit latrine",42,46.948794,TRUE,FALSE,"KM61FL","v116"
"flush to septic tank",153,137.25926,TRUE,FALSE,"KM61FL","v116"
"flush to somewhere else",12,12.855602,FALSE,FALSE,"KM61FL","v116"
"flush, don't know where",8,12.27355,TRUE,FALSE,"KM61FL","v116"
"hanging toilet/latrine",120,106.532115,FALSE,FALSE,"KM61FL","v116"
"no facility/bush/field",21,17.073415,FALSE,FALSE,"KM61FL","v116"
"not a dejure resident",11,6.188031,FALSE,FALSE,"KM61FL","v116"
"pit latrine with slab",651,692.130479,TRUE,FALSE,"KM61FL","v116"
"pit latrine without slab/open pit",1540,1579.554278,FALSE,FALSE,"KM61FL","v116"
"ventilated improved pit latrine (vip)",4,2.182651,TRUE,FALSE,"KM61FL","v116"
"no",825,855.854033000002,FALSE,FALSE,"KM61FL","v119"
"not a dejure resident",11,6.188031,FALSE,FALSE,"KM61FL","v119"
"yes",1899,1915.249621,TRUE,FALSE,"KM61FL","v119"
"flush toilet",73,25.967755,TRUE,FALSE,"ET41FL","v116"
"improved (ventilated) pit latrine",68,25.95087,TRUE,FALSE,"ET41FL","v116"
"no facility, bush, field",7075,8128.22146600004,FALSE,FALSE,"ET41FL","v116"
"not de-jure resident",136,168.996829,FALSE,FALSE,"ET41FL","v116"
"traditional pit latrine",2149,1560.820967,FALSE,FALSE,"ET41FL","v116"
"no",7567,8702.61215600002,FALSE,FALSE,"ET41FL","v119"
"not dejure resident",136,168.996829,FALSE,FALSE,"ET41FL","v119"
"yes",1798,1037.75294299999,TRUE,FALSE,"ET41FL","v119"
"bucket toilet",4,1.469984,FALSE,FALSE,"ET51FL","v116"
"composting toilet",281,316.932601,TRUE,FALSE,"ET51FL","v116"
"flush to piped sewer system",24,12.33328,TRUE,FALSE,"ET51FL","v116"
"flush to pit latrine",122,138.127914,TRUE,FALSE,"ET51FL","v116"
"flush to septic tank",39,15.082809,TRUE,FALSE,"ET51FL","v116"
"flush to somewhere else",4,2.344574,FALSE,FALSE,"ET51FL","v116"
"flush, don't know where",9,10.549014,TRUE,FALSE,"ET51FL","v116"
"hanging toilet / hanging latrine",13,7.242249,FALSE,FALSE,"ET51FL","v116"
"no facility / bush / field",5321,5936.25290899994,FALSE,FALSE,"ET51FL","v116"
"not de jure resident",53,44.826303,FALSE,FALSE,"ET51FL","v116"
"other",4,1.125173,FALSE,FALSE,"ET51FL","v116"
"pit latrine with slab",955,516.683722,TRUE,FALSE,"ET51FL","v116"
"pit latrine without slab / open pit",2026,2337.438629,FALSE,FALSE,"ET51FL","v116"
"ventilated improved pit latrine (vip)",123,79.754508,TRUE,FALSE,"ET51FL","v116"
"no",6990,8256.44927300003,FALSE,FALSE,"ET51FL","v119"
"not dejure resident",53,44.826303,FALSE,FALSE,"ET51FL","v119"
"yes",1933,1117.14358400001,TRUE,FALSE,"ET51FL","v119"
"bucket toilet",4,2.01913,FALSE,FALSE,"ET61FL","v116"
"composting toilet",396,485.005134,TRUE,FALSE,"ET61FL","v116"
