"iso3","age_band","ihme_deaths","implied_person_years","ihme_rate_per100000","age_mapping","Location","pfpr_pct","population_weight_on_map","population_weight_within_raster","map_population_coverage_within_raster","legacy_density_weighted_pfpr_pct","status","map_coverage_below_95pct","exposure_year","population_weight_year","log_hr_zero_vs_current","log_hr_se","hr_zero_vs_current","hr_lower_95","hr_upper_95","monte_carlo_se_log_hr","imputations","attributable_fraction","af_lower_95","af_upper_95","counterfactual_rate_per100000","attributable_rate_per100000","attributable_rate_per100000_lower_95","attributable_rate_per100000_upper_95","counterfactual_deaths","attributable_deaths","attributable_deaths_lower_95","attributable_deaths_upper_95","model_id","hiv_treatment","uncertainty","zero_below_observed_support","current_pfpr_outside_central95","negative_attributable_estimate"
"BFA","48-59",3797.02021333418,874324.341469841,434.280510474059,"IHME 2-4 rate shared; deaths and person-time divided equally","Burkina Faso",20.8912355688325,22752144,22752144,1,20.8674487845733,"estimated",FALSE,2024,2020,-0.640729938762194,0.110823548356893,0.526907673303051,0.424034651361349,0.654738227864888,0,1,0.473092326696949,0.345261772135112,0.575965348638651,228.825733334748,205.454777139311,149.940458650015,250.130525622163,2000.67908609257,1796.34112724161,1310.9659276886,2186.95207096103,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"BWA","<1",361.573212357219,3696.88168369423,9780.49186567163,"0-27 days mapped to model <1 completed month","Botswana",0.0785030798269115,1200011,2399993,0.500006041684288,0.0693041851554974,"estimated",TRUE,2024,2020,-0.000104565778521176,0.000140380755211653,0.999895439688289,0.999620365076722,1.00017058999463,0,1,0.000104560311710689,-0.000170589994634707,0.000379634923277861,9779.46921439347,1.02265127815848,-1.66845405488972,3.71301627904399,361.535406149428,0.0378062077903058,-0.0616807723560716,0.137265818732562,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,TRUE,FALSE
"BWA","1-5",355.470850680171,20206.3560387447,1759.20314379581,"direct age match","Botswana",0.0785030798269115,1200011,2399993,0.500006041684288,0.0693041851554974,"estimated",TRUE,2024,2020,-0.00033345485834809,0.000190076880971746,0.999666600731544,0.999294250459097,1.00003908974663,0,1,0.000333399268455881,-3.90897466344686e-05,0.0007057495409033,1758.6166267546,0.586517041206809,-0.0687668051695389,1.24155681108954,355.352336958597,0.118513721574159,-0.0138952654890269,0.250873389672036,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,TRUE,FALSE
"BWA","6-11",186.875061084911,23887.5147144379,782.312698993176,"direct age match","Botswana",0.0785030798269115,1200011,2399993,0.500006041684288,0.0693041851554974,"estimated",TRUE,2024,2020,-0.0010945630417206,0.000284855636232531,0.998906035773905,0.998348495407517,0.999463887505775,0,1,0.00109396422609487,0.000536112494225138,0.00165150459248287,781.456876886858,0.855822106318258,0.419407612321232,1.2919930151449,186.670626453335,0.204434631576186,0.100186055106707,0.308625021602247,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,TRUE,FALSE
"BWA","12-23",144.522878150639,48383.8834227258,298.700451321683,"direct age match","Botswana",0.0785030798269115,1200011,2399993,0.500006041684288,0.0693041851554974,"estimated",TRUE,2024,2020,-0.00278387163089347,0.000439943007330829,0.997219999746429,0.996360495031312,0.998080245908402,0,1,0.00278000025357061,0.00191975409159828,0.00363950496868815,297.870063991267,0.830387330415935,0.573431413587054,1.08712177673466,144.121104512733,0.401773637905531,0.277448386659249,0.525991733118362,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,TRUE,FALSE
"BWA","24-35",41.2703611195353,49673.8975029083,83.0825910471772,"IHME 2-4 rate shared; deaths and person-time divided equally","Botswana",0.0785030798269115,1200011,2399993,0.500006041684288,0.0693041851554974,"estimated",TRUE,2024,2020,-0.00353711665278459,0.000485313651261009,0.996469131575248,0.995521743497916,0.997417421234264,0,1,0.0035308684247517,0.00258257876573598,0.00447825650208422,82.7892373498022,0.293353697375036,0.214567335440766,0.372065153567026,41.1246409045802,0.145720214955067,0.106583958281568,0.184819263026923,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,TRUE,FALSE
"BWA","36-47",41.2703611195353,49673.8975029083,83.0825910471772,"IHME 2-4 rate shared; deaths and person-time divided equally","Botswana",0.0785030798269115,1200011,2399993,0.500006041684288,0.0693041851554974,"estimated",TRUE,2024,2020,-0.00318364739981819,0.000518286341015737,0.996821415031808,0.995809335481715,0.997834523197499,0,1,0.00317858496819245,0.0021654768025009,0.00419066451828531,82.8185059721562,0.264085075021039,0.179913423604331,0.348171266388615,41.1391797700489,0.131181349486429,0.0893700096351887,0.172950238000458,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,TRUE,FALSE
"BWA","48-59",41.2703611195353,49673.8975029083,83.0825910471772,"IHME 2-4 rate shared; deaths and person-time divided equally","Botswana",0.0785030798269115,1200011,2399993,0.500006041684288,0.0693041851554974,"estimated",TRUE,2024,2020,-0.0031651746255972,0.00060517296949067,0.996839829258827,0.995658161304052,0.998022899641874,0,1,0.00316017074117347,0.00197710035812637,0.00434183869594784,82.8200358738491,0.262555173328171,0.164262620513441,0.360731208768244,41.1399397318477,0.130421387687619,0.0815956457494379,0.17918925090454,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,TRUE,FALSE
"CAF","<1",9300.39391375339,21230.3397042316,43807.0894923065,"0-27 days mapped to model <1 completed month","Central African Republic",33.7356038277751,5328369.5,5328369.5,1,33.7126920376516,"estimated",FALSE,2024,2020,-0.0410988776755609,0.0373055505270538,0.959734228966366,0.892064880436386,1.03253676997023,0,1,0.0402657710336344,-0.032536769970229,0.107935119563614,42043.1632571593,1763.92623514714,-1425.34119387641,4728.32344208605,8925.90638189959,374.487531853801,-302.604777404312,1003.83912906968,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"CAF","1-5",6385.50969065786,114332.861236093,5585.01695979777,"direct age match","Central African Republic",33.7356038277751,5328369.5,5328369.5,1,33.7126920376516,"estimated",FALSE,2024,2020,-0.129374954556214,0.0526630396483129,0.878644452032565,0.792476350288439,0.974181845056467,0,1,0.121355547967435,0.0258181549435329,0.207523649711561,4907.2441662341,677.772793563676,144.194833230318,1159.0231031982,5610.59266309671,774.91702756115,164.862078586835,1325.14427627386,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"CAF","6-11",4947.95283222689,133518.416951263,3705.82047421443,"direct age match","Central African Republic",33.7356038277751,5328369.5,5328369.5,1,33.7126920376516,"estimated",FALSE,2024,2020,-0.385005902546331,0.0671781744126102,0.680446619825035,0.596501987840737,0.776204626085733,0,1,0.319553380174965,0.223795373914267,0.403498012159263,2521.61301535761,1184.20745885681,829.345478685965,1495.29119476462,3366.81777974249,1581.1350524844,1107.32895419837,1996.48913206135,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"CAF","12-23",2318.4496928125,257654.050349292,899.830485749966,"direct age match","Central African Republic",33.7356038277751,5328369.5,5328369.5,1,33.7126920376516,"estimated",FALSE,2024,2020,-0.664537005322276,0.0837404781593198,0.514511688742246,0.436631658273076,0.606282830932146,0,1,0.485488311257754,0.393717169067854,0.563368341726924,462.973302804971,436.857182944995,354.278711490429,506.936008592291,1192.8694667129,1125.5802260996,912.813449680374,1306.14115881707,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"CAF","24-35",2393.10803930707,237600.529923188,1007.19810687321,"IHME 2-4 rate shared; deaths and person-time divided equally","Central African Republic",33.7356038277751,5328369.5,5328369.5,1,33.7126920376516,"estimated",FALSE,2024,2020,-0.875258567498832,0.090631274543968,0.416754246642625,0.348926981239967,0.497766327721197,0,1,0.583245753357375,0.502233672278803,0.651073018760033,419.754088249824,587.44401862339,505.848803927193,655.759511931334,997.337938055828,1395.77010125125,1201.89943874112,1558.08807537056,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"CAF","36-47",2393.10803930707,237600.529923188,1007.19810687321,"IHME 2-4 rate shared; deaths and person-time divided equally","Central African Republic",33.7356038277751,5328369.5,5328369.5,1,33.7126920376516,"estimated",FALSE,2024,2020,-0.807708733042801,0.0967639147403041,0.445878523434224,0.368850996160045,0.538991787278842,0,1,0.554121476565776,0.461008212721158,0.631149003839955,449.088004698375,558.11010217484,464.326599105755,635.692081822518,1067.03547898481,1326.07256032226,1103.24246004959,1510.40775509005,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"CAF","48-59",2393.10803930707,237600.529923188,1007.19810687321,"IHME 2-4 rate shared; deaths and person-time divided equally","Central African Republic",33.7356038277751,5328369.5,5328369.5,1,33.7126920376516,"estimated",FALSE,2024,2020,-0.66459798885497,0.11090467467241,0.514480312958567,0.413967770620468,0.639397584080566,0,1,0.485519687041433,0.360602415919434,0.586032229379532,518.183597235408,489.014509637807,363.198070647962,590.250551997754,1231.20697300637,1161.90106630071,862.960540530351,1402.43843942121,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"CIV","<1",29171.8535630319,85882.751519448,33967.0691109914,"0-27 days mapped to model <1 completed month","Cote d'Ivoire",21.6015841554766,27757124,27783660,0.999044906250652,21.6145073637869,"estimated",FALSE,2024,2020,-0.0285963486532166,0.0305419342926631,0.971808657180008,0.915342066970612,1.0317586181695,0,1,0.0281913428199924,-0.0317586181694964,0.0846579330293876,33009.4918210931,957.577289898332,-1078.74717823287,2875.58186200289,28349.4598385419,822.393724490048,-926.457758604795,2469.62882528226,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"CIV","1-5",13963.6947725235,464000.371071727,3009.41457013726,"direct age match","Cote d'Ivoire",21.6015841554766,27757124,27783660,0.999044906250652,21.6145073637869,"estimated",FALSE,2024,2020,-0.08815354432029,0.04217570722352,0.915620277636333,0.842976320023716,0.994524369077472,0,1,0.0843797223636672,0.00547563092252812,0.157023679976284,2755.4810042319,253.933565905357,16.4784434789502,472.549350377199,12785.442084447,1178.25268807652,76.4600388891739,2192.63073924724,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
"CIV","6-11",10004.8549002906,545013.687630251,1835.70708908105,"direct age match","Cote d'Ivoire",21.6015841554766,27757124,27783660,0.999044906250652,21.6145073637869,"estimated",FALSE,2024,2020,-0.276254202926529,0.0588676636565485,0.758620062808392,0.675952343268785,0.851397891325254,0,1,0.241379937191608,0.148602108674746,0.324047656731215,1392.60422721648,443.102861864575,272.789944346624,594.856580661595,7589.8836528473,2414.9712474433,1486.74253516805,3242.04978637498,"age_band_separate_v1","posterior_median","conditional model uncertainty only; HIV imputation held fixed",TRUE,FALSE,FALSE
