"baseline","variable","year","records","missing_before","missing_after","missing_after_pct"
"eligible_MAP","rotavirus_pct",2006,286423,286423,0,0
"eligible_MAP","rotavirus_pct",2009,407527,407527,0,0
"eligible_MAP","rotavirus_pct",2007,327778,327778,0,0
"eligible_MAP","rotavirus_pct",2010,392507,392507,0,0
"eligible_MAP","rotavirus_pct",2011,376284,374917,0,0
"eligible_MAP","any_vaccine",2008,358847,358847,25954,7.23260888345172
"eligible_MAP","any_vaccine",2006,286423,286423,7950,2.77561508677725
"eligible_MAP","any_vaccine",2009,407527,407527,26845,6.58729360263246
"eligible_MAP","any_vaccine",2007,327778,327778,0,0
"eligible_MAP","any_vaccine",2010,392507,392507,0,0
"eligible_MAP","any_vaccine",2011,376284,374917,23225,6.17219972148696
"eligible_MAP","any_required",2008,358847,358847,86125,24.0004793129105
"eligible_MAP","any_required",2006,286423,286423,85936,30.0031771191559
"eligible_MAP","any_required",2009,407527,407527,76601,18.7965459957254
"eligible_MAP","any_required",2007,327778,327778,73637,22.4655101928744
"eligible_MAP","any_required",2010,392507,392507,30092,7.66661486291964
"eligible_MAP","any_required",2011,376284,374917,35643,9.4723666167044
"previous_primary","male_pct",2013,268926,0,0,0
"previous_primary","male_pct",2014,282296,0,0,0
"previous_primary","male_pct",2012,319085,0,0,0
"previous_primary","male_pct",2015,257762,0,0,0
"previous_primary","male_pct",2016,228167,0,0,0
"previous_primary","multiple_birth_pct",2013,268926,0,0,0
"previous_primary","multiple_birth_pct",2014,282296,0,0,0
"previous_primary","multiple_birth_pct",2012,319085,0,0,0
"previous_primary","multiple_birth_pct",2015,257762,0,0,0
"previous_primary","multiple_birth_pct",2016,228167,0,0,0
"previous_primary","mean_birth_order",2013,268926,0,0,0
"previous_primary","mean_birth_order",2014,282296,0,0,0
"previous_primary","mean_birth_order",2012,319085,0,0,0
"previous_primary","mean_birth_order",2015,257762,0,0,0
"previous_primary","mean_birth_order",2016,228167,0,0,0
"previous_primary","mean_maternal_age_birth",2013,268926,0,0,0
"previous_primary","mean_maternal_age_birth",2014,282296,0,0,0
"previous_primary","mean_maternal_age_birth",2012,319085,0,0,0
"previous_primary","mean_maternal_age_birth",2015,257762,0,0,0
"previous_primary","mean_maternal_age_birth",2016,228167,0,0,0
"previous_primary","mean_maternal_education_years",2013,268926,0,0,0
"previous_primary","mean_maternal_education_years",2014,282296,0,0,0
"previous_primary","mean_maternal_education_years",2012,319085,0,0,0
"previous_primary","mean_maternal_education_years",2015,257762,0,0,0
"previous_primary","mean_maternal_education_years",2016,228167,0,0,0
"previous_primary","mean_wealth_quintile",2013,268926,0,0,0
"previous_primary","mean_wealth_quintile",2014,282296,0,0,0
"previous_primary","mean_wealth_quintile",2012,319085,0,0,0
"previous_primary","mean_wealth_quintile",2015,257762,0,0,0
"previous_primary","mean_wealth_quintile",2016,228167,0,0,0
"previous_primary","urban_pct",2013,268926,0,0,0
"previous_primary","urban_pct",2014,282296,0,0,0
"previous_primary","urban_pct",2012,319085,0,0,0
"previous_primary","urban_pct",2015,257762,0,0,0
"previous_primary","urban_pct",2016,228167,0,0,0
"previous_primary","dtp3_pct",2013,268926,0,0,0
"previous_primary","dtp3_pct",2014,282296,0,0,0
"previous_primary","dtp3_pct",2012,319085,0,0,0
"previous_primary","dtp3_pct",2015,257762,0,0,0
"previous_primary","dtp3_pct",2016,228167,0,0,0
"previous_primary","measles_pct",2013,268926,0,0,0
"previous_primary","measles_pct",2014,282296,0,0,0
"previous_primary","measles_pct",2012,319085,0,0,0
"previous_primary","measles_pct",2015,257762,0,0,0
"previous_primary","measles_pct",2016,228167,0,0,0
"previous_primary","facility_delivery_pct",2013,268926,226,0,0
"previous_primary","facility_delivery_pct",2014,282296,0,0,0
"previous_primary","facility_delivery_pct",2012,319085,1506,0,0
"previous_primary","facility_delivery_pct",2015,257762,0,0,0
"previous_primary","facility_delivery_pct",2016,228167,0,0,0
"previous_primary","exclusive_breastfeeding_pct",2013,268926,0,0,0
"previous_primary","exclusive_breastfeeding_pct",2014,282296,0,0,0
"previous_primary","exclusive_breastfeeding_pct",2012,319085,0,0,0
"previous_primary","exclusive_breastfeeding_pct",2015,257762,0,0,0
"previous_primary","exclusive_breastfeeding_pct",2016,228167,0,0,0
"previous_primary","short_birth_interval_pct",2013,268926,226,0,0
"previous_primary","short_birth_interval_pct",2014,282296,0,0,0
"previous_primary","short_birth_interval_pct",2012,319085,1506,0,0
"previous_primary","short_birth_interval_pct",2015,257762,0,0,0
"previous_primary","short_birth_interval_pct",2016,228167,0,0,0
"previous_primary","improved_water_pct",2013,268926,226,0,0
"previous_primary","improved_water_pct",2014,282296,0,0,0
"previous_primary","improved_water_pct",2012,319085,1506,0,0
"previous_primary","improved_water_pct",2015,257762,0,0,0
"previous_primary","improved_water_pct",2016,228167,0,0,0
"previous_primary","improved_sanitation_pct",2013,268926,226,0,0
"previous_primary","improved_sanitation_pct",2014,282296,0,0,0
"previous_primary","improved_sanitation_pct",2012,319085,1506,0,0
"previous_primary","improved_sanitation_pct",2015,257762,0,0,0
"previous_primary","improved_sanitation_pct",2016,228167,0,0,0
"previous_primary","electricity_pct",2013,268926,226,0,0
"previous_primary","electricity_pct",2014,282296,0,0,0
"previous_primary","electricity_pct",2012,319085,1506,0,0
"previous_primary","electricity_pct",2015,257762,0,0,0
"previous_primary","electricity_pct",2016,228167,0,0,0
"previous_primary","log_hiv_incidence",2013,268926,0,0,0
"previous_primary","log_hiv_incidence",2014,282296,0,0,0
"previous_primary","log_hiv_incidence",2012,319085,0,0,0
"previous_primary","log_hiv_incidence",2015,257762,0,0,0
"previous_primary","log_hiv_incidence",2016,228167,0,0,0
"previous_primary","log_gdp_pc",2013,268926,0,0,0
"previous_primary","log_gdp_pc",2014,282296,0,0,0
"previous_primary","log_gdp_pc",2012,319085,0,0,0
"previous_primary","log_gdp_pc",2015,257762,0,0,0
"previous_primary","log_gdp_pc",2016,228167,0,0,0
"previous_primary","log_health_expenditure_pc",2013,268926,0,0,0
"previous_primary","log_health_expenditure_pc",2014,282296,0,0,0
"previous_primary","log_health_expenditure_pc",2012,319085,0,0,0
"previous_primary","log_health_expenditure_pc",2015,257762,0,0,0
"previous_primary","log_health_expenditure_pc",2016,228167,0,0,0
"previous_primary","political_stability",2013,268926,0,0,0
"previous_primary","political_stability",2014,282296,0,0,0
"previous_primary","political_stability",2012,319085,0,0,0
"previous_primary","political_stability",2015,257762,0,0,0
"previous_primary","political_stability",2016,228167,0,0,0
"previous_primary","hib3_pct",2013,268926,0,0,0
"previous_primary","hib3_pct",2014,282296,0,0,0
"previous_primary","hib3_pct",2012,319085,0,0,0
"previous_primary","hib3_pct",2015,257762,0,0,0
"previous_primary","hib3_pct",2016,228167,0,0,0
"previous_primary","pcv3_pct",2013,268926,98769,53256,19.8032172419178
"previous_primary","pcv3_pct",2014,282296,64955,0,0
"previous_primary","pcv3_pct",2012,319085,157041,0,0
"previous_primary","pcv3_pct",2015,257762,15065,0,0
"previous_primary","pcv3_pct",2016,228167,16105,0,0
"previous_primary","rotavirus_pct",2013,268926,210881,26104,9.70675948030313
"previous_primary","rotavirus_pct",2014,282296,129794,44513,15.7682007538187
"previous_primary","rotavirus_pct",2012,319085,273483,0,0
"previous_primary","rotavirus_pct",2015,257762,80010,0,0
"previous_primary","rotavirus_pct",2016,228167,80476,0,0
"previous_primary","any_vaccine",2013,268926,210881,70399,26.1778333073039
"previous_primary","any_vaccine",2014,282296,129794,44513,15.7682007538187
"previous_primary","any_vaccine",2012,319085,273483,0,0
"previous_primary","any_vaccine",2015,257762,80010,0,0
"previous_primary","any_vaccine",2016,228167,80476,0,0
"previous_primary","any_required",2013,268926,210881,70399,26.1778333073039
"previous_primary","any_required",2014,282296,129794,44513,15.7682007538187
"previous_primary","any_required",2012,319085,273483,0,0
"previous_primary","any_required",2015,257762,80010,0,0
"previous_primary","any_required",2016,228167,80476,0,0
"eligible_MAP","male_pct",2013,283283,0,0,0
"eligible_MAP","male_pct",2014,297033,0,0,0
"eligible_MAP","male_pct",2012,339345,0,0,0
"eligible_MAP","male_pct",2015,277446,0,0,0
"eligible_MAP","male_pct",2016,238297,0,0,0
"eligible_MAP","multiple_birth_pct",2013,283283,0,0,0
"eligible_MAP","multiple_birth_pct",2014,297033,0,0,0
"eligible_MAP","multiple_birth_pct",2012,339345,0,0,0
"eligible_MAP","multiple_birth_pct",2015,277446,0,0,0
"eligible_MAP","multiple_birth_pct",2016,238297,0,0,0
"eligible_MAP","mean_birth_order",2013,283283,0,0,0
"eligible_MAP","mean_birth_order",2014,297033,0,0,0
"eligible_MAP","mean_birth_order",2012,339345,0,0,0
"eligible_MAP","mean_birth_order",2015,277446,0,0,0
"eligible_MAP","mean_birth_order",2016,238297,0,0,0
"eligible_MAP","mean_maternal_age_birth",2013,283283,0,0,0
"eligible_MAP","mean_maternal_age_birth",2014,297033,0,0,0
"eligible_MAP","mean_maternal_age_birth",2012,339345,0,0,0
"eligible_MAP","mean_maternal_age_birth",2015,277446,0,0,0
"eligible_MAP","mean_maternal_age_birth",2016,238297,0,0,0
"eligible_MAP","mean_maternal_education_years",2013,283283,0,0,0
"eligible_MAP","mean_maternal_education_years",2014,297033,0,0,0
"eligible_MAP","mean_maternal_education_years",2012,339345,0,0,0
"eligible_MAP","mean_maternal_education_years",2015,277446,0,0,0
"eligible_MAP","mean_maternal_education_years",2016,238297,0,0,0
"eligible_MAP","mean_wealth_quintile",2013,283283,0,0,0
"eligible_MAP","mean_wealth_quintile",2014,297033,0,0,0
"eligible_MAP","mean_wealth_quintile",2012,339345,0,0,0
"eligible_MAP","mean_wealth_quintile",2015,277446,0,0,0
"eligible_MAP","mean_wealth_quintile",2016,238297,0,0,0
"eligible_MAP","urban_pct",2013,283283,0,0,0
"eligible_MAP","urban_pct",2014,297033,0,0,0
"eligible_MAP","urban_pct",2012,339345,0,0,0
"eligible_MAP","urban_pct",2015,277446,0,0,0
"eligible_MAP","urban_pct",2016,238297,0,0,0
"eligible_MAP","dtp3_pct",2013,283283,0,0,0
"eligible_MAP","dtp3_pct",2014,297033,0,0,0
"eligible_MAP","dtp3_pct",2012,339345,0,0,0
"eligible_MAP","dtp3_pct",2015,277446,0,0,0
"eligible_MAP","dtp3_pct",2016,238297,0,0,0
"eligible_MAP","measles_pct",2013,283283,0,0,0
"eligible_MAP","measles_pct",2014,297033,0,0,0
"eligible_MAP","measles_pct",2012,339345,0,0,0
"eligible_MAP","measles_pct",2015,277446,0,0,0
"eligible_MAP","measles_pct",2016,238297,0,0,0
"eligible_MAP","facility_delivery_pct",2013,283283,226,0,0
"eligible_MAP","facility_delivery_pct",2014,297033,0,0,0
"eligible_MAP","facility_delivery_pct",2012,339345,1507,0,0
"eligible_MAP","facility_delivery_pct",2015,277446,0,0,0
"eligible_MAP","facility_delivery_pct",2016,238297,0,0,0
"eligible_MAP","exclusive_breastfeeding_pct",2013,283283,0,0,0
"eligible_MAP","exclusive_breastfeeding_pct",2014,297033,0,0,0
