"region","records","retained_records","children","retained_children","deaths","retained_deaths","vaccine_missing_records","baseline","survey","country"
"BFA:BF81FL:centre",6671,6671,1943,1943,28,28,0,"eligible_MAP","BF81FL","BFA"
"BFA:BF81FL:centreest",7162,7162,2104,2104,54,54,0,"eligible_MAP","BF81FL","BFA"
"BFA:BF81FL:centrenord",5657,5657,1629,1629,41,41,0,"eligible_MAP","BF81FL","BFA"
"BFA:BF81FL:centreouest",6399,6399,1873,1873,32,32,0,"eligible_MAP","BF81FL","BFA"
"BFA:BF81FL:centresud",4425,4425,1294,1294,33,33,0,"eligible_MAP","BF81FL","BFA"
"BFA:BF81FL:est",4612,4612,1354,1354,34,34,0,"eligible_MAP","BF81FL","BFA"
"BFA:BF81FL:hautsbassins",7406,7406,2208,2208,55,55,0,"eligible_MAP","BF81FL","BFA"
"BFA:BF81FL:nord",6471,6471,1898,1898,34,34,0,"eligible_MAP","BF81FL","BFA"
"BFA:BF81FL:plateaucentral",6175,6175,1863,1863,38,38,0,"eligible_MAP","BF81FL","BFA"
"BFA:BF81FL:sahel",2850,2850,864,864,32,32,0,"eligible_MAP","BF81FL","BFA"
"BFA:BF81FL:sudouest",5989,5989,1817,1817,85,85,0,"eligible_MAP","BF81FL","BFA"
"CIV:CI62FL:west",3992,3992,1207,1207,68,68,0,"previous_primary","CI62FL","CIV"
"CIV:CI62FL:northeast",3439,3439,1034,1034,60,60,0,"previous_primary","CI62FL","CIV"
"CIV:CI62FL:northcentral",4312,4312,1330,1330,51,51,0,"previous_primary","CI62FL","CIV"
"CIV:CI62FL:central",3287,3287,1045,1045,63,63,0,"previous_primary","CI62FL","CIV"
"CIV:CI62FL:abidjan",3537,3537,1078,1078,56,56,0,"previous_primary","CI62FL","CIV"
"CIV:CI62FL:southwest",3700,3700,1089,1089,38,38,0,"previous_primary","CI62FL","CIV"
"CIV:CI62FL:westcentral",3968,3968,1181,1181,38,38,0,"previous_primary","CI62FL","CIV"
"CIV:CI62FL:eastcentral",3298,3298,1026,1026,56,56,0,"previous_primary","CI62FL","CIV"
"CIV:CI62FL:north",4153,4153,1248,1248,122,122,0,"previous_primary","CI62FL","CIV"
"CIV:CI62FL:northwest",6074,6074,1845,1845,166,166,0,"previous_primary","CI62FL","CIV"
"CIV:CI62FL:west",3992,3992,1207,1207,68,68,0,"eligible_MAP","CI62FL","CIV"
"CIV:CI62FL:northeast",3439,3439,1034,1034,60,60,0,"eligible_MAP","CI62FL","CIV"
"CIV:CI62FL:northcentral",4312,4312,1330,1330,51,51,0,"eligible_MAP","CI62FL","CIV"
"CIV:CI62FL:central",3287,3287,1045,1045,63,63,0,"eligible_MAP","CI62FL","CIV"
"CIV:CI62FL:abidjan",3537,3537,1078,1078,56,56,0,"eligible_MAP","CI62FL","CIV"
"CIV:CI62FL:southwest",3700,3700,1089,1089,38,38,0,"eligible_MAP","CI62FL","CIV"
"CIV:CI62FL:westcentral",3968,3968,1181,1181,38,38,0,"eligible_MAP","CI62FL","CIV"
"CIV:CI62FL:eastcentral",3298,3298,1026,1026,56,56,0,"eligible_MAP","CI62FL","CIV"
"CIV:CI62FL:north",4172,4172,1254,1254,123,123,0,"eligible_MAP","CI62FL","CIV"
"CIV:CI62FL:northwest",6080,6080,1847,1847,166,166,0,"eligible_MAP","CI62FL","CIV"
"CIV:CI81FL:abidjan",3607,3607,1085,1085,28,28,0,"previous_primary","CI81FL","CIV"
"CIV:CI81FL:sassandramarahoue",5931,5931,1786,1786,79,79,0,"previous_primary","CI81FL","CIV"
"CIV:CI81FL:savanes",4675,4675,1399,1399,66,66,0,"previous_primary","CI81FL","CIV"
"CIV:CI81FL:valleedubandama",4076,4076,1226,1226,50,50,0,"previous_primary","CI81FL","CIV"
"CIV:CI81FL:comoe",2936,2936,879,879,15,15,0,"previous_primary","CI81FL","CIV"
"CIV:CI81FL:montagnes",5631,5631,1691,1691,100,100,0,"previous_primary","CI81FL","CIV"
"CIV:CI81FL:yamoussoukro",2624,2624,788,788,21,21,0,"previous_primary","CI81FL","CIV"
"CIV:CI81FL:zanzan",3887,3887,1153,1153,22,22,0,"previous_primary","CI81FL","CIV"
"CIV:CI81FL:bassassandra",4719,4719,1425,1425,47,47,0,"previous_primary","CI81FL","CIV"
"CIV:CI81FL:denguele",6128,6128,1821,1821,126,126,0,"previous_primary","CI81FL","CIV"
"CIV:CI81FL:lacs",3606,3606,1064,1064,40,40,0,"previous_primary","CI81FL","CIV"
"CIV:CI81FL:woroba",5263,5263,1599,1599,95,95,0,"previous_primary","CI81FL","CIV"
"CIV:CI81FL:gohdjiboua",4105,4105,1245,1245,47,47,0,"previous_primary","CI81FL","CIV"
"CIV:CI81FL:lagunes",3977,3977,1174,1174,29,29,0,"previous_primary","CI81FL","CIV"
"CIV:CI81FL:abidjan",3607,3607,1085,1085,28,28,0,"eligible_MAP","CI81FL","CIV"
"CIV:CI81FL:sassandramarahoue",5931,5931,1786,1786,79,79,0,"eligible_MAP","CI81FL","CIV"
"CIV:CI81FL:savanes",4675,4675,1399,1399,66,66,0,"eligible_MAP","CI81FL","CIV"
"CIV:CI81FL:valleedubandama",4076,4076,1226,1226,50,50,0,"eligible_MAP","CI81FL","CIV"
"CIV:CI81FL:comoe",2936,2936,879,879,15,15,0,"eligible_MAP","CI81FL","CIV"
"CIV:CI81FL:montagnes",5631,5631,1691,1691,100,100,0,"eligible_MAP","CI81FL","CIV"
"CIV:CI81FL:yamoussoukro",2624,2624,788,788,21,21,0,"eligible_MAP","CI81FL","CIV"
"CIV:CI81FL:zanzan",3887,3887,1153,1153,22,22,0,"eligible_MAP","CI81FL","CIV"
"CIV:CI81FL:bassassandra",4719,4719,1425,1425,47,47,0,"eligible_MAP","CI81FL","CIV"
"CIV:CI81FL:denguele",6128,6128,1821,1821,126,126,0,"eligible_MAP","CI81FL","CIV"
"CIV:CI81FL:lacs",3606,3606,1064,1064,40,40,0,"eligible_MAP","CI81FL","CIV"
"CIV:CI81FL:woroba",5263,5263,1599,1599,95,95,0,"eligible_MAP","CI81FL","CIV"
"CIV:CI81FL:gohdjiboua",4105,4105,1245,1245,47,47,0,"eligible_MAP","CI81FL","CIV"
"CIV:CI81FL:lagunes",3977,3977,1174,1174,29,29,0,"eligible_MAP","CI81FL","CIV"
"CMR:CM44FL:douala",1633,0,717,0,21,0,0,"previous_primary","CM44FL","CMR"
"CMR:CM44FL:north",3429,0,1463,0,98,0,0,"previous_primary","CM44FL","CMR"
"CMR:CM44FL:farnorth",4035,0,1680,0,104,0,0,"previous_primary","CM44FL","CMR"
"CMR:CM44FL:littoral",1818,0,784,0,37,0,0,"previous_primary","CM44FL","CMR"
"CMR:CM44FL:yaounde",1497,0,691,0,28,0,0,"previous_primary","CM44FL","CMR"
"CMR:CM44FL:west",3229,0,1423,0,66,0,0,"previous_primary","CM44FL","CMR"
"CMR:CM44FL:east",2220,0,960,0,61,0,0,"previous_primary","CM44FL","CMR"
"CMR:CM44FL:south",1943,0,817,0,48,0,0,"previous_primary","CM44FL","CMR"
"CMR:CM44FL:adamawa",2352,0,992,0,38,0,0,"previous_primary","CM44FL","CMR"
"CMR:CM44FL:northwest",2264,0,992,0,30,0,0,"previous_primary","CM44FL","CMR"
"CMR:CM44FL:southwest",1823,0,777,0,45,0,0,"previous_primary","CM44FL","CMR"
"CMR:CM44FL:centre",2606,0,1102,0,47,0,0,"previous_primary","CM44FL","CMR"
"CMR:CM44FL:douala",2248,0,725,0,26,0,0,"eligible_MAP","CM44FL","CMR"
"CMR:CM44FL:north",4614,0,1478,0,131,0,0,"eligible_MAP","CM44FL","CMR"
"CMR:CM44FL:farnorth",5325,0,1688,0,132,0,0,"eligible_MAP","CM44FL","CMR"
"CMR:CM44FL:littoral",2448,0,795,0,52,0,0,"eligible_MAP","CM44FL","CMR"
"CMR:CM44FL:yaounde",2057,0,701,0,43,0,0,"eligible_MAP","CM44FL","CMR"
"CMR:CM44FL:west",4335,0,1431,0,84,0,0,"eligible_MAP","CM44FL","CMR"
"CMR:CM44FL:east",3001,0,972,0,86,0,0,"eligible_MAP","CM44FL","CMR"
"CMR:CM44FL:south",2560,0,825,0,65,0,0,"eligible_MAP","CM44FL","CMR"
"CMR:CM44FL:adamawa",3142,0,1002,0,56,0,0,"eligible_MAP","CM44FL","CMR"
"CMR:CM44FL:northwest",3057,0,996,0,43,0,0,"eligible_MAP","CM44FL","CMR"
"CMR:CM44FL:southwest",2438,0,791,0,63,0,0,"eligible_MAP","CM44FL","CMR"
"CMR:CM44FL:centre",3482,0,1116,0,71,0,0,"eligible_MAP","CM44FL","CMR"
"CMR:CM61FL:farnorth",9944,9944,3028,3028,251,251,0,"previous_primary","CM61FL","CMR"
"CMR:CM61FL:douala",4201,4201,1244,1244,43,43,0,"previous_primary","CM61FL","CMR"
"CMR:CM61FL:northwest",5604,5604,1704,1704,56,56,0,"previous_primary","CM61FL","CMR"
"CMR:CM61FL:west",5757,5757,1724,1724,78,78,0,"previous_primary","CM61FL","CMR"
"CMR:CM61FL:southwest",3745,3745,1157,1157,63,63,0,"previous_primary","CM61FL","CMR"
"CMR:CM61FL:north",8596,8596,2644,2644,246,246,0,"previous_primary","CM61FL","CMR"
"CMR:CM61FL:south",3787,3787,1143,1143,47,47,0,"previous_primary","CM61FL","CMR"
"CMR:CM61FL:littoral",3200,3200,972,972,50,50,0,"previous_primary","CM61FL","CMR"
"CMR:CM61FL:centre",5526,5526,1660,1660,100,100,0,"previous_primary","CM61FL","CMR"
"CMR:CM61FL:east",4620,4620,1421,1421,57,57,0,"previous_primary","CM61FL","CMR"
"CMR:CM61FL:yaounde",3891,3891,1177,1177,50,50,0,"previous_primary","CM61FL","CMR"
"CMR:CM61FL:adamawa",5748,5748,1746,1746,110,110,0,"previous_primary","CM61FL","CMR"
"CMR:CM61FL:farnorth",9944,9944,3028,3028,251,251,0,"eligible_MAP","CM61FL","CMR"
"CMR:CM61FL:douala",4201,4201,1244,1244,43,43,0,"eligible_MAP","CM61FL","CMR"
"CMR:CM61FL:northwest",5629,5629,1711,1711,56,56,0,"eligible_MAP","CM61FL","CMR"
"CMR:CM61FL:west",5757,5757,1724,1724,78,78,0,"eligible_MAP","CM61FL","CMR"
"CMR:CM61FL:southwest",3745,3745,1157,1157,63,63,0,"eligible_MAP","CM61FL","CMR"
"CMR:CM61FL:north",8596,8596,2644,2644,246,246,0,"eligible_MAP","CM61FL","CMR"
"CMR:CM61FL:south",3787,3787,1143,1143,47,47,0,"eligible_MAP","CM61FL","CMR"
"CMR:CM61FL:littoral",3205,3205,973,973,50,50,0,"eligible_MAP","CM61FL","CMR"
"CMR:CM61FL:centre",5526,5526,1660,1660,100,100,0,"eligible_MAP","CM61FL","CMR"
"CMR:CM61FL:east",4620,4620,1421,1421,57,57,0,"eligible_MAP","CM61FL","CMR"
"CMR:CM61FL:yaounde",3891,3891,1177,1177,50,50,0,"eligible_MAP","CM61FL","CMR"
"CMR:CM61FL:adamawa",5748,5748,1746,1746,110,110,0,"eligible_MAP","CM61FL","CMR"
"CMR:CM71FL:farnorth",7733,7733,2298,2298,96,96,0,"previous_primary","CM71FL","CMR"
"CMR:CM71FL:east",5633,5633,1680,1680,113,113,0,"previous_primary","CM71FL","CMR"
"CMR:CM71FL:yaounde",3847,3847,1135,1135,42,42,0,"previous_primary","CM71FL","CMR"
"CMR:CM71FL:adamawa",4283,4283,1281,1281,56,56,0,"previous_primary","CM71FL","CMR"
"CMR:CM71FL:northwest",2658,2658,798,798,20,20,0,"previous_primary","CM71FL","CMR"
"CMR:CM71FL:douala",3372,3372,1000,1000,26,26,0,"previous_primary","CM71FL","CMR"
"CMR:CM71FL:south",5284,5284,1537,1537,76,76,0,"previous_primary","CM71FL","CMR"
"CMR:CM71FL:west",5383,5383,1628,1628,60,60,0,"previous_primary","CM71FL","CMR"
"CMR:CM71FL:southwest",940,940,274,274,7,7,0,"previous_primary","CM71FL","CMR"
"CMR:CM71FL:north",6841,6841,2063,2063,117,117,0,"previous_primary","CM71FL","CMR"
"CMR:CM71FL:farnorth",7733,7733,2298,2298,96,96,0,"eligible_MAP","CM71FL","CMR"
"CMR:CM71FL:east",5633,5633,1680,1680,113,113,0,"eligible_MAP","CM71FL","CMR"
"CMR:CM71FL:yaounde",3847,3847,1135,1135,42,42,0,"eligible_MAP","CM71FL","CMR"
"CMR:CM71FL:adamawa",4283,4283,1281,1281,56,56,0,"eligible_MAP","CM71FL","CMR"
"CMR:CM71FL:northwest",2658,2658,798,798,20,20,0,"eligible_MAP","CM71FL","CMR"
"CMR:CM71FL:douala",3372,3372,1000,1000,26,26,0,"eligible_MAP","CM71FL","CMR"
"CMR:CM71FL:south",5284,5284,1537,1537,76,76,0,"eligible_MAP","CM71FL","CMR"
"CMR:CM71FL:west",5383,5383,1628,1628,60,60,0,"eligible_MAP","CM71FL","CMR"
"CMR:CM71FL:southwest",940,940,274,274,7,7,0,"eligible_MAP","CM71FL","CMR"
"CMR:CM71FL:north",6841,6841,2063,2063,117,117,0,"eligible_MAP","CM71FL","CMR"
"COD:CD51FL:kinshasa",5083,0,1503,0,67,0,0,"previous_primary","CD51FL","COD"
"COD:CD51FL:nordkivu",4134,0,1231,0,59,0,0,"previous_primary","CD51FL","COD"
"COD:CD51FL:sudkivu",4067,0,1228,0,106,0,0,"previous_primary","CD51FL","COD"
"COD:CD51FL:bandundu",4278,0,1295,0,100,0,0,"previous_primary","CD51FL","COD"
"COD:CD51FL:orientale",3332,0,1011,0,93,0,0,"previous_primary","CD51FL","COD"
"COD:CD51FL:kasaioccident",4235,0,1276,0,107,0,0,"previous_primary","CD51FL","COD"
"COD:CD51FL:maniema",4284,0,1313,0,124,0,0,"previous_primary","CD51FL","COD"
"COD:CD51FL:bascongo",3347,0,1014,0,83,0,0,"previous_primary","CD51FL","COD"
"COD:CD51FL:equateur",4897,0,1478,0,129,0,0,"previous_primary","CD51FL","COD"
"COD:CD51FL:katanga",4673,0,1415,0,119,0,0,"previous_primary","CD51FL","COD"
"COD:CD51FL:kasaioriental",5048,0,1497,0,128,0,0,"previous_primary","CD51FL","COD"
"COD:CD51FL:kinshasa",5093,0,1506,0,67,0,0,"eligible_MAP","CD51FL","COD"
"COD:CD51FL:nordkivu",4151,0,1236,0,59,0,0,"eligible_MAP","CD51FL","COD"
"COD:CD51FL:sudkivu",4150,0,1256,0,110,0,0,"eligible_MAP","CD51FL","COD"
"COD:CD51FL:bandundu",4281,0,1296,0,100,0,0,"eligible_MAP","CD51FL","COD"
"COD:CD51FL:orientale",3378,0,1028,0,96,0,0,"eligible_MAP","CD51FL","COD"
"COD:CD51FL:kasaioccident",4246,0,1280,0,107,0,0,"eligible_MAP","CD51FL","COD"
"COD:CD51FL:maniema",4296,0,1316,0,124,0,0,"eligible_MAP","CD51FL","COD"
"COD:CD51FL:bascongo",3347,0,1014,0,83,0,0,"eligible_MAP","CD51FL","COD"
"COD:CD51FL:equateur",4958,0,1496,0,131,0,0,"eligible_MAP","CD51FL","COD"
"COD:CD51FL:katanga",4673,0,1415,0,119,0,0,"eligible_MAP","CD51FL","COD"
"COD:CD51FL:kasaioriental",5074,0,1505,0,129,0,0,"eligible_MAP","CD51FL","COD"
"COD:CD61FL:equateur",16090,16090,4776,4776,275,275,0,"previous_primary","CD61FL","COD"
"COD:CD61FL:kinshasa",5651,5651,1660,1660,68,68,0,"previous_primary","CD61FL","COD"
"COD:CD61FL:bandundu",13240,13240,3945,3945,146,146,0,"previous_primary","CD61FL","COD"
"COD:CD61FL:sudkivu",5985,5985,1799,1799,123,123,0,"previous_primary","CD61FL","COD"
"COD:CD61FL:orientale",11171,11171,3342,3342,204,204,0,"previous_primary","CD61FL","COD"
"COD:CD61FL:kasaioccidental",9108,9108,2740,2740,170,170,0,"previous_primary","CD61FL","COD"
"COD:CD61FL:katanga",13210,13210,3948,3948,251,251,0,"previous_primary","CD61FL","COD"
"COD:CD61FL:nordkivu",5985,5985,1763,1763,45,45,0,"previous_primary","CD61FL","COD"
"COD:CD61FL:bascongo",4874,4874,1440,1440,87,87,0,"previous_primary","CD61FL","COD"
"COD:CD61FL:kasaioriental",11872,11872,3565,3565,234,234,0,"previous_primary","CD61FL","COD"
"COD:CD61FL:maniema",4939,4939,1456,1456,83,83,0,"previous_primary","CD61FL","COD"
"COD:CD61FL:equateur",16090,16090,4776,4776,275,275,0,"eligible_MAP","CD61FL","COD"
"COD:CD61FL:kinshasa",5651,5651,1660,1660,68,68,0,"eligible_MAP","CD61FL","COD"
"COD:CD61FL:bandundu",13240,13240,3945,3945,146,146,0,"eligible_MAP","CD61FL","COD"
"COD:CD61FL:sudkivu",5985,5985,1799,1799,123,123,0,"eligible_MAP","CD61FL","COD"
"COD:CD61FL:orientale",11171,11171,3342,3342,204,204,0,"eligible_MAP","CD61FL","COD"
"COD:CD61FL:kasaioccidental",9108,9108,2740,2740,170,170,0,"eligible_MAP","CD61FL","COD"
"COD:CD61FL:katanga",13210,13210,3948,3948,251,251,0,"eligible_MAP","CD61FL","COD"
"COD:CD61FL:nordkivu",5985,5985,1763,1763,45,45,0,"eligible_MAP","CD61FL","COD"
"COD:CD61FL:bascongo",4874,4874,1440,1440,87,87,0,"eligible_MAP","CD61FL","COD"
"COD:CD61FL:kasaioriental",11872,11872,3565,3565,234,234,0,"eligible_MAP","CD61FL","COD"
"COD:CD61FL:maniema",4939,4939,1456,1456,83,83,0,"eligible_MAP","CD61FL","COD"
"COD:CD81FL:maindombe",3333,3333,969,969,32,32,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:kasai",5904,5904,1775,1775,100,100,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:kwilu",5379,5379,1573,1573,63,63,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:kongocentral",3265,3265,1006,1006,24,24,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:sudkivu",7252,7252,2143,2143,87,87,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:lualaba",6047,6047,1784,1784,85,85,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:tanganyika",5270,5270,1568,1568,65,65,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:tshopo",4976,4976,1478,1478,77,77,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:maniema",5999,5999,1795,1795,120,120,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:ituri",5884,5884,1787,1787,94,94,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:hautlomami",6704,6704,1992,1992,114,114,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:kinshasa",3865,3865,1169,1169,38,38,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:sudubangi",6950,6950,2092,2092,149,149,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:tshuapa",4675,4675,1391,1391,90,90,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:sankuru",4310,4310,1277,1277,81,81,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:hautuele",3381,3381,995,995,30,30,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:nordubangi",4880,4880,1468,1468,46,46,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:kwango",4973,4973,1464,1464,53,53,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:kasaioriental",4821,4821,1456,1456,79,79,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:equateur",4900,4900,1466,1466,54,54,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:nordkivu",6632,6632,1957,1957,50,50,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:kasaicentral",7000,7000,2075,2075,132,132,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:mongala",5731,5731,1728,1728,136,136,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:basuele",3855,3855,1156,1156,28,28,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:hautkatanga",5992,5992,1756,1756,119,119,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:lomami",5643,5643,1697,1697,97,97,0,"previous_primary","CD81FL","COD"
"COD:CD81FL:maindombe",3333,3333,969,969,32,32,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:kasai",5904,5904,1775,1775,100,100,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:kwilu",5379,5379,1573,1573,63,63,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:kongocentral",3265,3265,1006,1006,24,24,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:sudkivu",7252,7252,2143,2143,87,87,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:lualaba",6047,6047,1784,1784,85,85,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:tanganyika",5270,5270,1568,1568,65,65,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:tshopo",4976,4976,1478,1478,77,77,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:maniema",5999,5999,1795,1795,120,120,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:ituri",5884,5884,1787,1787,94,94,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:hautlomami",6704,6704,1992,1992,114,114,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:kinshasa",3865,3865,1169,1169,38,38,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:sudubangi",6950,6950,2092,2092,149,149,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:tshuapa",4675,4675,1391,1391,90,90,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:sankuru",4310,4310,1277,1277,81,81,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:hautuele",3381,3381,995,995,30,30,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:nordubangi",4880,4880,1468,1468,46,46,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:kwango",4973,4973,1464,1464,53,53,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:kasaioriental",4821,4821,1456,1456,79,79,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:equateur",4900,4900,1466,1466,54,54,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:nordkivu",6632,6632,1957,1957,50,50,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:kasaicentral",7000,7000,2075,2075,132,132,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:mongala",5731,5731,1728,1728,136,136,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:basuele",3855,3855,1156,1156,28,28,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:hautkatanga",5992,5992,1756,1756,119,119,0,"eligible_MAP","CD81FL","COD"
"COD:CD81FL:lomami",5643,5643,1697,1697,97,97,0,"eligible_MAP","CD81FL","COD"
"COG:CG51FL:brazzaville",4897,0,1749,0,74,0,0,"previous_primary","CG51FL","COG"
"COG:CG51FL:pointenoire",3970,0,1432,0,48,0,0,"previous_primary","CG51FL","COG"
"COG:CG51FL:south",6516,0,2282,0,124,0,0,"previous_primary","CG51FL","COG"
"COG:CG51FL:north",4881,0,1729,0,101,0,0,"previous_primary","CG51FL","COG"
"COG:CG51FL:brazzaville",6286,0,1884,0,87,0,0,"eligible_MAP","CG51FL","COG"
"COG:CG51FL:pointenoire",5096,0,1545,0,61,0,0,"eligible_MAP","CG51FL","COG"
"COG:CG51FL:south",8210,0,2455,0,152,0,0,"eligible_MAP","CG51FL","COG"
"COG:CG51FL:north",6202,0,1892,0,132,0,0,"eligible_MAP","CG51FL","COG"
"COG:CG61FL:kouilou",4847,4847,1442,1442,52,52,0,"previous_primary","CG61FL","COG"
"COG:CG61FL:niari",4330,4330,1300,1300,37,37,0,"previous_primary","CG61FL","COG"
"COG:CG61FL:lekoumou",3668,3668,1084,1084,46,46,0,"previous_primary","CG61FL","COG"
"COG:CG61FL:bouenza",4568,4568,1377,1377,40,40,0,"previous_primary","CG61FL","COG"
"COG:CG61FL:pool",5263,5263,1567,1567,39,39,0,"previous_primary","CG61FL","COG"
"COG:CG61FL:plateaux",4055,4055,1212,1212,41,41,0,"previous_primary","CG61FL","COG"
"COG:CG61FL:cuvette",4002,4002,1224,1224,54,54,0,"previous_primary","CG61FL","COG"
"COG:CG61FL:cuvetteouest",3354,3354,1019,1019,47,47,0,"previous_primary","CG61FL","COG"
"COG:CG61FL:sangha",3308,3308,991,991,45,45,0,"previous_primary","CG61FL","COG"
"COG:CG61FL:likouala",5142,5142,1531,1531,48,48,0,"previous_primary","CG61FL","COG"
"COG:CG61FL:brazzaville",3945,3945,1171,1171,46,46,0,"previous_primary","CG61FL","COG"
"COG:CG61FL:pointenoire",4534,4534,1362,1362,40,40,0,"previous_primary","CG61FL","COG"
"COG:CG61FL:kouilou",4847,4847,1442,1442,52,52,0,"eligible_MAP","CG61FL","COG"
"COG:CG61FL:niari",4330,4330,1300,1300,37,37,0,"eligible_MAP","CG61FL","COG"
"COG:CG61FL:lekoumou",3668,3668,1084,1084,46,46,0,"eligible_MAP","CG61FL","COG"
"COG:CG61FL:bouenza",4575,4575,1379,1379,41,41,0,"eligible_MAP","CG61FL","COG"
"COG:CG61FL:pool",5263,5263,1567,1567,39,39,0,"eligible_MAP","CG61FL","COG"
"COG:CG61FL:plateaux",4055,4055,1212,1212,41,41,0,"eligible_MAP","CG61FL","COG"
"COG:CG61FL:cuvette",4002,4002,1224,1224,54,54,0,"eligible_MAP","CG61FL","COG"
"COG:CG61FL:cuvetteouest",3354,3354,1019,1019,47,47,0,"eligible_MAP","CG61FL","COG"
"COG:CG61FL:sangha",3314,3314,992,992,45,45,0,"eligible_MAP","CG61FL","COG"
"COG:CG61FL:likouala",5142,5142,1531,1531,48,48,0,"eligible_MAP","CG61FL","COG"
"COG:CG61FL:brazzaville",3945,3945,1171,1171,46,46,0,"eligible_MAP","CG61FL","COG"
"COG:CG61FL:pointenoire",4534,4534,1362,1362,40,40,0,"eligible_MAP","CG61FL","COG"
"COM:KM61FL:mwali",3518,3518,1086,1086,24,24,0,"previous_primary","KM61FL","COM"
"COM:KM61FL:ndzuwani",7358,7358,2220,2220,50,50,0,"previous_primary","KM61FL","COM"
"COM:KM61FL:ngazidja",7060,7060,2118,2118,55,55,0,"previous_primary","KM61FL","COM"
"COM:KM61FL:mwali",3518,3518,1086,1086,24,24,0,"eligible_MAP","KM61FL","COM"
"COM:KM61FL:ndzuwani",7391,7391,2233,2233,50,50,0,"eligible_MAP","KM61FL","COM"
"COM:KM61FL:ngazidja",7089,7089,2128,2128,55,55,0,"eligible_MAP","KM61FL","COM"
"ETH:ET41FL:tigray",56,0,56,0,2,0,0,"eligible_MAP","ET41FL","ETH"
"ETH:ET41FL:affar",25,0,25,0,1,0,0,"eligible_MAP","ET41FL","ETH"
"ETH:ET41FL:amhara",60,0,60,0,2,0,0,"eligible_MAP","ET41FL","ETH"
"ETH:ET41FL:oromiya",98,0,98,0,6,0,0,"eligible_MAP","ET41FL","ETH"
"ETH:ET41FL:somali",20,0,20,0,1,0,0,"eligible_MAP","ET41FL","ETH"
"ETH:ET41FL:benishangulgumuz",42,0,42,0,2,0,0,"eligible_MAP","ET41FL","ETH"
"ETH:ET41FL:snnp",61,0,61,0,2,0,0,"eligible_MAP","ET41FL","ETH"
"ETH:ET41FL:gambela",27,0,27,0,5,0,0,"eligible_MAP","ET41FL","ETH"
"ETH:ET41FL:harari",26,0,26,0,0,0,0,"eligible_MAP","ET41FL","ETH"
"ETH:ET41FL:addisababa",26,0,26,0,0,0,0,"eligible_MAP","ET41FL","ETH"
"ETH:ET41FL:diredawa",27,0,27,0,2,0,0,"eligible_MAP","ET41FL","ETH"
"ETH:ET51FL:amhara",6285,0,2417,0,145,0,0,"previous_primary","ET51FL","ETH"
