"survey","country","region","records","children","deaths","complete_case_records","complete_case_children","complete_case_deaths","baseline"
"BU71FL","BDI","BDI:BU71FL:mwaro",3504,1034,24,1831,816,13,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:kirundo",4856,1448,95,2614,1122,51,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:kayanza",3937,1199,31,2138,906,16,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:bubanza",4573,1347,37,2431,1045,19,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:muyinga",5118,1523,85,2662,1175,53,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:bujumburarural",4197,1245,25,2158,967,13,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:makamba",4369,1305,28,2294,1001,18,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:bururi",3410,995,22,1714,751,12,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:rumonge",4378,1303,31,2340,997,13,"regional_baseline"
"BJ41FL","BEN","BEN:BJ41FL:atlantique",1588,1053,38,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:alibori",7372,2293,162,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:atacora",8252,2609,202,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:atlantique",8992,2829,157,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:borgou",8942,2764,152,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:collines",5772,1815,112,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:couffo",7166,2287,121,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:donga",4333,1408,119,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:littoral",5193,1601,60,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:mono",5383,1691,57,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:oueme",9601,3008,212,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:plateau",4168,1333,76,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:zou",8545,2715,161,0,0,0,"previous_primary"
"BJ51FL","BEN","BEN:BJ51FL:alibori",7822,2349,177,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:atacora",8947,2727,222,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:atlantique",9449,2890,164,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:borgou",9388,2809,162,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:collines",6110,1870,124,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:couffo",7620,2357,131,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:donga",4641,1450,125,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:littoral",5500,1636,63,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:mono",5754,1748,64,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:oueme",10201,3075,224,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:plateau",4413,1359,80,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:zou",8989,2757,172,0,0,0,"eligible_MAP"
"BJ51FL","BEN","BEN:BJ51FL:alibori",7373,2294,162,0,0,0,"regional_baseline"
"BJ51FL","BEN","BEN:BJ51FL:atacora",8260,2611,202,0,0,0,"regional_baseline"
"BJ51FL","BEN","BEN:BJ51FL:atlantique",9017,2836,157,0,0,0,"regional_baseline"
"BJ51FL","BEN","BEN:BJ51FL:borgou",8942,2764,152,0,0,0,"regional_baseline"
"BJ51FL","BEN","BEN:BJ51FL:collines",5772,1815,112,0,0,0,"regional_baseline"
"BJ51FL","BEN","BEN:BJ51FL:couffo",7183,2292,121,0,0,0,"regional_baseline"
"BJ51FL","BEN","BEN:BJ51FL:donga",4333,1408,119,0,0,0,"regional_baseline"
"BJ51FL","BEN","BEN:BJ51FL:littoral",5204,1605,60,0,0,0,"regional_baseline"
"BJ51FL","BEN","BEN:BJ51FL:mono",5387,1692,57,0,0,0,"regional_baseline"
"BJ51FL","BEN","BEN:BJ51FL:oueme",9612,3011,212,0,0,0,"regional_baseline"
"BJ51FL","BEN","BEN:BJ51FL:plateau",4168,1333,76,0,0,0,"regional_baseline"
"BJ51FL","BEN","BEN:BJ51FL:zou",8545,2715,161,0,0,0,"regional_baseline"
"BJ61FL","BEN","BEN:BJ61FL:alibori",6249,1871,97,0,0,0,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:atacora",8173,2490,86,0,0,0,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:atlantique",8750,2630,107,0,0,0,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:borgou",6807,2088,57,0,0,0,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:collines",5514,1686,68,0,0,0,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:couffo",6167,1852,86,0,0,0,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:donga",4469,1371,47,0,0,0,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:littoral",5979,1792,54,0,0,0,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:mono",4927,1460,41,0,0,0,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:oueme",8708,2606,74,0,0,0,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:plateau",4818,1454,33,0,0,0,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:zou",7610,2311,104,0,0,0,"previous_primary"
"BJ61FL","BEN","BEN:BJ61FL:alibori",6249,1871,97,0,0,0,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:atacora",8173,2490,86,0,0,0,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:atlantique",8750,2630,107,0,0,0,"eligible_MAP"
"BJ61FL","BEN","BEN:BJ61FL:borgou",6807,2088,57,0,0,0,"eligible_MAP"
