"iso3","year","political_stability","gdp_pc","health_expenditure_pc","log_gdp_pc","log_health_expenditure_pc","political_stability_source","log_health_expenditure_pc_source"
"TCD",2004,-1.5041461,445.850767157087,27.74994278,6.09998429324126,3.32323377820834,"wgi_observed","ghed_observed"
"TGO",2004,-0.6772941,604.311329116751,18.62999153,6.40408951069592,2.92477272997034,"wgi_observed","ghed_observed"
"TZA",2004,-0.6706073,450.385284423828,23.4493866,6.11010340405334,3.15484433676765,"wgi_observed","ghed_observed"
"UGA",2004,-1.15674339999999,292.38185796262,18.60707474,5.67806068067926,2.92354187076532,"wgi_observed","ghed_observed"
"ZAF",2004,-0.0156781,5221.46333731721,362.28662109,8.56053297441017,5.89243566950735,"wgi_observed","ghed_observed"
"ZMB",2004,-0.1571999,548.685974566277,29.99057961,6.30752628253225,3.40088331934975,"wgi_observed","ghed_observed"
"ZWE",2004,-1.5430146,469.719298949304,27.6007593586131,6.1521352800094,3.31784328533786,"wgi_observed","gam_within_series_model"
"AGO",2005,-0.9717695,2145.88621098663,54.66142273,7.67130789801346,4.0011582088842,"wgi_observed","ghed_observed"
"BDI",2005,-1.4998572,147.234619294225,11.13118172,4.99202736406574,2.40975033395504,"wgi_observed","ghed_observed"
"BEN",2005,0.4644931,779.437777753268,25.12485313,6.65857286203182,3.22385752079002,"wgi_observed","ghed_observed"
"BFA",2005,0.0426849,441.164148016012,21.34285545,6.0894170239144,3.06071704432613,"wgi_observed","ghed_observed"
"CIV",2005,-2.3486525,1197.74616979415,46.69436264,7.08819687792397,3.84362344304139,"wgi_observed","ghed_observed"
"CMR",2005,-0.3681294,1142.62466252106,43.10830688,7.04108323061987,3.76371571357349,"wgi_observed","ghed_observed"
"COD",2005,-2.074788,214.539740473519,8.55065727,5.36849499148047,2.14600815367825,"wgi_observed","ghed_observed"
"COG",2005,-1.26779059999999,1799.05158366154,30.90304375,7.49501490705893,3.43085468228882,"wgi_observed","ghed_observed"
"COM",2005,-0.6919084,1105.78796866788,67.80059814,7.00831345363835,4.21657101703133,"wgi_observed","ghed_observed"
"ETH",2005,-1.63723739999999,158.243458082465,6.4820013,5.06413472103846,1.86902930527472,"wgi_observed","ghed_observed"
"GAB",2005,0.0508535,6547.87613955186,188.91426086,8.78689602254423,5.24129326588767,"wgi_observed","ghed_observed"
"GHA",2005,0.0517114,478.611909191028,38.51657486,6.17089005855589,3.65108866449254,"wgi_observed","ghed_observed"
"GIN",2005,-1.2321228,463.17768685098,19.66388702,6.13811075336054,2.97878380728236,"wgi_observed","ghed_observed"
"GMB",2005,-0.0459223,616.483657865348,33.2039566,6.42403181432986,3.5026690435205,"wgi_observed","ghed_observed"
"KEN",2005,-1.09707,523.456312433863,30.9943428,6.26045357397981,3.43380469750918,"wgi_observed","ghed_observed"
"LBR",2005,-1.3279822,287.487333441381,19.14579582,5.66117880167164,2.95208315209876,"wgi_observed","ghed_observed"
