"iso3","year","age_band","allcause_deaths","age_person_years","pfpr_pct","map_population_coverage","population_weight_year","log_hr_zero_vs_current","attributable_fraction","attributable_deaths","zero_below_observed_support","current_outside_observed_support"
"MLI",2022,"1-5",11749.7337918325,420236.363837475,15.8026551876271,0.97767054940682,2020,-0.061366722406993,0.0595217179313095,699.364340525427,TRUE,FALSE
"MLI",2023,"1-5",11857.9096798576,428554.967610526,17.7704591939953,0.97767054940682,2020,-0.068837665574824,0.066521796573291,788.809455507944,TRUE,FALSE
"MLI",2024,"1-5",11666.2235843446,437090.267130276,17.8255590399717,0.97767054940682,2020,-0.0690460238088771,0.0667162741820749,778.32697132252,TRUE,FALSE
"MOZ",2004,"1-5",23260.4429365765,357574.012974815,46.8981121100949,0.999790945132115,2020,-0.157303384056757,0.145555205436697,3385.67855018196,TRUE,FALSE
"MOZ",2005,"1-5",20838.5390067919,365272.764827588,44.2928156950409,0.999790945132115,2020,-0.152192184081363,0.141176787270282,2941.91798838534,TRUE,FALSE
"MOZ",2006,"1-5",18600.2687003929,373390.595309197,40.5461568907035,0.999790945132115,2020,-0.143711415662915,0.133862334239599,2489.87538571835,TRUE,FALSE
"MOZ",2007,"1-5",17573.071455342,381331.036541902,37.2949564356556,0.999790945132115,2020,-0.13525742927208,0.126508979415098,2223.1513350039,TRUE,FALSE
"MOZ",2008,"1-5",16989.4349653309,388679.693546431,35.3329607607927,0.999790945132115,2020,-0.129674231795179,0.121618466908281,2066.2290341215,TRUE,FALSE
"MOZ",2009,"1-5",16347.6064447649,396123.942949741,35.4871396668739,0.999790945132115,2020,-0.130125270402305,0.122014561557787,1994.64603287724,TRUE,FALSE
"MOZ",2010,"1-5",15550.8825374145,403960.634020726,36.4623852068371,0.999790945132115,2020,-0.13293033044284,0.124473912501217,1935.67919227882,TRUE,FALSE
"MOZ",2011,"1-5",14907.8100437384,411997.564159409,36.4227739619944,0.999790945132115,2020,-0.132818039845355,0.124375593633698,1854.16772396838,TRUE,FALSE
"MOZ",2012,"1-5",14367.3296598901,419801.21607165,36.678446250526,0.999790945132115,2020,-0.133540330638791,0.125007820727534,1796.02857045692,TRUE,FALSE
"MOZ",2013,"1-5",14122.8009982218,427498.532196345,37.2848289253251,0.999790945132115,2020,-0.135229506697588,0.126484588956487,1786.31667917435,TRUE,FALSE
"MOZ",2014,"1-5",13907.4633933898,435496.43353495,35.9736935110425,0.999790945132115,2020,-0.131535183177009,0.123251572199981,1714.11672854898,TRUE,FALSE
"MOZ",2015,"1-5",13732.9527296918,443383.845929445,34.6327854633793,0.999790945132115,2020,-0.127600652244453,0.119795183214938,1645.14158833551,TRUE,FALSE
"MOZ",2016,"1-5",14297.4696177209,451152.37602606,33.3625966487089,0.999790945132115,2020,-0.123736979883695,0.116387781890155,1664.05077544843,TRUE,FALSE
"MOZ",2017,"1-5",14820.613360296,458051.576183074,31.3495300738907,0.999790945132115,2020,-0.117362772987089,0.110737465784869,1641.19716489656,TRUE,FALSE
"MOZ",2018,"1-5",14596.5159548995,465176.252300001,29.9201002029675,0.999790945132115,2020,-0.112666141628493,0.106551104277631,1555.2748936006,TRUE,FALSE
"MOZ",2019,"1-5",14522.9170981237,471926.336187545,27.9806257998887,0.999790945132115,2020,-0.106092041626272,0.100658132621701,1461.8497153169,TRUE,FALSE
"MOZ",2020,"1-5",14289.5787683384,478295.737912744,27.8374282607935,0.999790945132115,2020,-0.105598187675791,0.100213879398587,1432.01412334687,TRUE,FALSE
"MOZ",2021,"1-5",14341.6315980817,484526.034561138,25.0105881435262,0.999790945132115,2020,-0.0956396861365286,0.0912085927735949,1308.08003613836,TRUE,FALSE
"MOZ",2022,"1-5",14470.6929066968,490178.497209897,23.3760834108813,0.999790945132115,2020,-0.0897233030329652,0.0858158977526623,1241.81550289127,TRUE,FALSE
"MOZ",2023,"1-5",15261.2802081313,496457.248561966,23.6331584639183,0.999790945132115,2020,-0.0906604726349886,0.0866722419713799,1322.72937099218,TRUE,FALSE
"MOZ",2024,"1-5",15068.9949678594,497313.460341389,24.0344454120773,0.999790945132115,2020,-0.0921185950299547,0.0880030151784156,1326.11699288,TRUE,FALSE
"MRT",2004,"1-5",1408.17688929018,47320.2747348792,4.34509549098018,0.840119682930452,2020,-0.0170190507507496,0.0168750448119718,23.7630481099548,TRUE,FALSE
"MRT",2005,"1-5",1430.65653513578,48525.9409639617,4.08661106779518,0.840119682930452,2020,-0.0160078972554542,0.0158804518188725,22.7194721755789,TRUE,FALSE
"MRT",2006,"1-5",1410.05969855248,49720.1607815996,0.809262603592954,0.840119682930452,2020,-0.00317187998991177,0.00316685489298208,4.46545445575775,TRUE,FALSE
"MRT",2007,"1-5",1371.30811021266,50862.1412924505,3.38824484103689,0.840119682930452,2020,-0.0132748450074755,0.0131871228475381,18.0836085111997,TRUE,FALSE
"MRT",2008,"1-5",1341.66317285497,51923.1887171043,5.32026272660147,0.840119682930452,2020,-0.0208313634087555,0.0206158893578295,27.6595795270525,TRUE,FALSE
"MRT",2009,"1-5",1353.61015746307,52878.2498609459,2.35870554373028,0.840119682930452,2020,-0.00924321491022981,0.00920062771450007,12.4540631293836,TRUE,FALSE
"MRT",2010,"1-5",1334.49154784707,53747.8427980365,3.13351491717227,0.840119682930452,2020,-0.0122775876987805,0.0122025256266965,16.2841673112137,TRUE,FALSE
"MRT",2011,"1-5",1309.67290449063,54555.5449339945,4.42776525671974,0.840119682930452,2020,-0.0173423902625706,0.0171928765684897,22.5170445920028,TRUE,FALSE
"MRT",2012,"1-5",1301.71499741617,55277.5465041079,2.4192498898819,0.840119682930452,2020,-0.00948037320140843,0.00943557613944746,12.282430969981,TRUE,FALSE
"MRT",2013,"1-5",1277.79376637641,55912.2013223379,2.75193392001256,0.840119682930452,2020,-0.0107833875297736,0.0107254552289374,13.7049198330855,TRUE,FALSE
"MRT",2014,"1-5",1231.55553374348,56478.1234860798,5.55478788575643,0.840119682930452,2020,-0.0217475880066589,0.021512814215742,26.4942253937925,TRUE,FALSE
"MRT",2015,"1-5",1214.12389835193,56956.0615587957,6.4035707842887,0.840119682930452,2020,-0.025061240489815,0.0247498145995387,30.0493413850794,TRUE,FALSE
"MRT",2016,"1-5",1172.42597538365,57353.5379113856,8.23631687659498,0.840119682930452,2020,-0.0322018765665994,0.0316889169703191,37.1529093877777,TRUE,FALSE
"MRT",2017,"1-5",1174.45199118451,57609.0776227476,5.58819887022692,0.840119682930452,2020,-0.0218780940431928,0.0216405043678088,25.4157334450102,TRUE,FALSE
"MRT",2018,"1-5",1135.73135382457,57725.8467702457,3.88820737723331,0.840119682930452,2020,-0.0152316089229669,0.0151161946922816,17.1679362625408,TRUE,FALSE
"MRT",2019,"1-5",1135.33608271799,57737.1511715491,2.60620646904209,0.840119682930452,2020,-0.0102126515096858,0.0101606794588739,11.535786014591,TRUE,FALSE
"MRT",2020,"1-5",1121.62468738448,57648.6229788525,2.70691740029882,0.840119682930452,2020,-0.010607087332648,0.0105510305565827,11.8342963496112,TRUE,FALSE
"MRT",2021,"1-5",1121.13745578992,57472.2642199123,1.24950705412028,0.840119682930452,2020,-0.00489724371788434,0.00488527177102173,5.47706116420563,TRUE,FALSE
"MRT",2022,"1-5",1099.42145966933,57171.5379549471,2.59257036067042,0.840119682930452,2020,-0.0101592437101094,0.010107812907099,11.1127464203872,TRUE,FALSE
"MRT",2023,"1-5",1072.68741683214,57051.6230106902,2.6799757710199,0.840119682930452,2020,-0.010501572349238,0.0104466233568217,11.2059614232474,TRUE,FALSE
"MRT",2024,"1-5",986.759560134533,56711.9349150857,2.77377496776398,0.840119682930452,2020,-0.0108689228562866,0.0108100695313279,10.6669394557568,TRUE,FALSE
"MWI",2004,"1-5",10906.8353201659,234529.1249287,32.1740194516999,0.999764978481837,2020,-0.120008948626724,0.113087499967253,1233.42673891209,TRUE,FALSE
"MWI",2005,"1-5",9407.97018112691,237968.833569328,32.2108258478265,0.999764978481837,2020,-0.120125955019395,0.113191268328597,1064.90007719938,TRUE,FALSE
"MWI",2006,"1-5",8430.75109230903,241151.624219528,31.1016170818203,0.999764978481837,2020,-0.116557894760122,0.110021429610714,927.563287867928,TRUE,FALSE
"MWI",2007,"1-5",8026.07199594247,243867.271605861,30.5696656473636,0.999764978481837,2020,-0.114816951778142,0.108470678171244,870.593472451108,TRUE,FALSE
"MWI",2008,"1-5",7741.26579220799,245715.608673475,31.9675442228876,0.999764978481837,2020,-0.119350769490715,0.112503560516965,870.919964531581,TRUE,FALSE
"MWI",2009,"1-5",7500.99712905171,247011.440940082,33.1691697989,0.999764978481837,2020,-0.12313750592516,0.115857920572792,869.049929594416,TRUE,FALSE
"MWI",2010,"1-5",7270.39684033462,247993.26244173,33.4735432460555,0.999764978481837,2020,-0.12407953142706,0.116690412782907,848.385608394187,TRUE,FALSE
"MWI",2011,"1-5",6995.16442585688,248608.745777494,31.8787480622624,0.999764978481837,2020,-0.119066780987584,0.112251485940135,785.217601198006,TRUE,FALSE
"MWI",2012,"1-5",6750.61269363216,248981.752271723,26.8284013930475,0.999764978481837,2020,-0.102087812988216,0.0970497425729197,655.145224126485,TRUE,FALSE
"MWI",2013,"1-5",6507.32182319302,249150.658018598,23.1895107345353,0.999764978481837,2020,-0.0890417042463126,0.0851925785751275,554.375525736014,TRUE,FALSE
"MWI",2014,"1-5",6325.16302950355,249445.642749041,20.3171465885201,0.999764978481837,2020,-0.078415154358977,0.075419496770806,477.040612678465,TRUE,FALSE
"MWI",2015,"1-5",6244.49238726967,250021.842869662,18.220052663991,0.999764978481837,2020,-0.0705364000233225,0.0681061820482765,425.288535326465,TRUE,FALSE
"MWI",2016,"1-5",6090.50066883089,250781.665580824,16.9860973965301,0.999764978481837,2020,-0.0658665918762384,0.0637442399153092,388.234335838308,TRUE,FALSE
"MWI",2017,"1-5",5962.60107379447,251930.737962053,16.5943518931431,0.999764978481837,2020,-0.0643792632089308,0.062350683802321,371.772254191539,TRUE,FALSE
"MWI",2018,"1-5",5829.01948966596,253013.940816035,15.8726481705634,0.999764978481837,2020,-0.0616334122389947,0.0597725004842908,348.415070268999,TRUE,FALSE
"MWI",2019,"1-5",5683.67725812624,253722.37301466,15.3991221783356,0.999764978481837,2020,-0.0598278579658998,0.0580733351988983,330.07009457352,TRUE,FALSE
"MWI",2020,"1-5",5555.61710304837,254564.934311561,17.5431398781083,0.999764978481837,2020,-0.0679775689530418,0.0657185697471933,365.107210075384,TRUE,FALSE
"MWI",2021,"1-5",5702.13943723947,255200.974727895,17.8088368796585,0.999764978481837,2020,-0.068982794501035,0.0666572614324231,380.088999192202,TRUE,FALSE
"MWI",2022,"1-5",5975.63050774016,255263.394904536,18.9556815527383,0.999764978481837,2020,-0.0733089165316346,0.0706862946873549,422.395179012869,TRUE,FALSE
"MWI",2023,"1-5",5766.64296088541,256211.763042565,19.3083365186554,0.999764978481837,2020,-0.0746348779050628,0.0719177121779628,414.723768694032,TRUE,FALSE
"MWI",2024,"1-5",5531.09624996969,255352.106965885,19.1757235989892,0.999764978481837,2020,-0.0741365098086769,0.0714550703014914,395.2248713859,TRUE,FALSE
"NAM",2004,"1-5",913.803312687709,24353.6940221997,8.33396035063022,0.611389973186959,2020,-0.0325816801842234,0.0320566151916618,29.2934411556957,TRUE,FALSE
"NAM",2005,"1-5",890.376764621126,24625.3875260115,4.5353951282014,0.611389973186959,2020,-0.017763314664845,0.0176064770161039,15.6763980419748,TRUE,FALSE
"NAM",2006,"1-5",881.932251705038,24902.5792674142,4.01623071994388,0.611389973186959,2020,-0.0157325377858192,0.0156094278692349,13.7664578685417,TRUE,FALSE
"NAM",2007,"1-5",894.173261847599,25195.7400019669,1.69616569801723,0.611389973186959,2020,-0.00664753163526531,0.00662548567430125,5.92433213671448,TRUE,FALSE
"NAM",2008,"1-5",889.513997319827,25470.368921612,0.600591201330591,0.611389973186959,2020,-0.00235402364062803,0.00235125509980731,2.09147432254823,TRUE,FALSE
"NAM",2009,"1-5",880.089803050649,25712.2018180197,0.324481316741054,0.611389973186959,2020,-0.0012718194143117,0.00127101099475794,1.11860381605172,TRUE,FALSE
"NAM",2010,"1-5",848.985504803609,25889.2412210264,0.160448561982869,0.611389973186959,2020,-0.000628887171971337,0.000628689463881334,0.533748241858005,TRUE,FALSE
"NAM",2011,"1-5",824.23180202293,25998.1939180354,0.191595134368714,0.611389973186959,2020,-0.000750967652992271,0.000750685747356104,0.618739066296252,TRUE,FALSE
"NAM",2012,"1-5",784.73471882984,26114.0381219101,0.0885264166078679,0.611389973186959,2020,-0.000346984459174239,0.000346924267028899,0.272243517142171,TRUE,FALSE
"NAM",2013,"1-5",744.566466514175,26254.8212229946,0.420986999969206,0.611389973186959,2020,-0.00165007375236799,0.00164871312915298,1.22757650886896,TRUE,FALSE
"NAM",2014,"1-5",701.787874939517,26387.1637374613,1.19935107849269,0.611389973186959,2020,-0.00470068637934691,0.00468965544421915,3.2911433283971,TRUE,FALSE
"NAM",2015,"1-5",673.011063616505,26479.537100308,0.747527078008077,0.611389973186959,2020,-0.00292991961516225,0.00292563158956567,1.96898242784364,TRUE,FALSE
"NAM",2016,"1-5",653.516351195958,26590.9836709437,1.53758923357506,0.611389973186959,2020,-0.00602615935794267,0.00600803847768161,3.92635138377941,TRUE,FALSE
