"iso3","state","key","year","series","exposure_source","pfpr_pct","under5_person_years","ihme_under5_deaths","attributable_under5_deaths","counterfactual_under5_deaths","attributable_fraction","ihme_malaria_rate_per100000","ihme_malaria_rate_lower","ihme_malaria_rate_upper","ihme_malaria_deaths","any_current_pfpr_outside_central95","any_zero_below_observed_support","any_negative_attributable_band","model_over_ihme_malaria","attributable_rate_per100000","ihme_malaria_share_of_allcause"
"NGA","Adamawa","adamawa",2024,"map_full","MAP",24.3095856120304,556033.558641345,10734.1437029198,2656.5122940907,8077.63140882905,0.247482460419094,353.45279347754,84.57155244492,663.09634058538,1965.31614569041,FALSE,TRUE,FALSE,1.35169718109525,477.761144593831,0.183090165371629
"NGA","Ebonyi","ebonyi",2024,"map_full","MAP",26.0077534160741,442171.756845013,9227.8432234721,2628.56097976228,6599.28224370983,0.284851066073188,339.66752271492,100.97264366109,726.31944885786,1501.9138526205,FALSE,TRUE,FALSE,1.75014097857613,594.46605059482,0.162758926029454
"NGA","Anambra","anambra",2024,"map_full","MAP",21.7136200822191,859475.401588528,9548.6404180613,2370.81915556988,7177.82126249142,0.248288662235669,290.14801254314,112.85217503435,441.39005617737,2493.75079600629,FALSE,TRUE,FALSE,0.950704119820921,275.844910882616,0.261162918156322
"NGA","Rivers","rivers",2024,"map_full","MAP",26.6094897166155,417019.127511268,8576.29611237255,2341.40155446419,6234.89455790837,0.273008478693544,503.33713575903,159.51732973755,839.681285326,2099.01213198251,FALSE,TRUE,FALSE,1.11547785683961,561.461429464269,0.244745762562277
"NGA","Oyo","oyo",2024,"map_full","MAP",26.4300347178255,790988.272700056,8565.10649130806,2281.32320002831,6283.78329127974,0.266350827318192,239.55768117042,92.91191433541,359.26145828299,1894.87316441021,FALSE,TRUE,FALSE,1.20394506760477,288.414288651963,0.221231711051479
"NGA","Delta","delta",2024,"map_full","MAP",20.0233537267664,583561.111380461,9654.35567851072,2112.60041948025,7541.75525903047,0.21882355382686,320.05605825616,79.61710606928,619.81028683582,1867.72269060014,FALSE,TRUE,FALSE,1.13111032494948,362.018712056175,0.193459072028747
"NGA","Edo","edo",2024,"map_full","MAP",28.0797252309271,481143.122124925,7316.73529375472,1942.24499746095,5374.49029629377,0.265452407321442,322.79462927017,99.93479038421,531.52097477742,1553.10415732207,FALSE,TRUE,FALSE,1.25055682087018,403.673025374072,0.212267369935843
"NGA","Ondo","ondo",2024,"map_full","MAP",31.9566648029974,472970.696708927,6211.53371172841,1926.68851551588,4284.84519621252,0.310179193244653,340.53124459002,136.36452781369,522.97297296441,1610.613000049,FALSE,TRUE,FALSE,1.19624547638525,407.358960908649,0.259293932029684
"NGA","Osun","osun",2024,"map_full","MAP",26.6930395242069,557935.188846158,6791.52193452783,1732.8525184366,5058.66941609123,0.255149366392656,222.44234285813,60.18911323442,396.27172344674,1241.08410569933,FALSE,TRUE,FALSE,1.39624100452095,310.583120240228,0.182740204281709
"NGA","Enugu","enugu",2024,"map_full","MAP",20.5886799519834,573862.243099442,6832.45752140322,1730.89596536936,5101.56155603386,0.253334317842034,297.39630774769,105.81290039331,512.38445847781,1706.64512253581,FALSE,TRUE,FALSE,1.01420965759859,301.622207451871,0.249784959099945
"NGA","Kogi","kogi",2024,"map_full","MAP",25.3386039692607,365652.07356632,5276.91803184335,1343.69071535362,3933.22731648973,0.25463551020599,277.25252434939,91.42263699273,504.80000194108,1013.77960429851,FALSE,TRUE,FALSE,1.32542685772751,367.477942145433,0.19211585212825
"NGA","Kwara","kwara",2024,"map_full","MAP",23.9522863197281,456838.892173277,4643.53296760753,1122.75932859508,3520.77363901244,0.241789890677477,211.73647413699,73.97332934452,350.4306097852,967.294562774182,FALSE,TRUE,FALSE,1.16072122371393,245.767019365161,0.208310045287039
"NGA","Ekiti","ekiti",2024,"map_full","MAP",29.24066839713,210524.808365059,3690.54480261126,1056.94777723788,2633.59702537338,0.286393428008253,434.17128559786,156.58498372579,707.82518394696,914.038266981008,FALSE,TRUE,FALSE,1.15634959215536,502.053789026654,0.247670280641025
"NGA","Lagos","lagos",2024,"map_full","MAP",10.6486879119016,603761.818266977,8500.69541253775,1035.03559845606,7465.6598140817,0.121758932443277,270.72560691469,84.41484373728,446.87138509594,1634.53784682244,FALSE,TRUE,FALSE,0.633228285578199,171.431111928707,0.192282838932406
"NGA","Cross River","crossriver",2024,"map_full","MAP",31.0693055166162,282050.927293291,3633.56781669948,1004.05800174681,2629.50981495267,0.276328405687729,298.14262017142,112.97246485267,497.71180096104,840.914024850005,FALSE,TRUE,FALSE,1.19400791528707,355.984648369101,0.231429291338738
"NGA","Akwa Ibom","akwaibom",2024,"map_full","MAP",31.2500767570482,279284.886360765,3523.18390250825,917.358985868401,2605.82491663985,0.260377831885332,300.07457485043,149.42969491831,413.71462013319,838.062935368573,FALSE,TRUE,FALSE,1.0946182525838,328.467106767606,0.237870902728618
"NGA","Bayelsa","bayelsa",2024,"map_full","MAP",26.0784711110067,94845.7358089092,1597.61574843174,414.51016845004,1183.1055799817,0.259455484747777,283.31217588466,73.01860918909,588.39326212694,268.709517854037,FALSE,TRUE,FALSE,1.542595780605,437.036167113697,0.168194084289548
