"country","year","variable","records","missing_records","pre_series_records","no_series_records","countries","surveys","missing_pct"
"COD",2011,"rotavirus_pct",23920,23920,23920,0,1,1,100
"COD",2012,"rotavirus_pct",23389,23389,23389,0,1,1,100
"COD",2009,"rotavirus_pct",21840,21840,21840,0,1,1,100
"COD",2010,"rotavirus_pct",23239,23239,23239,0,1,1,100
"COD",2008,"rotavirus_pct",1615,1615,1615,0,1,1,100
"COD",2014,"rotavirus_pct",2,2,2,0,1,1,100
"COD",2023,"hib3_pct",10168,0,0,0,1,1,0
"COD",2022,"hib3_pct",30593,0,0,0,1,1,0
"COD",2019,"hib3_pct",30896,0,0,0,1,1,0
"COD",2020,"hib3_pct",31866,0,0,0,1,1,0
"COD",2018,"hib3_pct",2333,0,0,0,1,1,0
"COD",2021,"hib3_pct",31765,0,0,0,1,1,0
"COD",2023,"pcv3_pct",10168,0,0,0,1,1,0
"COD",2022,"pcv3_pct",30593,0,0,0,1,1,0
"COD",2019,"pcv3_pct",30896,0,0,0,1,1,0
"COD",2020,"pcv3_pct",31866,0,0,0,1,1,0
"COD",2018,"pcv3_pct",2333,0,0,0,1,1,0
"COD",2021,"pcv3_pct",31765,0,0,0,1,1,0
"COD",2023,"rotavirus_pct",10168,0,0,0,1,1,0
"COD",2022,"rotavirus_pct",30593,0,0,0,1,1,0
"COD",2019,"rotavirus_pct",30896,0,0,0,1,1,0
"COD",2020,"rotavirus_pct",31866,0,0,0,1,1,0
"COD",2018,"rotavirus_pct",2333,2333,2333,0,1,1,100
"COD",2021,"rotavirus_pct",31765,0,0,0,1,1,0
"COG",2004,"hib3_pct",5358,5358,5358,0,1,1,100
"COG",2005,"hib3_pct",1271,1271,1271,0,1,1,100
"COG",2003,"hib3_pct",6203,6203,6203,0,1,1,100
"COG",2000,"hib3_pct",1820,1820,1820,0,1,1,100
"COG",2002,"hib3_pct",5612,5612,5612,0,1,1,100
"COG",2004,"pcv3_pct",5358,5358,5358,0,1,1,100
"COG",2005,"pcv3_pct",1271,1271,1271,0,1,1,100
"COG",2003,"pcv3_pct",6203,6203,6203,0,1,1,100
"COG",2000,"pcv3_pct",1820,1820,1820,0,1,1,100
"COG",2002,"pcv3_pct",5612,5612,5612,0,1,1,100
"COG",2004,"rotavirus_pct",5358,5358,5358,0,1,1,100
"COG",2005,"rotavirus_pct",1271,1271,1271,0,1,1,100
"COG",2003,"rotavirus_pct",6203,6203,6203,0,1,1,100
"COG",2000,"rotavirus_pct",1820,1820,1820,0,1,1,100
"COG",2002,"rotavirus_pct",5612,5612,5612,0,1,1,100
"COG",2007,"hib3_pct",10684,10684,10684,0,1,1,100
"COG",2011,"hib3_pct",3805,0,0,0,1,1,0
"COG",2010,"hib3_pct",11641,0,0,0,1,1,0
"COG",2008,"hib3_pct",11575,11575,11575,0,1,1,100
"COG",2009,"hib3_pct",11833,0,0,0,1,1,0
"COG",2006,"hib3_pct",1477,1477,1477,0,1,1,100
"COG",2012,"hib3_pct",1,0,0,0,1,1,0
"COG",2007,"pcv3_pct",10684,10684,10684,0,1,1,100
"COG",2011,"pcv3_pct",3805,3805,3805,0,1,1,100
"COG",2010,"pcv3_pct",11641,11641,11641,0,1,1,100
"COG",2008,"pcv3_pct",11575,11575,11575,0,1,1,100
"COG",2009,"pcv3_pct",11833,11833,11833,0,1,1,100
"COG",2006,"pcv3_pct",1477,1477,1477,0,1,1,100
"COG",2012,"pcv3_pct",1,0,0,0,1,1,0
"COG",2007,"rotavirus_pct",10684,10684,10684,0,1,1,100
"COG",2011,"rotavirus_pct",3805,3805,3805,0,1,1,100
"COG",2010,"rotavirus_pct",11641,11641,11641,0,1,1,100
"COG",2008,"rotavirus_pct",11575,11575,11575,0,1,1,100
"COG",2009,"rotavirus_pct",11833,11833,11833,0,1,1,100
"COG",2006,"rotavirus_pct",1477,1477,1477,0,1,1,100
"COG",2012,"rotavirus_pct",1,1,1,0,1,1,100
"COM",2011,"hib3_pct",3900,0,0,0,1,1,0
"COM",2008,"hib3_pct",4024,4024,4024,0,1,1,100
"COM",2009,"hib3_pct",4125,0,0,0,1,1,0
"COM",2007,"hib3_pct",694,694,694,0,1,1,100
"COM",2012,"hib3_pct",1095,0,0,0,1,1,0
"COM",2010,"hib3_pct",4098,0,0,0,1,1,0
"COM",2011,"pcv3_pct",3900,3900,0,3900,1,1,100
"COM",2008,"pcv3_pct",4024,4024,0,4024,1,1,100
"COM",2009,"pcv3_pct",4125,4125,0,4125,1,1,100
"COM",2007,"pcv3_pct",694,694,0,694,1,1,100
"COM",2012,"pcv3_pct",1095,1095,0,1095,1,1,100
"COM",2010,"pcv3_pct",4098,4098,0,4098,1,1,100
"COM",2011,"rotavirus_pct",3900,3900,0,3900,1,1,100
"COM",2008,"rotavirus_pct",4024,4024,0,4024,1,1,100
"COM",2009,"rotavirus_pct",4125,4125,0,4125,1,1,100
"COM",2007,"rotavirus_pct",694,694,0,694,1,1,100
"COM",2012,"rotavirus_pct",1095,1095,0,1095,1,1,100
"COM",2010,"rotavirus_pct",4098,4098,0,4098,1,1,100
"ETH",2004,"hib3_pct",9353,9353,9353,0,1,1,100
"ETH",2003,"hib3_pct",12446,12446,12446,0,1,1,100
"ETH",2002,"hib3_pct",13168,13168,13168,0,1,1,100
"ETH",2000,"hib3_pct",7392,7392,7392,0,1,1,100
"ETH",2005,"hib3_pct",1215,1215,1215,0,1,1,100
"ETH",2004,"pcv3_pct",9353,9353,9353,0,1,1,100
"ETH",2003,"pcv3_pct",12446,12446,12446,0,1,1,100
"ETH",2002,"pcv3_pct",13168,13168,13168,0,1,1,100
"ETH",2000,"pcv3_pct",7392,7392,7392,0,1,1,100
"ETH",2005,"pcv3_pct",1215,1215,1215,0,1,1,100
"ETH",2004,"rotavirus_pct",9353,9353,9353,0,1,1,100
"ETH",2003,"rotavirus_pct",12446,12446,12446,0,1,1,100
"ETH",2002,"rotavirus_pct",13168,13168,13168,0,1,1,100
"ETH",2000,"rotavirus_pct",7392,7392,7392,0,1,1,100
"ETH",2005,"rotavirus_pct",1215,1215,1215,0,1,1,100
"ETH",2007,"hib3_pct",16130,0,0,0,1,1,0
"ETH",2008,"hib3_pct",16023,0,0,0,1,1,0
"ETH",2006,"hib3_pct",13720,13720,13720,0,1,1,100
"ETH",2011,"hib3_pct",11677,0,0,0,1,2,0
"ETH",2010,"hib3_pct",7181,0,0,0,1,1,0
"ETH",2009,"hib3_pct",14911,0,0,0,1,1,0
"ETH",2007,"pcv3_pct",16130,16130,16130,0,1,1,100
"ETH",2008,"pcv3_pct",16023,16023,16023,0,1,1,100
"ETH",2006,"pcv3_pct",13720,13720,13720,0,1,1,100
"ETH",2011,"pcv3_pct",11677,0,0,0,1,2,0
"ETH",2010,"pcv3_pct",7181,7181,7181,0,1,1,100
"ETH",2009,"pcv3_pct",14911,14911,14911,0,1,1,100
"ETH",2007,"rotavirus_pct",16130,16130,16130,0,1,1,100
"ETH",2008,"rotavirus_pct",16023,16023,16023,0,1,1,100
"ETH",2006,"rotavirus_pct",13720,13720,13720,0,1,1,100
"ETH",2011,"rotavirus_pct",11677,11677,11677,0,1,2,100
"ETH",2010,"rotavirus_pct",7181,7181,7181,0,1,1,100
"ETH",2009,"rotavirus_pct",14911,14911,14911,0,1,1,100
"ETH",2013,"hib3_pct",14138,0,0,0,1,1,0
"ETH",2012,"hib3_pct",14655,0,0,0,1,1,0
"ETH",2015,"hib3_pct",16179,0,0,0,1,2,0
"ETH",2014,"hib3_pct",19436,0,0,0,1,2,0
"ETH",2016,"hib3_pct",8086,0,0,0,1,2,0
"ETH",2013,"pcv3_pct",14138,0,0,0,1,1,0
"ETH",2012,"pcv3_pct",14655,0,0,0,1,1,0
"ETH",2015,"pcv3_pct",16179,0,0,0,1,2,0
"ETH",2014,"pcv3_pct",19436,0,0,0,1,2,0
