"survey","country","regkey","variable","value","eligible_n","observed_n","missing_n","weighted_n","population","source","small_denominator","low_precision"
"AO71FL","AGO","luanda","exclusive_breastfeeding_pct",35.0328215446991,145,144,1,445.086151,"youngest_resident_child_age_0_5_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cuandocubango","exclusive_breastfeeding_pct",37.9855479763023,83,83,0,29.880106,"youngest_resident_child_age_0_5_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","namibe","exclusive_breastfeeding_pct",56.9253651706287,108,108,0,22.868693,"youngest_resident_child_age_0_5_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","cabinda","exclusive_breastfeeding_pct",43.8059994591942,48,48,0,22.721648,"youngest_resident_child_age_0_5_months","local_BR_weighted_summary",FALSE,TRUE
"AO71FL","AGO","cuanzasul","exclusive_breastfeeding_pct",24.0863806638265,70,70,0,104.861616,"youngest_resident_child_age_0_5_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","malanje","exclusive_breastfeeding_pct",27.1825807254191,79,79,0,54.574167,"youngest_resident_child_age_0_5_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","huila","exclusive_breastfeeding_pct",50.0950313754193,106,106,0,138.031781,"youngest_resident_child_age_0_5_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","lundanorte","exclusive_breastfeeding_pct",23.0123420279893,100,100,0,49.801702,"youngest_resident_child_age_0_5_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","huambo","exclusive_breastfeeding_pct",49.9237469118788,111,111,0,128.876092,"youngest_resident_child_age_0_5_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","moxico","exclusive_breastfeeding_pct",22.5549905008663,68,68,0,31.1081,"youngest_resident_child_age_0_5_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","zaire","exclusive_breastfeeding_pct",48.9884858653917,71,71,0,28.138806,"youngest_resident_child_age_0_5_months","local_BR_weighted_summary",FALSE,FALSE
"AO71FL","AGO","bie","exclusive_breastfeeding_pct",35.8544629050208,89,88,1,76.516932,"youngest_resident_child_age_0_5_months","local_BR_weighted_summary",FALSE,FALSE
