"iso3","age_band","draw","log_hr_zero_vs_current","variance"
"AGO","24-35",153,-0.754024723345577,0.00502742441893368
"AGO","36-47",153,-0.558393848638629,0.006616084681824
"AGO","48-59",153,-0.580950580786464,0.00989336776827403
"BDI","<1",153,0.041552086762912,0.000292101898900933
"BDI","1-5",153,-0.0273620615026594,0.000470829951379122
"BDI","6-11",153,-0.261339308144079,0.00278168226398605
"BDI","12-23",153,-0.530139818437506,0.00411016465241776
"BDI","24-35",153,-0.808606167102645,0.00530761053263293
"BDI","36-47",153,-0.609592689095588,0.00702474204521924
"BDI","48-59",153,-0.599965793395885,0.0103808974991877
"BEN","<1",153,0.064528434025461,0.000695439170184445
"BEN","1-5",153,-0.0425132088401946,0.00113476564017183
"BEN","6-11",153,-0.340950099078784,0.00334743052473682
"BEN","12-23",153,-0.61548624511103,0.00418625905382782
"BEN","24-35",153,-0.885745594313988,0.00517826035869744
"BEN","36-47",153,-0.710332877883023,0.00704714507279659
"BEN","48-59",153,-0.536190782765546,0.0100690630413068
"BFA","<1",153,0.0370646673600703,0.000233135134315824
"BFA","1-5",153,-0.0244037998025983,0.000374695114686038
"BFA","6-11",153,-0.240458688515628,0.00256304905467563
"BFA","12-23",153,-0.496599026222458,0.00392047156858714
"BFA","24-35",153,-0.765181145354214,0.00509999606663033
"BFA","36-47",153,-0.568381804874215,0.00671759948984263
"BFA","48-59",153,-0.585912168076224,0.0100247313032958
"BWA","<1",153,0.00013937923084166,3.34902018842135e-09
"BWA","1-5",153,-9.17167034159585e-05,5.30510606790176e-09
"BWA","6-11",153,-0.00101658998885754,6.37511366272751e-08
"BWA","12-23",153,-0.002230666608735,1.07942738665169e-07
"BWA","24-35",153,-0.00355319672520795,1.4311132539014e-07
"BWA","36-47",153,-0.00250998037792329,1.86468444890779e-07
"BWA","48-59",153,-0.00299147728978892,2.874891609365e-07
"CAF","<1",153,0.0598019289527737,0.000598660134815376
"CAF","1-5",153,-0.0393968438233038,0.000974733644491291
"CAF","6-11",153,-0.327504619069314,0.00326334778089538
"CAF","12-23",153,-0.607009362427747,0.00418678109354954
"CAF","24-35",153,-0.883481414064333,0.00521784653384817
"CAF","36-47",153,-0.703511580587162,0.00707302337688455
"CAF","48-59",153,-0.558051086292074,0.010145477799825
"CIV","<1",153,0.0383230779014527,0.00024901641179782
"CIV","1-5",153,-0.0252333053698649,0.000400548448731431
"CIV","6-11",153,-0.246533338957399,0.002631471331831
"CIV","12-23",153,-0.506708727239236,0.00398802108422185
"CIV","24-35",153,-0.778631702016038,0.00517790733331671
"CIV","36-47",153,-0.580711659976876,0.0068286614548052
"CIV","48-59",153,-0.591258509598192,0.0101630454430825
"CMR","<1",153,0.0446496933947545,0.000336590852504672
"CMR","1-5",153,-0.0294045099587662,0.000543585615273427
"CMR","6-11",153,-0.274546281285133,0.00289743339820266
"CMR","12-23",153,-0.549427940274069,0.00417267013023158
"CMR","24-35",153,-0.831691802073683,0.00535737696982654
"CMR","36-47",153,-0.633657228100614,0.00711820583759613
"CMR","48-59",153,-0.602280472948354,0.0104483402863066
"COD","<1",153,0.0639124561351817,0.000682423629782787
"COD","1-5",153,-0.0421071118660708,0.00111322235697928
"COD","6-11",153,-0.339260661480842,0.00333705942560171
"COD","12-23",153,-0.614568920706793,0.00418573808857694
"COD","24-35",153,-0.885668982785313,0.00518218737214558
"COD","36-47",153,-0.709817832193163,0.00704972590606265
"COD","48-59",153,-0.539012317383204,0.0100776241758281
"COG","<1",153,0.0408651421754817,0.000282654476850271
"COG","1-5",153,-0.0269091545533057,0.000455402870930995
"COG","6-11",153,-0.258280931146493,0.00275252063311971
"COG","12-23",153,-0.525448377039323,0.00408970282128787
"COG","24-35",153,-0.802755403243719,0.00528757859971777
"COG","36-47",153,-0.603776829204333,0.00699260443249459
"COG","48-59",153,-0.598684331500777,0.0103491088617666
"COM","<1",153,0.0036519773993933,2.29880581509247e-06
"COM","1-5",153,-0.0024031495502181,3.64206112652506e-06
"COM","6-11",153,-0.0266085048032872,4.35509583679126e-05
"COM","12-23",153,-0.0583570866662455,7.36893138983603e-05
"COM","24-35",153,-0.0929320003756489,9.7686522970188e-05
"COM","36-47",153,-0.0656732858050064,0.000127288905543888
"COM","48-59",153,-0.078186009125016,0.000196201922458847
"DJI","<1",153,0.00780602507190124,1.04962342360044e-05
"DJI","1-5",153,-0.00513678241585016,1.66389634102617e-05
"DJI","6-11",153,-0.0566584680219494,0.000195417586678881
"DJI","12-23",153,-0.124036640407072,0.000329815095791606
"DJI","24-35",153,-0.197336998092313,0.000437033111192553
"DJI","36-47",153,-0.139656967642343,0.000569588906170089
"DJI","48-59",153,-0.165600680507262,0.000877191257894018
"ERI","<1",153,0.00179755631434848,5.5701748943571e-07
"ERI","1-5",153,-0.00118286023034847,8.82391529566689e-07
"ERI","6-11",153,-0.0131075939917321,1.05913256641162e-05
"ERI","12-23",153,-0.028758155426557,1.79302184140641e-05
"ERI","24-35",153,-0.0458056484796182,2.37713747176067e-05
"ERI","36-47",153,-0.0323601622915429,3.0973580251677e-05
"ERI","48-59",153,-0.0385579791714804,4.7751080773883e-05
"ETH","<1",153,0.00704558713257251,8.55209553837749e-06
"ETH","1-5",153,-0.00463635194023638,1.35552206428017e-05
"ETH","6-11",153,-0.0511854652171529,0.000159884201471967
"ETH","12-23",153,-0.11210366324187,0.000270007663872196
"ETH","24-35",153,-0.178392666604637,0.00035782003667645
"ETH","36-47",153,-0.126206147683663,0.000466326217506864
"ETH","48-59",153,-0.149794572533921,0.000718312709011095
"GAB","<1",153,0.0326392079079155,0.000181342511917244
"GAB","1-5",153,-0.0214872927936162,0.000290620242543794
