"source_label","source_key","regkey","match_method","survey"
"Bandundu","bandundu",,"unmatched","CD81FL"
"Kwango","kwango","kwango","exact","CD81FL"
"Kwilu","kwilu","kwilu","exact","CD81FL"
"Mai-Ndombe","maindombe","maindombe","exact","CD81FL"
"Equateur","equateur","equateur","exact","CD81FL"
"Mongala","mongala","mongala","exact","CD81FL"
"Nord-Ubangi","nordubangi","nordubangi","exact","CD81FL"
"Sud-Ubangi","sudubangi","sudubangi","exact","CD81FL"
"Tshuapa","tshuapa","tshuapa","exact","CD81FL"
"Orientale","orientale",,"unmatched","CD81FL"
"Bas-Uele","basuele","basuele","exact","CD81FL"
"Haut-Uele","hautuele","hautuele","exact","CD81FL"
"Ituri","ituri","ituri","exact","CD81FL"
"Tshopo","tshopo","tshopo","exact","CD81FL"
"Nord-Kivu","nordkivu","nordkivu","exact","CD81FL"
"Maniema","maniema","maniema","exact","CD81FL"
"Sud-Kivu","sudkivu","sudkivu","exact","CD81FL"
"Katanga","katanga",,"unmatched","CD81FL"
"Haut-Katanga","hautkatanga","hautkatanga","exact","CD81FL"
"Haut-Lomani","hautlomani","hautlomami","curated_published_alias","CD81FL"
"Lualaba","lualaba","lualaba","exact","CD81FL"
"Tanganyka","tanganyka","tanganyika","curated_published_alias","CD81FL"
"Kasaï Oriental","kasaioriental","kasaioriental","exact","CD81FL"
"Kasai-Oriental","kasaioriental","kasaioriental","exact","CD81FL"
"Lomani","lomani","lomami","curated_published_alias","CD81FL"
"Sankuru","sankuru","sankuru","exact","CD81FL"
"Kasaï Occident","kasaioccident",,"unmatched","CD81FL"
"Kasai","kasai","kasai","exact","CD81FL"
"Kasai-Central","kasaicentral","kasaicentral","exact","CD81FL"
"Brazzaville","brazzaville","brazzaville","exact","CG51FL"
"Pointe-Noire","pointenoire","pointenoire","exact","CG51FL"
"Sud","sud","south","canonical","CG51FL"
"Nord","nord","north","canonical","CG51FL"
"Brazzaville","brazzaville","brazzaville","exact","CG61FL"
"Pointe-Noire","pointenoire","pointenoire","exact","CG61FL"
"Sud","sud",,"unmatched","CG61FL"
"Kouilou","kouilou","kouilou","exact","CG61FL"
"Niari","niari","niari","exact","CG61FL"
"Lékoumou","lekoumou","lekoumou","exact","CG61FL"
"Bouénza","bouenza","bouenza","exact","CG61FL"
"Pool","pool","pool","exact","CG61FL"
"Nord","nord",,"unmatched","CG61FL"
"Plateaux","plateaux","plateaux","exact","CG61FL"
"Cuvette","cuvette","cuvette","exact","CG61FL"
"Cuvette-Ouest","cuvetteouest","cuvetteouest","exact","CG61FL"
"Sangha","sangha","sangha","exact","CG61FL"
"Likouala","likouala","likouala","exact","CG61FL"
"Abidjan","abidjan","abidjan","exact","CI62FL"
"Centre","centre","central","canonical","CI62FL"
"Centre-Est","centreest","eastcentral","canonical","CI62FL"
"Vallée du Bandama","valleedubandama","northcentral","curated_published_alias","CI62FL"
"Centre-Ouest","centreouest","westcentral","canonical","CI62FL"
"Savanes","savanes","north","curated_published_alias","CI62FL"
"Zanzan","zanzan","northeast","curated_published_alias","CI62FL"
"Nord-Ouest","nordouest","northwest","canonical","CI62FL"
"Montagnes","montagnes","west","curated_published_alias","CI62FL"
"Sud sans Abidjan","sudsansabidjan","south","curated_published_alias","CI62FL"
"Bas Sassandra","bassassandra","southwest","curated_published_alias","CI62FL"
"Abidjan","abidjan","abidjan","exact","CI81FL"
"Centre","centre",,"unmatched","CI81FL"
"Yamoussoukro","yamoussoukro","yamoussoukro","exact","CI81FL"
"Lacs","lacs","lacs","exact","CI81FL"
"Comoé","comoe","comoe","exact","CI81FL"
"Vallée du Bandama","valleedubandama","valleedubandama","exact","CI81FL"
"Sassandra-Marahoué","sassandramarahoue","sassandramarahoue","exact","CI81FL"
"Savanes","savanes","savanes","exact","CI81FL"
"Zanzan","zanzan","zanzan","exact","CI81FL"
"Nord-Ouest","nordouest",,"unmatched","CI81FL"
"Denguélé","denguele","denguele","exact","CI81FL"
"Woroba","woroba","woroba","exact","CI81FL"
"Montagnes","montagnes","montagnes","exact","CI81FL"
"Bas Sassandra","bassassandra","bassassandra","exact","CI81FL"
"Goh-Djiboua","gohdjiboua","gohdjiboua","exact","CI81FL"
"Lagunes","lagunes","lagunes","exact","CI81FL"
"Yaoundé/Douala","yaoundedouala",,"unmatched","CM44FL"
"Yaoundé","yaounde","yaounde","exact","CM44FL"
"Douala","douala","douala","exact","CM44FL"
"Adamaoua/Nord/Extrême-Nord","adamaouanordextremenord",,"unmatched","CM44FL"
"Adamaoua","adamaoua","adamawa","reviewed_recode_crosswalk","CM44FL"
"Nord","nord","north","canonical","CM44FL"
"Extrême-Nord","extremenord","farnorth","canonical","CM44FL"
"Centre/Sud/Est","centresudest",,"unmatched","CM44FL"
"Centre","centre","centre","exact","CM44FL"
"Sud","sud","south","canonical","CM44FL"
"Est","est","east","canonical","CM44FL"
"Ouest/Littoral","ouestlittoral",,"unmatched","CM44FL"
"Ouest","ouest","west","canonical","CM44FL"
"Littoral","littoral","littoral","exact","CM44FL"
"Nord Ouest/Sud Ouest","nordouestsudouest",,"unmatched","CM44FL"
"Nord Ouest","nordouest","northwest","canonical","CM44FL"
"Sud Ouest","sudouest","southwest","canonical","CM44FL"
"Yaoundé/Douala","yaoundedouala",,"unmatched","CM61FL"
"Yaoundé","yaounde","yaounde","exact","CM61FL"
"Douala","douala","douala","exact","CM61FL"
"Adamaoua/Nord/Extrême-Nord","adamaouanordextremenord",,"unmatched","CM61FL"
"Adamaoua","adamaoua","adamawa","reviewed_recode_crosswalk","CM61FL"
"Nord","nord","north","canonical","CM61FL"
"Extrême-Nord","extremenord","farnorth","canonical","CM61FL"
"Centre/Sud/Est","centresudest",,"unmatched","CM61FL"
"Centre","centre","centre","exact","CM61FL"
"Sud","sud","south","canonical","CM61FL"
"Est","est","east","canonical","CM61FL"
"Ouest/Littoral","ouestlittoral",,"unmatched","CM61FL"
"Ouest","ouest","west","canonical","CM61FL"
"Littoral","littoral","littoral","exact","CM61FL"
"Nord Ouest/Sud Ouest","nordouestsudouest",,"unmatched","CM61FL"
"Nord Ouest","nordouest","northwest","canonical","CM61FL"
"Sud Ouest","sudouest","southwest","canonical","CM61FL"
"Yaoundé/Douala","yaoundedouala",,"unmatched","CM71FL"
"Yaoundé","yaounde","yaounde","exact","CM71FL"
"Douala","douala","douala","exact","CM71FL"
"Adamaoua/Nord/Extrême-Nord","adamaouanordextremenord",,"unmatched","CM71FL"
"Adamaoua","adamaoua","adamawa","curated_published_alias","CM71FL"
"Nord","nord","north","canonical","CM71FL"
"Extrême-Nord","extremenord","farnorth","canonical","CM71FL"
"Centre/Sud/Est","centresudest",,"unmatched","CM71FL"
"Centre","centre","centre","exact","CM71FL"
"Sud","sud","south","canonical","CM71FL"
"Est","est","east","canonical","CM71FL"
"Ouest/Littoral","ouestlittoral",,"unmatched","CM71FL"
"Ouest","ouest","west","canonical","CM71FL"
"Littoral","littoral","littoral","exact","CM71FL"
"Nord Ouest/Sud Ouest","nordouestsudouest",,"unmatched","CM71FL"
"Nord Ouest","nordouest","northwest","canonical","CM71FL"
"Sud Ouest","sudouest","southwest","canonical","CM71FL"
"Tigray","tigray","tigray","exact","ET41FL"
"Afar","afar","affar","curated_published_alias","ET41FL"
"Amhara","amhara","amhara","exact","ET41FL"
"Oromia","oromia","oromiya","curated_published_alias","ET41FL"
"Somali","somali","somali","exact","ET41FL"
"Benishangul-Gumuz","benishangulgumuz","benishangulgumuz","exact","ET41FL"
"SNNPR","snnpr","snnp","curated_published_alias","ET41FL"
"Gambela","gambela","gambela","exact","ET41FL"
"Harari","harari","harari","exact","ET41FL"
"Addis Ababa","addisababa","addisababa","exact","ET41FL"
"Dire Dawa","diredawa","diredawa","exact","ET41FL"
"Tigray","tigray","tigray","exact","ET51FL"
"Afar","afar","affar","reviewed_recode_crosswalk","ET51FL"
"Amhara","amhara","amhara","exact","ET51FL"
"Oromia","oromia","oromiya","curated_published_alias","ET51FL"
"Somali","somali","somali","exact","ET51FL"
"Benishangul-Gumuz","benishangulgumuz","benishangulgumuz","exact","ET51FL"
"SNNPR","snnpr","snnp","curated_published_alias","ET51FL"
"Gambela","gambela","gambela","exact","ET51FL"
"Harari","harari","harari","exact","ET51FL"
"Addis Ababa","addisababa","addisababa","exact","ET51FL"
"Dire Dawa","diredawa","diredawa","exact","ET51FL"
"Tigray","tigray","tigray","exact","ET61FL"
"Afar","afar","affar","curated_published_alias","ET61FL"
"Amhara","amhara","amhara","exact","ET61FL"
"Oromia","oromia","oromiya","curated_published_alias","ET61FL"
"Somali","somali","somali","exact","ET61FL"
"Benishangul-Gumuz","benishangulgumuz","benishangulgumuz","exact","ET61FL"
"SNNPR","snnpr","snnp","curated_published_alias","ET61FL"
"Gambela","gambela","gambela","exact","ET61FL"
"Harari","harari","harari","exact","ET61FL"
"Addis Ababa","addisababa","addisababa","exact","ET61FL"
"Dire Dawa","diredawa","diredawa","exact","ET61FL"
"Tigray","tigray","tigray","exact","ET71FL"
"Afar","afar","affar","reviewed_recode_crosswalk","ET71FL"
"Amhara","amhara","amhara","exact","ET71FL"
"Oromia","oromia","oromiya","reviewed_recode_crosswalk","ET71FL"
"Somali","somali","somali","exact","ET71FL"
"Benishangul-Gumuz","benishangulgumuz","benishangulgumuz","exact","ET71FL"
"SNNPR","snnpr","snnp","reviewed_recode_crosswalk","ET71FL"
"Gambela","gambela","gambela","exact","ET71FL"
"Harari","harari","harari","exact","ET71FL"
"Addis Ababa","addisababa","addisababa","exact","ET71FL"
"Dire Dawa","diredawa","diredawa","exact","ET71FL"
"Tigray","tigray","tigray","exact","ET81FL"
"Afar","afar","afar","exact","ET81FL"
"Amhara","amhara","amhara","exact","ET81FL"
"Oromia","oromia","oromia","exact","ET81FL"
"Somali","somali","somali","exact","ET81FL"
"Benishangul-Gumuz","benishangulgumuz","benishangulgumuz","exact","ET81FL"
"SNNPR","snnpr","snnpr","exact","ET81FL"
"Gambela","gambela","gambela","exact","ET81FL"
"Harari","harari","harari","exact","ET81FL"
"Addis Ababa","addisababa","addisababa","exact","ET81FL"
"Dire Dawa","diredawa","diredawa","exact","ET81FL"
"Tigray","tigray","tigray","exact","ET8AFL"
"Afar","afar","afar","exact","ET8AFL"
"Amhara","amhara","amhara","exact","ET8AFL"
"Oromia","oromia","oromia","exact","ET8AFL"
"Somali","somali","somali","exact","ET8AFL"
"Benishangul-Gumuz","benishangulgumuz","benishangulgumuz","exact","ET8AFL"
"SNNPR","snnpr",,"unmatched","ET8AFL"
"Sidama","sidama","sidama","exact","ET8AFL"
"Central Ethiopia","centralethiopia","centralethiopia","exact","ET8AFL"
"South West Ethiopia","southwestethiopia","southwestethiopia","exact","ET8AFL"
"South Ethiopia","southethiopia","southethiopia","exact","ET8AFL"
"Gambela","gambela","gambella","curated_published_alias","ET8AFL"
"Harari","harari","harari","exact","ET8AFL"
"Addis Ababa","addisababa","addisababa","exact","ET8AFL"
"Dire Dawa","diredawa","diredawa","exact","ET8AFL"
"Libreville,Port-Gentil","librevilleportgentil","librevilleportgentil","exact","GA41FL"
"North","north","north","exact","GA41FL"
"East","east","east","exact","GA41FL"
"West","west","west","exact","GA41FL"
"South","south","south","exact","GA41FL"
"Libreville,Port-Gentil","librevilleportgentil","libervilleportgentil","reviewed_recode_crosswalk","GA61FL"
"North","north",,"unmatched","GA61FL"
"Ogooué Ivindo","ogooueivindo","ogooueivindo","exact","GA61FL"
"Woleu Ntem","woleuntem","woleuntem","exact","GA61FL"
"East","east",,"unmatched","GA61FL"
"Ogooué-Lolo","ogoouelolo","ogoouelolo","exact","GA61FL"
"Haut-Ogooué","hautogooue","hautogooue","exact","GA61FL"
"West","west",,"unmatched","GA61FL"
"Estuaire (excluding Libreville)","estuaireexcludinglibreville",,"unmatched","GA61FL"
"Moyen-Ogooué","moyenogooue","moyenogooue","exact","GA61FL"
"Ogooué-Maritime (excluding Port-Gentil)","ogoouemaritimeexcludingportgentil",,"unmatched","GA61FL"
"South","south",,"unmatched","GA61FL"
"Ngounié","ngounie","ngounie","exact","GA61FL"
"Nyanga","nyanga","nyanga","exact","GA61FL"
"Libreville,Port-Gentil","librevilleportgentil",,"unmatched","GA71FL"
"Libreville","libreville","liberville","reviewed_recode_crosswalk","GA71FL"
"Port-Gentil","portgentil","portgentil","exact","GA71FL"
"North","north",,"unmatched","GA71FL"
"Ogooué Ivindo","ogooueivindo","ogooueivindo","exact","GA71FL"
"Woleu Ntem","woleuntem","woleuntem","exact","GA71FL"
"East","east",,"unmatched","GA71FL"
"Ogooué-Lolo","ogoouelolo","ogoouelolo","exact","GA71FL"
"Haut-Ogooué","hautogooue","hautogooue","exact","GA71FL"
"West","west",,"unmatched","GA71FL"
"Estuaire (excluding Libreville)","estuaireexcludinglibreville","estuaire","survey_specific_published_override","GA71FL"
"Moyen-Ogooué","moyenogooue","moyenogooue","exact","GA71FL"
"Ogooué-Maritime (excluding Port-Gentil)","ogoouemaritimeexcludingportgentil","ogoouemaritime","survey_specific_published_override","GA71FL"
"South","south",,"unmatched","GA71FL"
"Ngounié","ngounie","ngounie","exact","GA71FL"
"Nyanga","nyanga","nyanga","exact","GA71FL"
"Western","western","western","exact","GH5AFL"
"Central","central","central","exact","GH5AFL"
"Greater Accra","greateraccra","greateraccra","exact","GH5AFL"
"Volta","volta","volta","exact","GH5AFL"
"Eastern","eastern","eastern","exact","GH5AFL"
"Ashanti","ashanti","ashanti","exact","GH5AFL"
"Brong-Ahafo","brongahafo","brongahafo","exact","GH5AFL"
"Northern, Upper West, Upper East","northernupperwestuppereast",,"unmatched","GH5AFL"
"Northern","northern","northern","exact","GH5AFL"
"Upper West","upperwest","upperwest","exact","GH5AFL"
"Upper East","uppereast","uppereast","exact","GH5AFL"
"Western","western","western","exact","GH72FL"
"Central","central","central","exact","GH72FL"
"Greater Accra","greateraccra","greateraccra","exact","GH72FL"
"Volta","volta","volta","exact","GH72FL"
"Eastern","eastern","eastern","exact","GH72FL"
"Ashanti","ashanti","ashanti","exact","GH72FL"
"Brong-Ahafo","brongahafo","brongahafo","exact","GH72FL"
"Northern, Upper West, Upper East","northernupperwestuppereast",,"unmatched","GH72FL"
"Northern","northern","northern","exact","GH72FL"
"Upper West","upperwest","upperwest","exact","GH72FL"
"Upper East","uppereast","uppereast","exact","GH72FL"
"Western","western","western","exact","GH8CFL"
"Western North","westernnorth","westernnorth","exact","GH8CFL"
"Central","central","central","exact","GH8CFL"
"Greater Accra","greateraccra","greateraccra","exact","GH8CFL"
"Volta","volta","volta","exact","GH8CFL"
"Oti","oti","oti","exact","GH8CFL"
"Eastern","eastern","eastern","exact","GH8CFL"
"Ashanti","ashanti","ashanti","exact","GH8CFL"
"Brong-Ahafo","brongahafo",,"unmatched","GH8CFL"
"Ahafo","ahafo","ahafo","exact","GH8CFL"
"Bono","bono","bono","exact","GH8CFL"
"Bono East","bonoeast","bonoeast","exact","GH8CFL"
"Northern, Upper West, Upper East","northernupperwestuppereast",,"unmatched","GH8CFL"
"Northern","northern","northern","exact","GH8CFL"
"Savannah","savannah","savannah","exact","GH8CFL"
"Northeast","northeast","northeast","exact","GH8CFL"
"Upper West","upperwest","upperwest","exact","GH8CFL"
"Upper East","uppereast","uppereast","exact","GH8CFL"
"Banjul","banjul","banjul","exact","GM61FL"
"Kanifing","kanifing","kanifing","exact","GM61FL"
"Brikama","brikama","brikama","exact","GM61FL"
"Mansakonko","mansakonko","mansakonko","exact","GM61FL"
"Kerewan","kerewan","kerewan","exact","GM61FL"
"Kuntaur","kuntaur","kuntaur","exact","GM61FL"
"Janjanbureh","janjanbureh","janjanbureh","exact","GM61FL"
"Basse","basse","basse","exact","GM61FL"
"Banjul","banjul","banjul","exact","GM81FL"
"Kanifing","kanifing","kanifing","exact","GM81FL"
"Brikama","brikama","brikama","exact","GM81FL"
"Mansakonko","mansakonko","mansakonko","exact","GM81FL"
"Kerewan","kerewan","kerewan","exact","GM81FL"
"Kuntaur","kuntaur","kuntaur","exact","GM81FL"
"Janjanbureh","janjanbureh","janjanbureh","exact","GM81FL"
"Basse","basse","basse","exact","GM81FL"
"Lower Guinea","lowerguinea",,"unmatched","GN52FL"
"Central Guinea","centralguinea",,"unmatched","GN52FL"
"Upper Guinea","upperguinea",,"unmatched","GN52FL"
"Forest Guinea","forestguinea",,"unmatched","GN52FL"
"Conakry","conakry","conakry","exact","GN52FL"
"Boké","boke","boke","exact","GN52FL"
"Faranah","faranah","faranah","exact","GN52FL"
"Kankan","kankan","kankan","exact","GN52FL"
"Kindia","kindia","kindia","exact","GN52FL"
"Labé","labe","labe","exact","GN52FL"
