"survey","IndicatorId","CharacteristicLabel","value"
"KE72FL","CN_NUTS_C_HA2","..Samburu",30.1
"KE72FL","CN_NUTS_C_HA2","..Trans-Nzoia",29.2
"KE72FL","CN_NUTS_C_HA2","..Uasin Gishu",31.2
"KE72FL","CN_NUTS_C_HA2","..Elgeyo Marakwet",29.9
"KE72FL","CN_NUTS_C_HA2","..Nandi",29.9
"KE72FL","CN_NUTS_C_HA2","..Baringo",29.5
"KE72FL","CN_NUTS_C_HA2","..Laikipia",26.9
"KE72FL","CN_NUTS_C_HA2","..Nakuru",27.6
"KE72FL","CN_NUTS_C_HA2","..Narok",32.9
"KE72FL","CN_NUTS_C_HA2","..Kajiado",18.2
"KE72FL","CN_NUTS_C_HA2","..Kericho",28.7
"KE72FL","CN_NUTS_C_HA2","..Bomet",35.5
"KE72FL","CN_NUTS_C_HA2","..Kakamega",28.4
"KE72FL","CN_NUTS_C_HA2","..Vihiga",23.5
"KE72FL","CN_NUTS_C_HA2","..Bungoma",24.4
"KE72FL","CN_NUTS_C_HA2","..Busia",22
"KE72FL","CN_NUTS_C_HA2","..Siaya",24.7
"KE72FL","CN_NUTS_C_HA2","..Kisumu",18
"KE72FL","CN_NUTS_C_HA2","..Homa Bay",18.7
"KE72FL","CN_NUTS_C_HA2","..Migori",26.4
"KE72FL","CN_NUTS_C_HA2","..Kisii",25.5
"KE72FL","CN_NUTS_C_HA2","..Nyamira",25.5
"KE72FL","CN_NUTS_C_WH2","..Mombasa",4.1
"KE72FL","CN_NUTS_C_WH2","..Kwale",4.4
"KE72FL","CN_NUTS_C_WH2","..Kilifi",4.1
"KE72FL","CN_NUTS_C_WH2","..Tana River",5.7
"KE72FL","CN_NUTS_C_WH2","..Lamu",4.2
"KE72FL","CN_NUTS_C_WH2","..Taita Taveta",7.2
"KE72FL","CN_NUTS_C_WH2","..Garissa",11.4
"KE72FL","CN_NUTS_C_WH2","..Wajir",14.2
"KE72FL","CN_NUTS_C_WH2","..Mandera",14.8
"KE72FL","CN_NUTS_C_WH2","..Marsabit",16.3
"KE72FL","CN_NUTS_C_WH2","..Isiolo",9.1
"KE72FL","CN_NUTS_C_WH2","..Meru",2.9
"KE72FL","CN_NUTS_C_WH2","..Tharaka-Nithi",3.3
"KE72FL","CN_NUTS_C_WH2","..Embu",3
"KE72FL","CN_NUTS_C_WH2","..Kitui",3.4
"KE72FL","CN_NUTS_C_WH2","..Machakos",6.5
"KE72FL","CN_NUTS_C_WH2","..Makueni",2.1
"KE72FL","CN_NUTS_C_WH2","..Nyandarua",2
"KE72FL","CN_NUTS_C_WH2","..Nyeri",2.4
"KE72FL","CN_NUTS_C_WH2","..Kirinyaga",3.9
"KE72FL","CN_NUTS_C_WH2","..Murang'a",1.4
"KE72FL","CN_NUTS_C_WH2","..Kiambu",2.3
"KE72FL","CN_NUTS_C_WH2","..Turkana",22.9
"KE72FL","CN_NUTS_C_WH2","..West Pokot",14.3
"KE72FL","CN_NUTS_C_WH2","..Samburu",13.6
"KE72FL","CN_NUTS_C_WH2","..Trans-Nzoia",3.9
"KE72FL","CN_NUTS_C_WH2","..Uasin Gishu",3
"KE72FL","CN_NUTS_C_WH2","..Elgeyo Marakwet",4.3
"KE72FL","CN_NUTS_C_WH2","..Nandi",3.9
"KE72FL","CN_NUTS_C_WH2","..Baringo",6.9
"KE72FL","CN_NUTS_C_WH2","..Laikipia",4.4
"KE72FL","CN_NUTS_C_WH2","..Nakuru",4.5
"KE72FL","CN_NUTS_C_WH2","..Narok",2.4
"KE72FL","CN_NUTS_C_WH2","..Kajiado",3
"KE72FL","CN_NUTS_C_WH2","..Kericho",5.6
"KE72FL","CN_NUTS_C_WH2","..Bomet",1.8
"KE72FL","CN_NUTS_C_WH2","..Kakamega",1.8
"KE72FL","CN_NUTS_C_WH2","..Vihiga",2.6
"KE72FL","CN_NUTS_C_WH2","..Bungoma",1.8
"KE72FL","CN_NUTS_C_WH2","..Busia",2.2
"KE72FL","CN_NUTS_C_WH2","..Siaya",0.2
"KE72FL","CN_NUTS_C_WH2","..Kisumu",0.8
"KE72FL","CN_NUTS_C_WH2","..Homa Bay",2.3
"KE72FL","CN_NUTS_C_WH2","..Migori",4
"KE72FL","CN_NUTS_C_WH2","..Kisii",1.7
"KE72FL","CN_NUTS_C_WH2","..Nyamira",4.1
"KE8CFL","CN_NUTS_C_HA2","Coast",24.3
"KE8CFL","CN_NUTS_C_HA2","North Eastern",14.4
"KE8CFL","CN_NUTS_C_HA2","Eastern",21.1
"KE8CFL","CN_NUTS_C_HA2","Central",13.9
"KE8CFL","CN_NUTS_C_HA2","Rift Valley",20.1
"KE8CFL","CN_NUTS_C_HA2","Western",15.3
"KE8CFL","CN_NUTS_C_HA2","Nyanza",14.1
"KE8CFL","CN_NUTS_C_WH2","Coast",6.3
"KE8CFL","CN_NUTS_C_WH2","North Eastern",17.8
"KE8CFL","CN_NUTS_C_WH2","Eastern",5.7
"KE8CFL","CN_NUTS_C_WH2","Central",2.6
"KE8CFL","CN_NUTS_C_WH2","Rift Valley",6.2
"KE8CFL","CN_NUTS_C_WH2","Western",2.1
"KE8CFL","CN_NUTS_C_WH2","Nyanza",2.3
"LB6AFL","CN_NUTS_C_HA2","..Bomi",33.1
"LB6AFL","CN_NUTS_C_HA2","..Grand Cape Mount",28.5
"LB6AFL","CN_NUTS_C_HA2","..Gbarpolu",25.1
"LB6AFL","CN_NUTS_C_HA2","Montserrado incl. Monrovia",27.2
"LB6AFL","CN_NUTS_C_HA2","Sinoe",31.5
"LB6AFL","CN_NUTS_C_HA2","Monrovia",27
"LB6AFL","CN_NUTS_C_HA2","Grand Gedeh",31.4
"LB6AFL","CN_NUTS_C_HA2","..Margibi",30.9
"LB6AFL","CN_NUTS_C_HA2","..Grand Bassa",38.1
"LB6AFL","CN_NUTS_C_HA2","..River Cess",35.4
"LB6AFL","CN_NUTS_C_HA2","..River Gee",42.6
"LB6AFL","CN_NUTS_C_HA2","..Grand Kru",31.2
"LB6AFL","CN_NUTS_C_HA2","..Maryland",33.4
"LB6AFL","CN_NUTS_C_HA2","..Lofa",28.5
"LB6AFL","CN_NUTS_C_HA2","..Bong",34.7
"LB6AFL","CN_NUTS_C_HA2","..Nimba",36.5
"LB6AFL","CN_NUTS_C_WH2","..Bomi",8.8
"LB6AFL","CN_NUTS_C_WH2","..Grand Cape Mount",4.1
"LB6AFL","CN_NUTS_C_WH2","..Gbarpolu",6.5
"LB6AFL","CN_NUTS_C_WH2","Sinoe",7
"LB6AFL","CN_NUTS_C_WH2","Montserrado incl. Monrovia",6.5
"LB6AFL","CN_NUTS_C_WH2","Grand Gedeh",5.9
"LB6AFL","CN_NUTS_C_WH2","Monrovia",5.5
"LB6AFL","CN_NUTS_C_WH2","..Margibi",5.4
"LB6AFL","CN_NUTS_C_WH2","..Grand Bassa",8.6
"LB6AFL","CN_NUTS_C_WH2","..River Cess",8.6
"LB6AFL","CN_NUTS_C_WH2","..River Gee",7.8
"LB6AFL","CN_NUTS_C_WH2","..Grand Kru",3.6
"LB6AFL","CN_NUTS_C_WH2","..Maryland",3.3
"LB6AFL","CN_NUTS_C_WH2","..Lofa",6.8
"LB6AFL","CN_NUTS_C_WH2","..Bong",7.2
"LB6AFL","CN_NUTS_C_WH2","..Nimba",3.9
"LB7AFL","CN_NUTS_C_HA2","..Bomi",32.4
"LB7AFL","CN_NUTS_C_HA2","..Grand Cape Mount",32.5
"LB7AFL","CN_NUTS_C_HA2","..Gbarpolu",34.3
"LB7AFL","CN_NUTS_C_HA2","Sinoe",30
"LB7AFL","CN_NUTS_C_HA2","Montserrado incl. Monrovia",20.7
"LB7AFL","CN_NUTS_C_HA2","Monrovia",18.7
"LB7AFL","CN_NUTS_C_HA2","Grand Gedeh",31.9
"LB7AFL","CN_NUTS_C_HA2","..Margibi",33.8
"LB7AFL","CN_NUTS_C_HA2","..Grand Bassa",34.7
"LB7AFL","CN_NUTS_C_HA2","..River Cess",40.6
"LB7AFL","CN_NUTS_C_HA2","..River Gee",31
