"iso3","year","allcause_u5","allcause_1mo5y","pfpr_pct","mal_u5","mal_u5_lo","mal_u5_hi","mal_1mo5y","mal_pn_lo","mal_pn_hi"
"GMB",2002,6368.1991388652,3983.1979169736,15.3503937182757,621.800353274838,330.599652651566,898.955246628847,837.558512305685,483.54434215002,1155.76051741546
"GMB",2003,6217.3927169536,3829.4626512688,12.57044245583,501.742914016816,265.497368456438,728.610568651743,683.360422674491,383.956210388606,956.745987955825
"GMB",2004,6109.7263619392,3695.4509291392,8.55408914152275,340.031606809414,178.703054182019,496.971278173793,470.338355101971,254.966004034058,672.226963546764
"GMB",2005,6000.5333556474,3572.533640628,6.56238931270428,257.90308687748,135.088888748847,378.145044691515,356.244349067808,190.209427736184,514.126853962118
"GMB",2006,5938.16403908,3482.17223029,8.18193513659193,316.497157530568,166.230432429771,462.851129338985,425.631273009624,230.042919731605,609.454836350914
"GMB",2007,5794.512750954,3337.0808372964,8.14337093771145,307.424158880526,161.454743210127,449.61022152507,406.141442062496,219.442804703642,581.65758391509
"GMB",2008,5650.9554579688,3202.68256434,11.4315195755653,416.286171985854,219.849372434675,605.617431180728,527.012416222162,292.95188404526,742.24374006297
"GMB",2009,5538.503351752,3089.9018699248,10.2559414741539,367.479680359125,193.685133076547,535.622969850063,462.549441648773,254.39257792653,655.425200917462
"GMB",2010,5444.645590872,2988.189258264,12.1948850165916,426.787632264313,225.689576985248,620.13639307038,519.710454517143,290.965069050948,729.055548427257
"GMB",2011,5365.9722561984,2902.3981930944,26.376184428626,868.092334701335,470.256758032983,1233.59834092127,895.997459347422,568.20753200298,1177.75563792979
"GMB",2012,5297.2834544688,2815.173093318,29.0968354238551,936.977565121392,509.843842041797,1326.00196192495,920.659782188726,592.39874727578,1200.44275002405
"GMB",2013,5129.55075456,2676.984300036,19.7100075140128,633.888071095387,339.554923967142,910.134825316009,680.710501625586,409.84797227633,919.211895656153
"GMB",2014,4905.0148226144,2524.4050227136,11.6703520446521,368.591657792203,194.740339303192,536.025691809031,422.857973233639,235.577591500804,594.813341495393
"GMB",2015,4683.6110030426,2377.5886076566,16.3802073515877,486.331446016005,259.031346329475,701.954014866143,526.186363356448,306.879702078907,722.265831936615
"GMB",2016,4471.5370295622,2243.6687568828,9.21665020161251,267.544713133819,140.764966027791,390.61278260714,305.431593300159,166.480647823829,435.086966021024
"GMB",2017,4254.3270381777,2107.5763780291,4.13743890171438,116.218961313336,60.6316678758162,171.068790112597,135.653399510844,71.3139622236746,197.958183787886
"GMB",2018,4056.6863593664,1985.6820420608,4.51990425145114,120.910715462254,63.118742701542,177.866180894669,139.130465400417,73.3033898179514,202.691199014765
"GMB",2019,3952.6158331296,1913.5679827056,2.91035993409658,76.2646584999549,39.7077533337702,112.479451127883,87.5974274122062,45.7495479487459,128.50617863563
"GMB",2020,3854.392265295,1847.8876498225,4.64463129186377,118.00143132631,61.6128947014095,173.551037176559,132.889669722319,70.068541793256,193.48948729244
"GMB",2021,3773.94996237,1790.618811933,3.96385103148322,98.8284951165626,51.5441941659846,145.511869610974,110.595280792966,58.0829921449718,161.5152046547
"GMB",2022,3675.044872161,1719.888549444,6.0244214606024,145.265609971662,76.021517233805,213.177269995413,158.300643159048,84.2056550091136,229.038743089338
"GMB",2023,3595.661377119,1666.4823277515,5.55189095117173,131.186006084114,68.5995908181622,192.661485256649,142.01366616439,75.3052773786335,205.924537317964
"GMB",2024,3493.9703767584,1598.6562572904,7.4363160474733,169.674742380476,89.0049892856321,248.432883875226,179.017175339083,96.1966562515381,257.271523247267
"GNB",2000,9139.6526490728,6253.4465493656,37.9558007484488,2048.82597939946,1130.61546635834,2861.76600807852,2344.06754628657,1539.66198915617,3011.20129797881
"GNB",2001,8924.4198889066,6067.3403970062,27.4861706598417,1499.05613413344,813.544945315999,2126.62937701044,1919.9061020209,1225.39867279325,2514.79623981333
"GNB",2002,8767.1205058128,5910.8398031244,19.4889514727277,1072.03675147502,574.041153932425,1539.76275041498,1490.83724983608,895.789340701486,2015.28109226826
"GNB",2003,8588.5647632352,5723.8944617376,12.5128666326989,690.05537441497,365.106475458764,1002.16372045307,1017.47636331371,571.365500558775,1424.96204868919
"GNB",2004,8347.6296263908,5495.3392923074,7.42923835923951,405.002483953665,212.446593979881,592.999646423346,614.826184887577,330.365612448655,883.617055521704
"GNB",2005,8144.3970155855,5285.7304788005,5.36426004300786,287.280958409345,150.178141832916,422.031183505827,436.005913523138,230.921205220777,632.765805081677
"GNB",2006,7924.5536597669,5070.347057651,4.29454380806019,224.585117995323,117.196434588091,330.4959691338,338.256404237643,177.982613113446,493.277196115764
"GNB",2007,7710.7206870528,4865.6505540288,4.2208031394232,214.826048419641,112.090118007767,316.172459705489,319.246975973672,167.908063254256,465.708802706015
"GNB",2008,7406.821522188,4608.0383699304,4.99793531118236,243.722304126892,127.329865598117,358.253696052699,355.409608725387,187.796427842687,516.666867793785
"GNB",2009,7109.1155307192,4358.9169269052,6.34070323246496,295.445868069447,154.696689981327,433.345448521599,420.919540570166,224.392286989497,608.102270162576
"GNB",2010,6858.4138661268,4152.2505646192,7.70254398529361,344.677805338591,180.885628351951,504.45171187164,480.262284625586,258.597701921374,689.305845356349
"GNB",2011,6639.5261408184,3967.8199497156,8.04009615614004,347.909066502847,182.684852097948,508.904821122824,477.317446681773,257.687804575394,683.944233754776
"GNB",2012,6428.9287286924,3797.7841524708,7.76338005441041,325.580275525242,170.880518426945,476.45563944842,442.4508400276,238.348078845643,634.849572191881
"GNB",2013,6232.4060148926,3635.0460914308,7.51205642767233,305.665808001674,160.360811871602,447.493460750944,410.875254491179,220.912272002538,590.268216259036
"GNB",2014,5983.0857805824,3456.61468416,6.42097334247917,251.730045937439,131.824479177353,369.177688314504,337.74071398909,180.150459022504,487.749056583965
"GNB",2015,5759.9453947788,3301.2787470075,5.30170636674055,200.846424243808,104.982852338903,295.084324190615,269.304156475445,142.573053379427,390.948970365668
"GNB",2016,5528.5420612842,3134.09413905,4.32871044461213,157.909168970116,82.4073331238437,232.363552271633,210.678287284076,110.876735757873,307.183004448045
"GNB",2017,5277.1318953792,2964.1234382976,3.64578393715198,127.237615548969,66.3267036005805,187.435714335406,168.869105757957,88.5334775675715,246.957944805132
"GNB",2018,5115.1635335904,2843.8317942224,3.68733811283036,124.721205199472,65.0192603087532,183.716761373515,163.802607253942,85.8960929277844,239.506595384682
"GNB",2019,4982.040985536,2744.8225807104,4.25047301166557,139.765693341223,72.9291346609703,205.692280027295,181.313205517325,95.3770755067546,264.461935901187
"GNB",2020,4849.609576851,2642.942376954,5.62252190871232,179.143932929528,93.6887841271305,263.062865538316,227.930638583135,120.921051892271,330.397773658586
"GNB",2021,4737.3863468247,2556.7859018529,6.50287589350832,201.807597113801,105.695455961391,295.925284084254,252.801918980162,134.919671596467,364.946266038334
"GNB",2022,4617.374564304,2469.012787857,6.94747455614319,209.831062849732,109.979491037043,307.470174777326,259.624906050509,139.005872971814,373.998610156473
"GNB",2023,4508.1850949471,2393.154211091,6.34681411684604,187.531189818086,98.1931221248928,275.05878597031,231.303642049802,123.313329443843,334.154526895866
"GNB",2024,4379.343252576,2297.040368736,6.30792437175638,181.079205109426,94.8085742925718,265.612271095003,220.741604662935,117.650032018986,318.955445360507
"GNQ",2000,4432.6462213725,3110.024921662,30.0861544273154,808.07878474017,440.411790481453,1141.88481342789,1036.30607723358,669.650902551501,1347.87273851165
"GNQ",2001,4552.9930944272,3170.7262162256,29.8434215970535,823.975749993718,448.899355815363,1164.77310765824,1051.79651730441,678.986802073232,1368.82684809817
"GNQ",2002,4677.1344671762,3237.769576318,29.0440559153907,825.928925580032,449.379471119668,1168.94028107044,1057.77603336462,680.462150524014,1379.41957843137
"GNQ",2003,4797.819167743,3302.5271161708,30.1374241442691,875.993863718065,477.465881875989,1237.75934638699,1101.48588937999,711.915434487416,1432.47333387887
"GNQ",2004,4910.832670328,3369.476430736,32.1903886618068,951.304763432227,520.228536988572,1340.05685255503,1164.42280141425,757.918583382363,1507.65207034231
"GNQ",2005,5002.8125484015,3422.1809193525,34.061879452405,1019.22948885289,559.033709633214,1431.76717162387,1217.48300470741,796.064120825527,1571.27564619005
"GNQ",2006,5006.6659639724,3418.994810562,34.1855536079227,1023.30598635964,561.379295494014,1437.23167676568,1218.56469240049,796.963681437287,1572.37552362691
"GNQ",2007,5003.0241514272,3419.6853498336,33.9243505927929,1015.61169538069,556.928322063435,1426.97432068054,1214.11865692159,793.644446336677,1567.26750046057
"GNQ",2008,4991.6469327,3409.54866759,31.4757803071436,947.702596310415,517.665887921011,1336.40419765704,1164.34474649205,756.203839423056,1509.70479957678
"GNQ",2009,4968.794238254,3388.4112250296,28.0543811888683,850.287232817246,461.885514146531,1205.21639920181,1085.14496404677,694.702678626065,1418.99400128999
"GNQ",2010,4945.605708182,3363.373534632,26.5334300094082,804.441642339563,435.88947327829,1142.87396293964,1042.05991408793,661.466417387122,1369.0424626498
"GNQ",2011,4917.01091112,3329.2261377375,27.2388476051847,819.154905757771,444.378486956726,1162.52748698318,1047.8490652779,667.881215681082,1373.56776336307
"GNQ",2012,4851.655536618,3258.2196495915,30.5696843131542,897.259749557012,489.398535095627,1266.98639829819,1095.24269998302,709.066290159516,1422.91625060353
"GNQ",2013,4783.0484740232,3191.9329573096,33.7801189256094,967.283421139401,530.305500003093,1359.36074790406,1130.82348297935,738.975646043236,1460.0754517863
"GNQ",2014,4706.7461115688,3121.3678305472,34.4162307644829,967.770158632569,531.106046651193,1358.77000519343,1116.2344455326,730.352690998395,1439.83919522369
"GNQ",2015,4623.9187319073,3042.4481558478,34.5542032457174,954.123020354024,523.730432109471,1339.33738140612,1090.18294966475,713.483647636729,1405.9527056884
"GNQ",2016,4535.851296768,2961.0444982272,32.0916256667616,876.251313208801,479.109395318774,1234.51383201576,1021.62413489208,664.779434999921,1323.01415490138
"GNQ",2017,4448.652315492,2872.765026032,28.7469493218734,778.303239516023,423.261668852714,1102.02993123507,933.05017479205,599.39226618822,1217.73783587234
"GNQ",2018,4357.35645696,2796.66868752,25.9447325174019,694.374355913223,375.882720016748,987.388390420099,854.698559868935,540.561979868528,1125.09509160495
"GNQ",2019,4283.8171121937,2733.7866329365,23.7299292965598,628.946244601878,339.20898029919,897.401720768535,789.603405705477,491.76638491672,1047.87472507317
"GNQ",2020,4192.0317860772,2652.9803216124,23.8497313879305,618.332798246012,333.552085659705,882.094347899567,768.7717343095,479.222248210545,1019.75228279608
