"svkey","regkey","u5mr","m1mo5y","exposure","pfpr2_10","pct_urban","iso3","year","pfpr10","log_gdp","dtp3","year_c","dtp3_reg","facility","educ_yrs","wealth_q"
"TD71FL","batha",121.15,99.81,861,7.50837209250393,9.26202033934975,"TCD",2014,0.750837209250393,7.15366945204991,36,0,7.88894070245441,8.07927038069996,0.696415975257663,2.52783337177281
"TD71FL","borkoutibesti",98.98,75.8,75,6.43449158932316,42.9267227851959,"TCD",2014,0.643449158932316,7.15366945204991,36,0,8.10395535320534,17.2410876805845,0.823740642074863,3.51089172086623
"TD71FL","charibaguirmi",171.27,128,883,16.1553796998501,1.72473758230763,"TCD",2014,1.61553796998501,7.15366945204991,36,0,5.5179348416891,10.2655544527468,0.358482101111991,3.02649001134937
"TD71FL","guera",112.64,88.36,1225,14.9246532914141,28.7900804384506,"TCD",2014,1.49246532914141,7.15366945204991,36,0,25.5769097906888,14.5065019614467,1.03125767496541,2.79093739899059
"TD71FL","hadjerlamis",112.68,75.81,1311,13.1998914682209,13.2153501791515,"TCD",2014,1.31998914682209,7.15366945204991,36,0,30.9920873332612,12.4290050491131,0.332527581383175,3.196275852853
"TD71FL","kanem",85.66,64.1,700,7.75895383718743,10.6488140394495,"TCD",2014,0.775895383718743,7.15366945204991,36,0,25.8567630651209,5.24395654964999,0.185411400200136,3.47056571527301
"TD71FL","lac",100.99,74.08,954,9.08027154757598,5.86918583863292,"TCD",2014,0.908027154757598,7.15366945204991,36,0,17.8278989557909,4.04621324529175,0.156073862293773,3.31797427660384
"TD71FL","logoneoccidental",178.58,136.45,1139,20.7203855750087,27.6618665423128,"TCD",2014,2.07203855750087,7.15366945204991,36,0,28.5902904219368,29.3745531640065,2.99232823903042,2.85961843928045
"TD71FL","logoneoriental",187.1,140.67,2004,25.8957570470045,10.2543578680322,"TCD",2014,2.58957570470045,7.15366945204991,36,0,40.4426306696831,27.1996112696488,2.54828818077759,2.42048782030325
"TD71FL","mandoul",130.97,93.21,1437,27.0002397330842,8.46558105359241,"TCD",2014,2.70002397330842,7.15366945204991,36,0,63.354415739737,28.823602486754,2.08402230574078,2.43445991082126
"TD71FL","mayokebbiest",143.26,95.58,1405,15.0116320119865,8.37890999326776,"TCD",2014,1.50116320119865,7.15366945204991,36,0,42.5572598596663,21.1063047075365,2.29322103146661,2.74783584368689
"TD71FL","mayokebbiouest",123.25,94.85,1025,20.2553701557036,13.7547632240113,"TCD",2014,2.02553701557036,7.15366945204991,36,0,58.3782926942347,24.9204718102725,3.3046863834977,3.02575848280824
"TD71FL","moyenchari",139.39,113.18,954,26.873062446346,28.3854742499952,"TCD",2014,2.6873062446346,7.15366945204991,36,0,41.8065876235104,28.5508752165496,3.32915040784568,2.91851594918342
"TD71FL","ndjamena",133.42,95.66,1214,13.488977883555,100,"TCD",2014,1.3488977883555,7.15366945204991,36,0,42.5674005539029,68.7175527033722,4.81644683994954,4.98809940360472
"TD71FL","ouaddai",101.44,60.65,1033,6.90971805808065,18.7404383975478,"TCD",2014,0.690971805808065,7.15366945204991,36,0,10.1355394767476,11.4953703172109,0.280037958916741,2.49387466009502
"TD71FL","salamat",132.62,105.02,438,17.0241116715101,30.6470014848449,"TCD",2014,1.70241116715101,7.15366945204991,36,0,23.6780451912843,16.0944931575719,0.396849608540277,2.9224876154758
"TD71FL","sila",84.4,66.07,416,11.3967171261881,10.3859358839912,"TCD",2014,1.13967171261881,7.15366945204991,36,0,18.7214177122457,11.5086621373342,0.259676848632532,1.92203819527846
"TD71FL","tandjile",171.63,150.79,1121,15.1733611117366,12.3013873548313,"TCD",2014,1.51733611117366,7.15366945204991,36,0,45.3437178310985,22.5558628459707,2.52914531469392,2.71655741273482
"TD71FL","wadifira",52.99,33.91,450,5.85928716382178,5.29225862879079,"TCD",2014,0.585928716382178,7.15366945204991,36,0,8.86142404737445,7.29178190035006,0.161676633426349,2.69430781232193
"TG61FL","centrale",113.09,92.25,637,49.7373324868125,21.0152512947067,"TGO",2013,4.97373324868125,6.78637662489491,84,-1,95.1822504886594,75.4403236045779,3.31460697524734,2.73162101854997
"TG61FL","kara",108.04,88.71,811,58.1133996279354,18.1235239642292,"TGO",2013,5.81133996279354,6.78637662489491,84,-1,87.0861627362107,56.3843859471393,3.0758343206986,2.28225023642212
"TG61FL","plateaux",99.05,67.93,1650,48.4314461739552,14.3340935734924,"TGO",2013,4.84314461739552,6.78637662489491,84,-1,75.2591442561115,63.4715197446458,3.51418594471583,2.6246843063591
"TG61FL","savanes",93.65,71.63,955,38.9526845511112,13.0137578076347,"TGO",2013,3.89526845511112,6.78637662489491,84,-1,92.858328577999,52.3430116345754,1.49121324092108,1.79925519258328
"TZ63FL","central",58.06,42.46,736,8.23022431462744,12.5714992554802,"TZA",2010,0.823022431462744,6.60195017378459,91,-4,95.0710842779282,41.0564402591631,4.83307296925993,2.27201398822797
"TZ63FL","eastern",93.31,48.3,887,15.356977737455,50.9333281165865,"TZA",2010,1.5356977737455,6.60195017378459,91,-4,97.9912198186753,42.7550649552964,6.16712897407727,3.96356580747095
"TZ63FL","lake",94.47,71.29,1577,13.4126682788617,14.7316683145399,"TZA",2010,1.34126682788617,6.60195017378459,91,-4,91.4438401889499,35.2056759090379,4.84435610699578,2.79395055477962
"TZ63FL","northern",53.9,27.86,1018,7.51415198178937,17.0368499541592,"TZA",2010,0.751415198178937,6.60195017378459,91,-4,92.0671727270586,40.1447333183811,5.60316241583843,3.29025211014025
"TZ63FL","southern",66.55,44.28,623,9.96574498054179,14.3920247295207,"TZA",2010,0.996574498054179,6.60195017378459,91,-4,93.9544076452592,53.5727528052,5.49574733127638,2.63847103709918
"TZ63FL","southernhighlands",92.93,61.64,1067,6.12717900245367,15.6793515262068,"TZA",2010,0.612717900245367,6.60195017378459,91,-4,81.8539505584838,37.3605367380322,5.37983026431483,3.2200174389392
"TZ63FL","western",87.81,69.33,1560,7.57691336776077,13.1661685165381,"TZA",2010,0.757691336776077,6.60195017378459,91,-4,74.9083352283587,30.4285180346896,4.23109884272817,2.55304806999985
"TZ63FL","zanzibar",74.21,36.35,208,9.02289631271956,35.6712662371479,"TZA",2010,0.902289631271956,6.60195017378459,91,-4,94.6441616956193,35.3681054907352,6.23366639889254,3.95812238855085
"TZ7BFL","central",52.31,26.2,1074,3.05272027391161,14.1150171770135,"TZA",2015,0.305272027391161,6.84495106036383,96,1,98.2249492852877,60.0583721183135,5.46972533689199,2.50212863640334
"TZ7BFL","eastern",81.78,42.58,1295,7.6884876436828,64.610605536351,"TZA",2015,0.76884876436828,6.84495106036383,96,1,93.9722264598424,86.6857605959113,7.1509798645529,4.16591732477137
"TZ7BFL","lake",75.62,56.2,2975,16.4298727241717,18.6979539151502,"TZA",2015,1.64298727241717,6.84495106036383,96,1,86.9694945956261,49.7539887526904,5.45941137626533,2.74192085155923
"TZ7BFL","northern",46.45,29.32,874,4.70953353708079,29.72009037326,"TZA",2015,0.470953353708079,6.84495106036383,96,1,94.3837844776681,67.0217807525256,6.32613576714881,3.52181988862743
"TZ7BFL","southern",57.18,16.06,398,18.4903787344032,20.4740669322405,"TZA",2015,1.84903787344032,6.84495106036383,96,1,90.5642967207867,81.0600303028758,5.3390156315472,2.69437833534778
"TZ7BFL","southernhighlands",52.45,23.74,523,8.01613447224215,27.1086698076138,"TZA",2015,0.801613447224215,6.84495106036383,96,1,97.1723876345075,87.9417427891325,6.74592870569962,3.34076220157842
"TZ7BFL","southwesthighlands",82.98,52.64,918,6.05283596904214,22.2808579802762,"TZA",2015,0.605283596904214,6.84495106036383,96,1,87.9313032107946,62.0295270473112,5.89418732253458,2.90063130228791
"TZ7BFL","western",58.66,38.41,1127,16.1660275142693,14.0662326513888,"TZA",2015,1.61660275142693,6.84495106036383,96,1,77.9391983066191,49.6745480745749,4.73401859954725,2.34826454503352
"TZ7BFL","zanzibar",50.59,24.13,241,3.61660767931202,27.0820667781737,"TZA",2015,0.361660767931202,6.84495106036383,96,1,93.0506109128584,65.9785261425978,7.33613012431003,4.18355843631257
"TZ82FL","central",26.01,13.09,1050,6.06123765170369,15.1891191424156,"TZA",2022,0.606123765170369,7.09632447016986,87,8,96.98661980703,77.643563198039,6.39391241341772,2.79449127599774
"TZ82FL","eastern",71.34,20.51,1364,8.6821532287168,63.513359878774,"TZA",2022,0.86821532287168,7.09632447016986,87,8,95.7428230757583,90.7445212754462,7.55757953067311,3.91957244864413
"TZ82FL","lake",37.21,17.49,3431,8.88441887143253,25.4127071839087,"TZA",2022,0.888441887143253,7.09632447016986,87,8,89.0075526839363,76.9003622028108,6.02716609534882,3.14697757041083
"TZ82FL","northern",36.13,13.09,1099,7.94522000886493,19.3742417064057,"TZA",2022,0.794522000886493,7.09632447016986,87,8,90.9843712372095,72.7357468440298,6.90532067304198,3.08676084285293
"TZ82FL","southern",16.18,12.34,385,15.0652276586832,20.0352511748986,"TZA",2022,1.50652276586832,7.09632447016986,87,8,93.6339180208877,97.0530569157734,6.1341363106181,2.60594480393994
"TZ82FL","southernhighlands",58.25,22.96,546,8.57333000086179,24.0649636845596,"TZA",2022,0.857333000086179,7.09632447016986,87,8,97.315583414199,98.5380637880776,7.46687721574849,3.22758041196048
"TZ82FL","southwesthighlands",49,30.44,969,6.68421095955214,24.5815349431326,"TZA",2022,0.668421095955214,7.09632447016986,87,8,83.178306427537,84.5489743424562,5.95823418345348,2.94880545645153
"TZ82FL","western",50,24.88,1036,12.8103842947635,11.3916856080531,"TZA",2022,1.28103842947635,7.09632447016986,87,8,80.4243030210594,82.0165999737278,4.68899753288619,2.33733031598256
"TZ82FL","zanzibar",34.74,9.56,313,4.89340397138576,29.8725763347681,"TZA",2022,0.489340397138576,7.09632447016986,87,8,93.9386904929158,86.704547534789,8.43159178261247,4.10219570532068
"UG41FL","central",135.03,105.34,2004,40.6220648257693,24.8408881310088,"UGA",2000,4.06220648257693,5.55315467725067,52,-14,38.2599695722617,56.9620050869553,5.65188352237081,NA
"UG41FL","eastern",137.67,112.67,2085,52.0582632694432,7.68259257148121,"UGA",2000,5.20582632694432,5.55315467725067,52,-14,44.7851706759642,35.6824610781528,3.9532389593973,NA
"UG41FL","northern",176.97,131.37,1200,58.730960932994,5.01463106437381,"UGA",2000,5.8730960932994,5.55315467725067,52,-14,44.9296936674066,24.6015668082556,2.45668414776403,NA
"UG41FL","western",169.3,130.75,1783,47.8492533905535,3.12691974397783,"UGA",2000,4.78492533905535,5.55315467725067,52,-14,57.879450113429,21.7931369235466,3.34541920144664,NA
"UG52FL","central1",129.58,82.85,777,22.366575900048,4.59480031037413,"UGA",2006,2.2366575900048,5.84793550212137,64,-8,8.16683343264997,52.1822703804894,5.46324598979878,3.86324570769565
"UG52FL","central2",114.9,94.06,720,41.7924897673644,8.25879183750185,"UGA",2006,4.17924897673644,5.84793550212137,64,-8,15.3212985309785,52.3411166072868,5.3621238927077,3.77371686687037
"UG52FL","eastcentral",114.02,93.71,864,61.832532632374,5.83004937152725,"UGA",2006,6.1832532632374,5.84793550212137,64,-8,21.629549856818,54.6465279759697,4.70483521981051,3.27326546823255
"UG52FL","eastern",97.45,79.05,1227,40.5504062705236,5.07600854365969,"UGA",2006,4.05504062705236,5.84793550212137,64,-8,12.4871706593668,40.4647102367585,4.37947209141088,2.3849159865712
"UG52FL","kampala",88.12,73.17,371,14.0546955542786,100,"UGA",2006,1.40546955542786,5.84793550212137,64,-8,20.9574674718624,89.4743182030442,8.1865478233195,4.93008674977673
"UG52FL","north",153.6,120.18,1405,46.749753916009,9.71182584877723,"UGA",2006,4.6749753916009,5.84793550212137,64,-8,23.9031240696719,30.5073757608454,2.78397600648454,1.70885695110929
"UG52FL","southwest",133.87,104.59,1000,28.0824153071544,6.34592705524522,"UGA",2006,2.80824153071544,5.84793550212137,64,-8,11.6803726326613,31.2263956922185,4.02001763956213,3.15220590468745
