"svkey","regkey","region","iso3","year","pfpr2_10","exposure","map_pfpr"
"SN61FL","kedougou","kedougou","SEN",2011,15.1258392817834,110,10.9392557788196
"SN61FL","kolda","kolda","SEN",2011,13.1357754087793,607,6.04369499128434
"SN61FL","louga","louga","SEN",2011,0.641619809359,777,1.985101359597
"SN61FL","matam","matam","SEN",2011,0.769593891564594,465,3.90462596638708
"SN61FL","saintlouis","saint-louis","SEN",2011,0.00659713801119401,697,1.80877083439415
"SN61FL","sedhiou","sedhiou","SEN",2011,1.03570041676104,405,2.68650461529503
"SN61FL","tambacounda","tambacounda","SEN",2011,8.28616038150669,628,6.99235306321347
"SN61FL","ziguinchor","ziguinchor","SEN",2011,1.64363014040022,338,3.86603021885685
"SN7ZFL","dakar","dakar","SEN",2017,0.144658277151185,2070,3.62409235747731
"SN7ZFL","diourbel","diourbel","SEN",2017,0.00659713801119401,1492,1.98506490225831
"SN7ZFL","fatick","fatick","SEN",2017,0.00659713801119401,577,2.20352666455857
"SN7ZFL","kaffrine","kaffrine","SEN",2017,0.0953378475883877,621,1.79798629062198
"SN7ZFL","kaolack","kaolack","SEN",2017,0.265327407967142,764,2.18001797687808
"SN7ZFL","kedougou","kedougou","SEN",2017,7.65050727596136,136,4.68571662023675
"SN7ZFL","kolda","kolda","SEN",2017,2.97305875391207,618,3.43871509352211
"SN7ZFL","louga","louga","SEN",2017,0.00659713801119401,738,2.25898815475967
"SN7ZFL","matam","matam","SEN",2017,0.173545641264248,478,2.85919990010763
"SN7ZFL","saintlouis","saint-louis","SEN",2017,0.00659713801119401,696,2.58768738801668
"SN7ZFL","sedhiou","sedhiou","SEN",2017,0.00659713801119401,391,2.02617751896147
"SN7ZFL","tambacounda","tambacounda","SEN",2017,1.02784960043726,696,3.13704391181796
"SN7ZFL","thies","thiés","SEN",2017,0.00659713801119401,1395,2.22865903484842
"SN7ZFL","ziguinchor","ziguinchor","SEN",2017,0.00659713801119401,379,3.48043246121732
"TG61FL","centrale","centrale","TGO",2014,52.6423514698749,637,51.7425624726976
"TG61FL","kara","kara","TGO",2014,56.5653312430549,811,51.2200348899328
"TG61FL","plateaux","plateaux","TGO",2014,56.1624158137263,1650,52.8586273590801
"TG61FL","savanes","savanes","TGO",2014,34.4344094423917,955,33.5757625966539
"UG5AFL","central1","central 1","UGA",2009,40.6306666825561,280,26.9808292838122
"UG5AFL","central2","central 2","UGA",2009,53.5018486543566,314,46.5812862962288
"UG5AFL","eastcentral","east central","UGA",2009,59.5553860997292,552,74.6293602807206
"UG5AFL","kampala","kampala","UGA",2009,5.11590841237353,139,13.0740848343307
"UG5AFL","mideastern","mid eastern","UGA",2009,39.1459083898252,425,47.9813228509083
