"iso3","regkey","year","coverage","coverage_confirmed"
"NGA","akwaibom",2014,0,0
"NGA","akwaibom",2015,0,0
"NGA","akwaibom",2016,0,0
"NGA","akwaibom",2017,0,0
"NGA","akwaibom",2018,0,0
"NGA","akwaibom",2019,0,0
"NGA","akwaibom",2020,0,0
"NGA","akwaibom",2021,0,0
"NGA","akwaibom",2022,0,0
"NGA","akwaibom",2023,0,0
"NGA","akwaibom",2024,0,0
"NGA","akwaibom",2025,0,0
"NGA","bayelsa",2000,0,0
"NGA","bayelsa",2001,0,0
"NGA","bayelsa",2002,0,0
"NGA","bayelsa",2003,0,0
"NGA","bayelsa",2004,0,0
"NGA","bayelsa",2005,0,0
"NGA","bayelsa",2006,0,0
"NGA","bayelsa",2007,0,0
"NGA","bayelsa",2008,0,0
"NGA","bayelsa",2009,0,0
"NGA","bayelsa",2010,0,0
"NGA","bayelsa",2011,0,0
"NGA","bayelsa",2012,0,0
"NGA","bayelsa",2013,0,0
"NGA","bayelsa",2014,0,0
"NGA","bayelsa",2015,0,0
"NGA","bayelsa",2016,0,0
"NGA","bayelsa",2017,0,0
"NGA","bayelsa",2018,0,0
"NGA","bayelsa",2019,0,0
"NGA","bayelsa",2020,0,0
"NGA","bayelsa",2021,0,0
"NGA","bayelsa",2022,0,0
"NGA","bayelsa",2023,0,0
"NGA","bayelsa",2024,0,0
"NGA","bayelsa",2025,0,0
"NGA","crossriver",2000,0,0
"NGA","crossriver",2001,0,0
"NGA","crossriver",2002,0,0
"NGA","crossriver",2003,0,0
"NGA","crossriver",2004,0,0
"NGA","crossriver",2005,0,0
"NGA","crossriver",2006,0,0
"NGA","crossriver",2007,0,0
"NGA","crossriver",2008,0,0
"NGA","crossriver",2009,0,0
"NGA","crossriver",2010,0,0
"NGA","crossriver",2011,0,0
"NGA","crossriver",2012,0,0
"NGA","crossriver",2013,0,0
"NGA","crossriver",2014,0,0
"NGA","crossriver",2015,0,0
"NGA","crossriver",2016,0,0
"NGA","crossriver",2017,0,0
"NGA","crossriver",2018,0,0
"NGA","crossriver",2019,0,0
"NGA","crossriver",2020,0,0
"NGA","crossriver",2021,0,0
"NGA","crossriver",2022,0,0
"NGA","crossriver",2023,0,0
"NGA","crossriver",2024,0,0
"NGA","crossriver",2025,0,0
"NGA","delta",2000,0,0
"NGA","delta",2001,0,0
"NGA","delta",2002,0,0
"NGA","delta",2003,0,0
"NGA","delta",2004,0,0
"NGA","delta",2005,0,0
"NGA","delta",2006,0,0
"NGA","delta",2007,0,0
"NGA","delta",2008,0,0
"NGA","delta",2009,0,0
"NGA","delta",2010,0,0
"NGA","delta",2011,0,0
"NGA","delta",2012,0,0
"NGA","delta",2013,0,0
"NGA","delta",2014,0,0
"NGA","delta",2015,0,0
"NGA","delta",2016,0,0
"NGA","delta",2017,0,0
"NGA","delta",2018,0,0
"NGA","delta",2019,0,0
"NGA","delta",2020,0,0
"NGA","delta",2021,0,0
"NGA","delta",2022,0,0
"NGA","delta",2023,0,0
"NGA","delta",2024,0,0
"NGA","delta",2025,0,0
"NGA","edo",2000,0,0
"NGA","edo",2001,0,0
"NGA","edo",2002,0,0
"NGA","edo",2003,0,0
"NGA","edo",2004,0,0
"NGA","edo",2005,0,0
"NGA","edo",2006,0,0
"NGA","edo",2007,0,0
"NGA","edo",2008,0,0
"NGA","edo",2009,0,0
"NGA","edo",2010,0,0
"NGA","edo",2011,0,0
"NGA","edo",2012,0,0
"NGA","edo",2013,0,0
"NGA","edo",2014,0,0
"NGA","edo",2015,0,0
"NGA","edo",2016,0,0
"NGA","edo",2017,0,0
"NGA","edo",2018,0,0
"NGA","edo",2019,0,0
"NGA","edo",2020,0,0
"NGA","edo",2021,0,0
"NGA","edo",2022,0,0
"NGA","edo",2023,0,0
"NGA","edo",2024,0,0
"NGA","edo",2025,0,0
"NGA","rivers",2000,0,0
"NGA","rivers",2001,0,0
"NGA","rivers",2002,0,0
"NGA","rivers",2003,0,0
"NGA","rivers",2004,0,0
"NGA","rivers",2005,0,0
"NGA","rivers",2006,0,0
"NGA","rivers",2007,0,0
"NGA","rivers",2008,0,0
"NGA","rivers",2009,0,0
"NGA","rivers",2010,0,0
"NGA","rivers",2011,0,0
"NGA","rivers",2012,0,0
"NGA","rivers",2013,0,0
"NGA","rivers",2014,0,0
"NGA","rivers",2015,0,0
"NGA","rivers",2016,0,0
"NGA","rivers",2017,0,0
"NGA","rivers",2018,0,0
"NGA","rivers",2019,0,0
"NGA","rivers",2020,0,0
"NGA","rivers",2021,0,0
"NGA","rivers",2022,0,0
"NGA","rivers",2023,0,0
"NGA","rivers",2024,0,0
"NGA","rivers",2025,0,0
"NGA","ekiti",2000,0,0
"NGA","ekiti",2001,0,0
"NGA","ekiti",2002,0,0
"NGA","ekiti",2003,0,0
"NGA","ekiti",2004,0,0
"NGA","ekiti",2005,0,0
"NGA","ekiti",2006,0,0
"NGA","ekiti",2007,0,0
"NGA","ekiti",2008,0,0
"NGA","ekiti",2009,0,0
"NGA","ekiti",2010,0,0
"NGA","ekiti",2011,0,0
"NGA","ekiti",2012,0,0
"NGA","ekiti",2013,0,0
"NGA","ekiti",2014,0,0
"NGA","ekiti",2015,0,0
"NGA","ekiti",2016,0,0
"NGA","ekiti",2017,0,0
"NGA","ekiti",2018,0,0
"NGA","ekiti",2019,0,0
"NGA","ekiti",2020,0,0
"NGA","ekiti",2021,0,0
"NGA","ekiti",2022,0,0
"NGA","ekiti",2023,0,0
"NGA","ekiti",2024,0,0
"NGA","ekiti",2025,0,0
"NGA","lagos",2000,0,0
"NGA","lagos",2001,0,0
"NGA","lagos",2002,0,0
"NGA","lagos",2003,0,0
"NGA","lagos",2004,0,0
"NGA","lagos",2005,0,0
