"fit_id","age_band","pfpr_pct","log_hazard_ratio","standard_error","lower_95","upper_95","pfpr_min","pfpr_p025","pfpr_p975","pfpr_max","within_observed_support","within_central_support","reference_within_observed_support"
"original","24-35",47.5,0.101398933624991,0.063002698014631,-0.022086354483686,0.224884221733668,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",48,0.100220371535495,0.0633204730871226,-0.0238877557152655,0.224328498786255,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",48.5,0.0990208326414899,0.0636579993490325,-0.0257488460826137,0.223790511365594,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",49,0.0978028368327838,0.0640156983752334,-0.0276679319826738,0.223273605648241,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",49.5,0.0965689039991834,0.0643934717892761,-0.0296423007077978,0.222780108706165,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",50,0.0953215540304959,0.0647907241701366,-0.0316682653429719,0.222311373403964,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",50.5,0.0940633068165286,0.0652063928841389,-0.0337412232363837,0.221867836869441,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",51,0.0927966822470887,0.0656389842282265,-0.0358557268402352,0.221449091334413,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",51.5,0.0915242002119833,0.0660866151569083,-0.0380055654955569,0.221053965919524,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",52,0.0902483806010197,0.0665470598027488,-0.040183856612368,0.220680617814407,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",52.5,0.0889717433040051,0.0670177999898157,-0.0423831446760337,0.220326631284044,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",53,0.0876968082107467,0.06749607897778,-0.044595506585702,0.219989123007195,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",53.5,0.0864260952110517,0.0679789577550459,-0.0468126619888384,0.219664852410942,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",54,0.0851621241947271,0.0684633733139748,-0.0490260875006635,0.219350335890118,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",54.5,0.0839074150515803,0.0689461984805498,-0.0512271339702972,0.219041964073458,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",55,0.0826644876714188,0.069424303025212,-0.0534071462579967,0.218736121600834,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",55.5,0.0814358619440492,0.0698946159421872,-0.0555575853026377,0.218429309190736,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",56,0.0802240577592792,0.0703541889435887,-0.0576701525701547,0.218118268088713,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",56.5,0.0790315943720629,0.0708002617332451,-0.0597369186250975,0.217800107369223,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",57,0.0778603536451262,0.0712307096643435,-0.061751837296987,0.217472544587239,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",57.5,0.0767103822288813,0.0716448934392849,-0.063713608912117,0.21713437336988,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",58,0.0755813984764715,0.0720428640836848,-0.0656226151275507,0.216785412080494,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",58.5,0.0744731207410405,0.0724251442957683,-0.0674801620786653,0.216426403560746,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",59,0.0733852673757314,0.0727926957117099,-0.0692884162192199,0.216058950970683,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",59.5,0.0723175567336882,0.073146888820346,-0.0710503453541898,0.215685458821566,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",60,0.0712697071680542,0.0734894751102734,-0.0727696640480817,0.21530907838419,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",60.5,0.0702414370319731,0.0738225610072509,-0.0744507825422387,0.214933656606185,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",61,0.069232464678588,0.074148583148719,-0.0760987582929012,0.214563687650077,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",61.5,0.0682425084610426,0.07447028454231,-0.0777192492418851,0.21420426616397,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",62,0.0672712867324807,0.0747906911648457,-0.0793184679506168,0.213861041415578,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",62.5,0.0663185178460454,0.0751130885769135,-0.0809031357647051,0.213540171456796,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",63,0.0653839201548806,0.075440998155791,-0.0824804362304697,0.213248276540231,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
