"iso3","source_age","deaths","rate_per100000","implied_person_years","ihme_deaths_lower","ihme_deaths_upper","ihme_rate_lower","ihme_rate_upper"
"DJI","7 to 27 days (late neonatal)",145.732612935003,9895.89667735212,1472.656977801,134.120736476127,160.031080139851,9107.39829423136,10866.8265965651
"DJI","1 to 5 months",513.562124857249,4816.71902560651,10662.0735427386,463.391142833617,567.637246835,4346.16344537605,5323.89168541786
"DJI","6-11 months",237.240343941004,1951.86728343908,12154.5325316894,214.304675641709,267.025269653682,1763.16674526949,2196.91928881257
"DJI","12 to 23 months",130.803821252199,565.22430979197,23141.9312627126,116.878483270063,145.436103278671,505.05068891283,628.45274937363
"DJI","2 to 4",210.525056161823,343.52100280638,61284.4788068119,187.669648964871,236.557233191143,306.22704576874,385.99860486184
"ERI","0 to 6 days (early neonatal)",2625.60266828224,81017.0370592453,3240.80312436286,2409.44116234029,2852.43179770705,74347.0389863309,88016.2011775348
"ERI","7 to 27 days (late neonatal)",797.276763256871,8316.30942186069,9586.90595567677,712.64201337601,894.23366798474,7433.49331547399,9327.65661955024
"ERI","1 to 5 months",1916.19055750376,2759.91354987224,69429.3688145581,1717.50318088394,2125.02365803919,2473.74160273774,3060.69851177102
"ERI","6-11 months",1496.94490917092,1892.7292495022,79089.225760347,1361.91108120563,1668.77198945292,1721.99318947998,2109.98650373638
"ERI","12 to 23 months",1989.62196607286,1274.53771826951,156105.381390693,1750.10077865168,2209.90318812276,1121.10214462857,1415.64830657049
"ERI","2 to 4",4055.99832826856,920.94128032889,440418.777494703,3618.31635622184,4518.64801817125,821.5626901297,1025.98895621011
"ETH","0 to 6 days (early neonatal)",100200.968092217,170216.721121227,58866.7008929487,93966.0402241808,105617.889816039,159625.117084549,179418.734554377
"ETH","7 to 27 days (late neonatal)",29441.5978943638,17045.9895836601,172718.619531399,26261.2794796982,32591.614854355,15204.6603608501,18869.7749801261
"ETH","1 to 5 months",57394.3417244068,4582.65798043364,1252424.72751536,52600.2477179056,63167.8515685173,4199.87297937317,5043.64455449821
"ETH","6-11 months",36815.9782078474,2553.49795633231,1441786.08471368,33578.2132799605,40710.5351188141,2328.93170741266,2823.61825727418
"ETH","12 to 23 months",36149.392956046,1288.14759204293,2806308.31275437,32726.2749449547,39712.6311871884,1166.16819314604,1415.12003533963
"ETH","2 to 4",64371.7430260789,818.13953748573,7868064.07424133,58149.9632724898,70919.5880401047,739.06316374396,901.36007245141
"GAB","0 to 6 days (early neonatal)",801.590462772525,96073.8506714406,834.348219802133,738.474313642644,869.738820943806,88509.125580417,104241.706316586
