"iso3","year","status","base","extended","log_ratio"
"ATG",2020,"imputed_child_series",0.0887411089157445,0.0877112130954326,-0.0116734934843644
"ATG",2021,"imputed_child_series",0.0892405692803675,0.0837038005879055,-0.0640513650227943
"ATG",2022,"imputed_child_series",0.079967842297858,0.0843458266306195,0.0533007483675457
"ATG",2023,"imputed_child_series",0.0788109969528945,0.0774333101641434,-0.0176354904731541
"ATG",2024,"imputed_child_series",0.0759847025367763,0.0801979011091308,0.053965306205448
"AUS",2000,"imputed_child_series",0.00692861396314097,0.0061513971121036,-0.118980559160928
"AUS",2001,"imputed_child_series",0.00639202350769301,0.00567652829016943,-0.118711056786708
"AUS",2002,"imputed_child_series",0.00641843482942348,0.0059689861902924,-0.0725971963263778
"AUS",2003,"imputed_child_series",0.00647201976699104,0.00607324265444446,-0.0635955615937982
"AUS",2004,"imputed_child_series",0.00643661747082871,0.00577148613891182,-0.109073554255821
"AUS",2005,"imputed_child_series",0.00678033998111748,0.00606135468173236,-0.112093925463571
"AUS",2006,"imputed_child_series",0.00651787664456805,0.00545520344831221,-0.177978740547359
"AUS",2007,"imputed_child_series",0.00601021944651398,0.00509668577743208,-0.164870780518076
"AUS",2008,"imputed_child_series",0.00554240727467665,0.00473043598795876,-0.15841155919486
"AUS",2009,"imputed_child_series",0.00548665192562309,0.00431265537591113,-0.240764408969018
"AUS",2010,"imputed_child_series",0.00523561644800894,0.00402305493474686,-0.263443044457547
"AUS",2011,"imputed_child_series",0.0046391055383465,0.00363650036709426,-0.2434997941876
"AUS",2012,"imputed_child_series",0.00413933617103484,0.00349456323275467,-0.169327031112327
"AUS",2013,"imputed_child_series",0.00378351788564885,0.0029927276590688,-0.234469002313341
"AUS",2014,"imputed_child_series",0.00342481603643296,0.00299406703392778,-0.134415083113036
"AUS",2015,"imputed_child_series",0.00332413493799662,0.0027218107669461,-0.199912089279912
"AUS",2016,"imputed_child_series",0.00306414083307362,0.002643661870062,-0.147602186563228
"AUS",2017,"imputed_child_series",0.00294634697971445,0.0027446050661708,-0.0709289003284965
"AUS",2018,"imputed_child_series",0.00270596491355822,0.00278598703556916,0.0291436584260147
"AUS",2019,"imputed_child_series",0.0027570700930696,0.00272668624855634,-0.0110815118497337
"AUS",2020,"imputed_child_series",0.00261758948630417,0.00252235973804648,-0.0370589835206247
"AUS",2021,"imputed_child_series",0.00264529985070035,0.00238260821208936,-0.104588648919424
"AUS",2022,"imputed_child_series",0.00261877664310286,0.00218627679266494,-0.180507276259899
"AZE",2000,"imputed_child_series",0.047572476333601,0.0497920495889324,0.0456009587638788
"AZE",2001,"imputed_child_series",0.0514552738429915,0.0512451685768458,-0.00409161936045311
"AZE",2002,"imputed_child_series",0.0465983585094469,0.0501583111634108,0.0736189113748243
"AZE",2003,"imputed_child_series",0.0489432837629381,0.0488266918830239,-0.00238502534979183
"AZE",2004,"imputed_child_series",0.0506548985846227,0.0466016521443254,-0.0833999461793226
"AZE",2005,"imputed_child_series",0.0514911700717465,0.0487116063948622,-0.0554930120284397
"AZE",2006,"imputed_child_series",0.0486746341575983,0.0497188619047097,0.0212263410828335
"AZE",2007,"imputed_child_series",0.0478390460057908,0.0483203342249567,0.0100103024168357
"AZE",2008,"imputed_child_series",0.0463785755005455,0.0437808775687856,-0.057640480833991
"AZE",2009,"imputed_child_series",0.0403745208288371,0.0420997713150872,0.0418433952719344
"AZE",2010,"imputed_child_series",0.0375982298187137,0.0395177707642536,0.0497934935035265
"AZE",2011,"imputed_child_series",0.0348635534598394,0.0367383177112066,0.0523783196517427
"AZE",2012,"imputed_child_series",0.0283534453446048,0.0296485710770323,0.0446653795650109
"AZE",2013,"imputed_child_series",0.0277459077399793,0.0283508096351141,0.0215672278355168
"AZE",2014,"imputed_child_series",0.025912250601309,0.0270840307108916,0.0442284284678647
"AZE",2015,"imputed_child_series",0.0249607700949544,0.0256946608752765,0.0289778260863292
"AZE",2016,"imputed_child_series",0.020771194825836,0.0227542426955768,0.0911844573685463
"AZE",2017,"imputed_child_series",0.0233028332000571,0.0255373800196271,0.0915683121807981
"AZE",2018,"imputed_child_series",0.0231022983211362,0.0243712982580036,0.0534740320127521
"AZE",2019,"imputed_child_series",0.018067579114154,0.0204164129902042,0.122220012734296
"AZE",2020,"imputed_child_series",0.0179342464381029,0.0186302413191541,0.038074043959068
"AZE",2021,"imputed_child_series",0.0180933850605051,0.0187620408711215,0.0362893208980895
"AZE",2022,"imputed_child_series",0.0172835436717085,0.0178016544569523,0.0295365840530893
"AZE",2023,"imputed_child_series",0.0168463173663227,0.0173496366080564,0.0294394824083669
"AZE",2024,"imputed_child_series",0.0158897563597525,0.0174117160512679,0.0914686684093671
"BDI",2000,"reported_numeric",2.79,2.79,0
"BDI",2001,"reported_numeric",2.57,2.57,0
"BDI",2002,"reported_numeric",2.29,2.29,0
"BDI",2003,"reported_numeric",2.02,2.02,0
"BDI",2004,"reported_numeric",1.77,1.77,0
"BDI",2005,"reported_numeric",1.47,1.47,0
"BDI",2006,"reported_numeric",1.31,1.31,0
"BDI",2007,"reported_numeric",1.17,1.17,0
"BDI",2008,"reported_numeric",1,1,0
"BDI",2009,"reported_numeric",0.86,0.86,0
"BDI",2010,"reported_numeric",0.66,0.66,0
"BDI",2011,"reported_numeric",0.56,0.56,0
"BDI",2012,"reported_numeric",0.48,0.48,0
"BDI",2013,"reported_numeric",0.38,0.38,0
"BDI",2014,"reported_numeric",0.28,0.28,0
"BDI",2015,"reported_numeric",0.22,0.22,0
"BDI",2016,"reported_numeric",0.17,0.17,0
