"survey","country","region","records","deaths","distinct_children","lat","lon","survey_year","sahel","east_africa","early","late"
"CI62FL","CIV","CIV:CI62FL:southwest",3700,38,1089,5.35566732452234,-6.7508557635767,2012,FALSE,FALSE,TRUE,FALSE
"CI62FL","CIV","CIV:CI62FL:westcentral",3968,38,1181,6.87071487519228,-6.23210096276598,2012,FALSE,FALSE,TRUE,FALSE
"CI62FL","CIV","CIV:CI62FL:eastcentral",3298,56,1026,6.69948585831887,-3.42091446305214,2012,FALSE,FALSE,TRUE,FALSE
"CI62FL","CIV","CIV:CI62FL:north",4172,123,1254,9.56479396499323,-5.55713336148983,2012,FALSE,FALSE,TRUE,FALSE
"CI62FL","CIV","CIV:CI62FL:northwest",6080,166,1847,8.87394209492248,-7.00224005729886,2012,FALSE,FALSE,TRUE,FALSE
"CI81FL","CIV","CIV:CI81FL:abidjan",3607,28,1085,5.42029555004346,-4.06496299549194,2021,FALSE,FALSE,FALSE,TRUE
"CI81FL","CIV","CIV:CI81FL:sassandramarahoue",5931,79,1786,7.05511275516198,-6.33687427437895,2021,FALSE,FALSE,FALSE,TRUE
"CI81FL","CIV","CIV:CI81FL:savanes",4675,66,1399,9.5647722815211,-5.5570084285279,2021,FALSE,FALSE,FALSE,TRUE
"CI81FL","CIV","CIV:CI81FL:valleedubandama",4076,50,1226,8.26990775195846,-4.94530736212915,2021,FALSE,FALSE,FALSE,TRUE
"CI81FL","CIV","CIV:CI81FL:comoe",2936,15,879,6.07479241885024,-3.3058162207109,2021,FALSE,FALSE,FALSE,TRUE
"CI81FL","CIV","CIV:CI81FL:montagnes",5631,100,1691,6.93918728309938,-7.65375317880414,2021,FALSE,FALSE,FALSE,TRUE
"CI81FL","CIV","CIV:CI81FL:yamoussoukro",2624,21,788,6.86232019763196,-5.26873576461189,2021,FALSE,FALSE,FALSE,TRUE
"CI81FL","CIV","CIV:CI81FL:zanzan",3887,22,1153,8.66792604504252,-3.3434898279203,2021,FALSE,FALSE,FALSE,TRUE
"CI81FL","CIV","CIV:CI81FL:bassassandra",4719,47,1425,5.35279300163283,-6.67619990799401,2021,FALSE,FALSE,FALSE,TRUE
"CI81FL","CIV","CIV:CI81FL:denguele",6128,126,1821,9.6339737653872,-7.39194747929818,2021,FALSE,FALSE,FALSE,TRUE
"CI81FL","CIV","CIV:CI81FL:lacs",3606,40,1064,7.05371344251933,-4.43876390197973,2021,FALSE,FALSE,FALSE,TRUE
"CI81FL","CIV","CIV:CI81FL:woroba",5263,95,1599,8.37149416522225,-6.7455366108128,2021,FALSE,FALSE,FALSE,TRUE
"CI81FL","CIV","CIV:CI81FL:gohdjiboua",4105,47,1245,5.95324281432625,-5.60656454964301,2021,FALSE,FALSE,FALSE,TRUE
"CI81FL","CIV","CIV:CI81FL:lagunes",3977,29,1174,5.8480010965969,-4.29282653021397,2021,FALSE,FALSE,FALSE,TRUE
"CM44FL","CMR","CMR:CM44FL:douala",1646,21,721,3.96905202684184,9.67368860636383,2004,FALSE,FALSE,TRUE,FALSE
"CM44FL","CMR","CMR:CM44FL:north",3429,98,1463,8.4663315975173,13.9455451157472,2004,FALSE,FALSE,TRUE,FALSE
"CM44FL","CMR","CMR:CM44FL:farnorth",4035,104,1680,11.0636603815714,14.5230685152645,2004,FALSE,FALSE,TRUE,FALSE
"CM44FL","CMR","CMR:CM44FL:littoral",1824,37,787,4.289832733335,10.1538248995837,2004,FALSE,FALSE,TRUE,FALSE
"CM44FL","CMR","CMR:CM44FL:yaounde",1503,28,695,3.80848627492537,11.5127756388235,2004,FALSE,FALSE,TRUE,FALSE
"CM44FL","CMR","CMR:CM44FL:west",3229,66,1423,5.50888332721826,10.6556576247098,2004,FALSE,FALSE,TRUE,FALSE
"CM44FL","CMR","CMR:CM44FL:east",2220,61,960,3.79497702886679,14.2173341426912,2004,FALSE,FALSE,TRUE,FALSE
"CM44FL","CMR","CMR:CM44FL:south",1943,48,817,2.7597094808959,11.5684723783622,2004,FALSE,FALSE,TRUE,FALSE
"CM44FL","CMR","CMR:CM44FL:adamawa",2352,38,992,6.84161546239821,13.1264486309506,2004,FALSE,FALSE,TRUE,FALSE
"CM44FL","CMR","CMR:CM44FL:northwest",2264,30,992,6.37000778375959,10.359591412647,2004,FALSE,FALSE,TRUE,FALSE
"CM44FL","CMR","CMR:CM44FL:southwest",1839,45,783,5.19987323001361,9.29135561554621,2004,FALSE,FALSE,TRUE,FALSE
"CM44FL","CMR","CMR:CM44FL:centre",2612,47,1104,4.67043092451188,11.8277491655878,2004,FALSE,FALSE,TRUE,FALSE
"CM61FL","CMR","CMR:CM61FL:farnorth",9944,251,3028,11.0636603841738,14.5230685181076,2011,FALSE,FALSE,TRUE,FALSE
"CM61FL","CMR","CMR:CM61FL:douala",4201,43,1244,3.96905202741777,9.67368860243668,2011,FALSE,FALSE,TRUE,FALSE
"CM61FL","CMR","CMR:CM61FL:northwest",5629,56,1711,6.37000778397013,10.3595914125833,2011,FALSE,FALSE,TRUE,FALSE
"CM61FL","CMR","CMR:CM61FL:west",5757,78,1724,5.50888332768864,10.6556576257107,2011,FALSE,FALSE,TRUE,FALSE
"CM61FL","CMR","CMR:CM61FL:southwest",3745,63,1157,5.19987323114876,9.2913556154549,2011,FALSE,FALSE,TRUE,FALSE
"CM61FL","CMR","CMR:CM61FL:north",8596,246,2644,8.46633159994215,13.9455451152322,2011,FALSE,FALSE,TRUE,FALSE
"CM61FL","CMR","CMR:CM61FL:south",3787,47,1143,2.75970948063934,11.5684723784165,2011,FALSE,FALSE,TRUE,FALSE
"CM61FL","CMR","CMR:CM61FL:littoral",3205,50,973,4.2898327333376,10.1538248995183,2011,FALSE,FALSE,TRUE,FALSE
"CM61FL","CMR","CMR:CM61FL:centre",5526,100,1660,4.67043092376557,11.8277491658001,2011,FALSE,FALSE,TRUE,FALSE
"CM61FL","CMR","CMR:CM61FL:east",4620,57,1421,3.79497702869019,14.2173341428066,2011,FALSE,FALSE,TRUE,FALSE
"CM61FL","CMR","CMR:CM61FL:yaounde",3891,50,1177,3.80848627492537,11.5127756388235,2011,FALSE,FALSE,TRUE,FALSE
"CM61FL","CMR","CMR:CM61FL:adamawa",5748,110,1746,6.84161546263995,13.126448631308,2011,FALSE,FALSE,TRUE,FALSE
"CM71FL","CMR","CMR:CM71FL:farnorth",7733,96,2298,11.0636603841738,14.5230685181076,2018,FALSE,FALSE,FALSE,TRUE
"CM71FL","CMR","CMR:CM71FL:east",5633,113,1680,3.79497702869019,14.2173341428066,2018,FALSE,FALSE,FALSE,TRUE
"CM71FL","CMR","CMR:CM71FL:yaounde",3847,42,1135,3.84872018049857,11.5126155035533,2018,FALSE,FALSE,FALSE,TRUE
"CM71FL","CMR","CMR:CM71FL:adamawa",4283,56,1281,6.84161546263995,13.126448631308,2018,FALSE,FALSE,FALSE,TRUE
"CM71FL","CMR","CMR:CM71FL:northwest",2658,20,798,6.37000778397013,10.3595914125833,2018,FALSE,FALSE,FALSE,TRUE
"CM71FL","CMR","CMR:CM71FL:douala",3372,26,1000,3.96905202741777,9.67368860243668,2018,FALSE,FALSE,FALSE,TRUE
"CM71FL","CMR","CMR:CM71FL:south",5284,76,1537,2.75970948063934,11.5684723784165,2018,FALSE,FALSE,FALSE,TRUE
"CM71FL","CMR","CMR:CM71FL:west",5383,60,1628,5.50888332768864,10.6556576257107,2018,FALSE,FALSE,FALSE,TRUE
"CM71FL","CMR","CMR:CM71FL:southwest",940,7,274,5.19987323114876,9.2913556154549,2018,FALSE,FALSE,FALSE,TRUE
"CM71FL","CMR","CMR:CM71FL:north",6841,117,2063,8.46633159994215,13.9455451152322,2018,FALSE,FALSE,FALSE,TRUE
"CD51FL","COD","COD:CD51FL:kinshasa",5093,67,1506,-4.4455653272068,15.9218548207961,2007,FALSE,FALSE,TRUE,FALSE
"CD51FL","COD","COD:CD51FL:nordkivu",4151,59,1236,-0.587636773201127,28.6862229704521,2007,FALSE,FALSE,TRUE,FALSE
"CD51FL","COD","COD:CD51FL:sudkivu",4150,110,1256,-3.20603300887007,28.2553313166848,2007,FALSE,FALSE,TRUE,FALSE
"CD51FL","COD","COD:CD51FL:bandundu",4281,100,1296,-4.39932633740806,18.3612074595813,2007,FALSE,FALSE,TRUE,FALSE
"CD51FL","COD","COD:CD51FL:orientale",3378,96,1028,2.09250533690413,26.3664425732658,2007,FALSE,FALSE,TRUE,FALSE
"CD51FL","COD","COD:CD51FL:kasaioccident",4246,107,1280,-5.40937743404563,21.6222326415739,2007,FALSE,FALSE,TRUE,FALSE
"CD51FL","COD","COD:CD51FL:maniema",4296,124,1316,-3.09783574704118,26.4123667653444,2007,FALSE,FALSE,TRUE,FALSE
"CD51FL","COD","COD:CD51FL:bascongo",3347,83,1014,-5.28624832404062,14.3177680410386,2007,FALSE,FALSE,TRUE,FALSE
"CD51FL","COD","COD:CD51FL:equateur",4958,131,1496,1.04323770210964,20.6025916928452,2007,FALSE,FALSE,TRUE,FALSE
"CD51FL","COD","COD:CD51FL:katanga",4673,119,1415,-8.74844861022804,26.397690163552,2007,FALSE,FALSE,TRUE,FALSE
"CD51FL","COD","COD:CD51FL:kasaioriental",5074,129,1505,-4.54170845050902,23.943003542633,2007,FALSE,FALSE,TRUE,FALSE
