"iso3","age_band","ihme_deaths","implied_person_years","ihme_rate_per100000","age_mapping","Location","pfpr_pct","population_weight_on_map","population_weight_within_raster","map_population_coverage_within_raster","legacy_density_weighted_pfpr_pct","status","map_coverage_below_95pct","exposure_year","population_weight_year","log_hr_zero_vs_current","log_hr_se","hr_zero_vs_current","hr_lower_95","hr_upper_95","monte_carlo_se_log_hr","imputations","attributable_fraction","af_lower_95","af_upper_95","counterfactual_rate_per100000","attributable_rate_per100000","attributable_rate_per100000_lower_95","attributable_rate_per100000_upper_95","counterfactual_deaths","attributable_deaths","attributable_deaths_lower_95","attributable_deaths_upper_95","zero_below_observed_support","current_pfpr_outside_central95","negative_attributable_estimate"
"MRT","1-5",1214.12389835193,56956.0615587957,2131.68513609142,"direct age match","Mauritania",6.4035707842887,3752789,4466969.5,0.840119682930452,6.24065886133862,"estimated",TRUE,2015,2020,-0.00728165622313592,0.00599652820064902,0.992744790803887,0.981144965688139,1.00448175767485,0.000231032919153008,10,0.00725520919611311,-0.00448175767485126,0.0188550343118614,2116.21931448883,15.4658216025881,-9.55369621904408,40.1929963830887,1205.31517547938,8.8087228725436,-5.44140909965908,22.8923477622765,TRUE,FALSE,FALSE
"MRT","6-11",578.393861562466,66228.0400049911,873.33682458197,"direct age match","Mauritania",6.4035707842887,3752789,4466969.5,0.840119682930452,6.24065886133862,"estimated",TRUE,2015,2020,-0.0837614629445571,0.0203813534054669,0.919650600679501,0.883633817947758,0.957135422107815,0.00103681294323572,10,0.0803493993204987,0.0428645778921852,0.116366182052242,803.164735322337,70.172089259633,37.4352143434076,101.626871922232,531.920262215258,46.4735993472078,24.7926087313061,67.3054853924769,TRUE,FALSE,FALSE
"MRT","12-23",561.43667133656,130853.268021806,429.05819611857,"direct age match","Mauritania",6.4035707842887,3752789,4466969.5,0.840119682930452,6.24065886133862,"estimated",TRUE,2015,2020,-0.183034643656647,0.0270853279667555,0.832739306102769,0.789653675365258,0.878175804865038,0.00223253584906498,10,0.167260693897231,0.121824195134962,0.210346324634742,357.293624513484,71.7645716050864,52.2696694082036,90.2508146079536,467.530384109455,93.9062872271049,68.3965706048288,118.096140330809,TRUE,FALSE,FALSE
"MRT","24-35",324.914040657013,125852.863340359,258.16976430509,"IHME 2-4 rate shared; deaths and person-time divided equally","Mauritania",6.4035707842887,3752789,4466969.5,0.840119682930452,6.24065886133862,"estimated",TRUE,2015,2020,-0.286007254064065,0.0307325779100045,0.751257166259506,0.707327700498475,0.797914926078143,0.00204471103054375,10,0.248742833740494,0.202085073921857,0.292672299501525,193.951885545727,64.2178787593634,52.1722559039824,75.5591385809375,244.094001461913,80.8200391950993,65.6602779244215,95.09333941942,TRUE,FALSE,FALSE
"MRT","36-47",324.914040657013,125852.863340359,258.16976430509,"IHME 2-4 rate shared; deaths and person-time divided equally","Mauritania",6.4035707842887,3752789,4466969.5,0.840119682930452,6.24065886133862,"estimated",TRUE,2015,2020,-0.203333070611224,0.0343286708404174,0.816006408405118,0.762909103741872,0.872799204115296,0.000819621203610992,10,0.183993591594882,0.127200795884704,0.237090896258128,210.668182129392,47.5015821756978,32.8393994929739,61.2097008058435,265.131939356923,59.7821013000894,41.329324565687,77.034161106221,TRUE,FALSE,FALSE
"MRT","48-59",324.914040657013,125852.863340359,258.16976430509,"IHME 2-4 rate shared; deaths and person-time divided equally","Mauritania",6.4035707842887,3752789,4466969.5,0.840119682930452,6.24065886133862,"estimated",TRUE,2015,2020,-0.238127360662623,0.0424618525735488,0.788102311469095,0.725168611060599,0.8564977080772,0.000478082766750233,10,0.211897688530905,0.1435022919228,0.274831388939401,203.464188000273,54.7055763048172,37.0479528829494,70.9531549061257,256.065506470555,68.8485341864576,46.625909512179,89.2965770796798,TRUE,FALSE,FALSE
"MWI","<1",14702.0197469325,45757.3082434952,32130.4296762746,"0-27 days mapped to model <1 completed month","Malawi",18.220052663991,18836400,18840828,0.999764978481837,18.2148898333117,"estimated",FALSE,2015,2020,0.0310631072434586,0.0140412865139876,1.03155060014734,1.00351463790504,1.06036982468515,0.00131235444553109,10,-0.0315506001473418,-0.0603698246851472,-0.00351463790503503,33144.1640155531,-1013.73433927843,-1939.70840661515,-112.926826045297,15165.8772933262,-463.857546393789,-887.558354639884,-51.6722758831424,TRUE,FALSE,TRUE
"MWI","1-5",6244.49238726967,250021.842869662,2497.57873776051,"direct age match","Malawi",18.220052663991,18836400,18840828,0.999764978481837,18.2148898333117,"estimated",FALSE,2015,2020,-0.0207158140276798,0.0170465772392548,0.979497284408444,0.947311131689494,1.01277700437494,0.00065755084449519,10,0.020502715591556,-0.0127770043749365,0.0526888683105063,2446.37159123269,51.2071465278212,-31.9115744591143,131.594597208984,6116.46333583985,128.029051429827,-79.785906551402,329.015237058811,TRUE,FALSE,FALSE
"MWI","6-11",5250.94758747727,289839.689279597,1811.67306676619,"direct age match","Malawi",18.220052663991,18836400,18840828,0.999764978481837,18.2148898333117,"estimated",FALSE,2015,2020,-0.219770048593592,0.047948460660313,0.802703359508019,0.730698755399071,0.88180344992316,0.00219354832891249,10,0.197296640491981,0.11819655007684,0.269301244600929,1454.23605702342,357.437009742774,214.133506358893,487.885811690116,4214.95326906853,1035.99431840874,620.643889474121,1414.08672064187,TRUE,FALSE,FALSE
"MWI","12-23",5095.87002682978,573318.687585312,888.83724483017,"direct age match","Malawi",18.220052663991,18836400,18840828,0.999764978481837,18.2148898333117,"estimated",FALSE,2015,2020,-0.46181680777802,0.061432105177621,0.630137765706492,0.558621722155701,0.710809458388544,0.00459235374221468,10,0.369862234293508,0.289190541611456,0.441378277844299,560.089915533997,328.747329296173,257.043324236871,392.313452407012,3211.10015303719,1884.76987379258,1473.67741304049,2249.20633656051,TRUE,FALSE,FALSE
"MWI","24-35",2865.2242206291,556129.192214153,515.20838336531,"IHME 2-4 rate shared; deaths and person-time divided equally","Malawi",18.220052663991,18836400,18840828,0.999764978481837,18.2148898333117,"estimated",FALSE,2015,2020,-0.707568616065339,0.0695870597813572,0.492841027651489,0.429991038342526,0.564877536687381,0.00435849705448319,10,0.507158972348511,0.435122463312619,0.570008961657474,253.915829112421,261.292554252889,224.178740889226,293.673395639286,1412.10004934678,1453.12417128232,1246.72342082311,1633.20348291664,TRUE,FALSE,FALSE
"MWI","36-47",2865.2242206291,556129.192214153,515.20838336531,"IHME 2-4 rate shared; deaths and person-time divided equally","Malawi",18.220052663991,18836400,18840828,0.999764978481837,18.2148898333117,"estimated",FALSE,2015,2020,-0.519618906425316,0.0781783214041282,0.594747159108325,0.510254230670133,0.693231260038484,0.00172074098724922,10,0.405252840891675,0.306768739961516,0.489745769329867,306.418722355311,208.789661009999,158.049826582586,252.321126076441,1704.08396542752,1161.14025520158,878.961223869606,1403.23144023457,TRUE,FALSE,FALSE
"MWI","48-59",2865.2242206291,556129.192214153,515.20838336531,"IHME 2-4 rate shared; deaths and person-time divided equally","Malawi",18.220052663991,18836400,18840828,0.999764978481837,18.2148898333117,"estimated",FALSE,2015,2020,-0.554997044183059,0.095751208772899,0.574073958051459,0.475843606693858,0.69258240454809,0.00118338597674478,10,0.425926041948541,0.30741759545191,0.524156393306142,295.767715859817,219.440667505493,158.384122370829,270.049768025849,1644.85060904145,1220.37361158764,880.820340336369,1501.82559349835,TRUE,FALSE,FALSE
"NAM","<1",1017.92909068083,4819.7953916428,21119.757333389,"0-27 days mapped to model <1 completed month","Namibia",0.747527078008077,1453226.125,2376921.75,0.611389973186959,0.65783335217628,"estimated",TRUE,2015,2020,0.00127536261216707,0.000579479907696088,1.00127617623291,1.00013824667948,1.00241540049103,5.37113031295643e-05,10,-0.00127617623291365,-0.00241540049102884,-0.000138246679478593,21146.7098657428,-26.9525323537749,-51.0126722334778,-2.9197363227347,1019.22814759314,-1.29905691231827,-2.45870642546301,-0.140725316731288,TRUE,TRUE,TRUE
"NAM","1-5",673.011063616505,26479.537100308,2541.62699697903,"direct age match","Namibia",0.747527078008077,1453226.125,2376921.75,0.611389973186959,0.65783335217628,"estimated",TRUE,2015,2020,-0.000850046284918472,0.000700107895764609,0.999150314902076,0.997780185727279,1.00052232550725,2.69687528711458e-05,10,0.00084968509792438,-0.000522325507253951,0.002219814272721,2539.46741439521,2.15958258381537,-1.32755661044741,5.64193988382706,672.439216145012,0.571847471493181,-0.351530845191012,1.49395956471506,TRUE,TRUE,FALSE
"NAM","6-11",350.967195269118,30900.0886767162,1135.81290636741,"direct age match","Namibia",0.747527078008077,1453226.125,2376921.75,0.611389973186959,0.65783335217628,"estimated",TRUE,2015,2020,-0.00988328565559881,0.00243866233426581,0.990165393510048,0.985443465864062,0.994909947112233,0.00012540639642759,10,0.00983460648995171,0.00509005288776743,0.0145565341359384,1124.64263338708,11.1702729803318,5.78134776401895,16.5334993435766,347.515571012764,3.45162425635382,1.78644158579121,5.10886595852946,TRUE,TRUE,FALSE
