"iso3","Location","Year","Age","Unit","Value","Lower","Upper"
"COM","Comoros",2015,"0 to 6 days (early neonatal)","Rate (per 100,000)",91911.4299820424,86886.6145214979,96722.0593155437
"COM","Comoros",2015,"7 to 27 days (late neonatal)","Number",107.898911817395,99.135733768295,116.922452255201
"COM","Comoros",2015,"7 to 27 days (late neonatal)","Rate (per 100,000)",9055.69930850196,8320.22659554434,9813.02361814068
"COM","Comoros",2015,"Under 1","Number",843.185237926418,813.36322260924,874.233528013374
"COM","Comoros",2015,"Under 1","Rate (per 100,000)",4100.45037994675,3955.42448464192,4251.4397084564
"COM","Comoros",2015,"2 to 4","Number",137.845213877954,127.18568093256,149.475689630461
"COM","Comoros",2015,"2 to 4","Rate (per 100,000)",227.81130675548,210.19472028594,247.0325318153
"COM","Comoros",2015,"12 to 23 months","Number",110.467320149619,101.532984079896,118.865342571831
"COM","Comoros",2015,"12 to 23 months","Rate (per 100,000)",545.42416044702,501.31154195152,586.88877027775
"COM","Comoros",2015,"1 to 5 months","Number",209.912335581845,195.401644780069,226.123061499449
"COM","Comoros",2015,"1 to 5 months","Rate (per 100,000)",2398.36883655801,2232.57587103532,2583.58567839342
"COM","Comoros",2015,"6-11 months","Number",155.931556493097,143.972437416446,167.569577857348
"COM","Comoros",2015,"6-11 months","Rate (per 100,000)",1526.12519688669,1409.07953040383,1640.02823258605
"DJI","Djibouti",2015,"Under 5","Number",1975.83391624404,1905.04577853802,2045.24069659215
"DJI","Djibouti",2015,"Under 5","Rate (per 100,000)",1265.2925694717,1219.96097357703,1309.73956611622
"DJI","Djibouti",2015,"0 to 6 days (early neonatal)","Number",676.997341914203,639.228081398094,716.816976530835
"DJI","Djibouti",2015,"0 to 6 days (early neonatal)","Rate (per 100,000)",102274.34532754,96568.5232310039,108289.918520313
"DJI","Djibouti",2015,"7 to 27 days (late neonatal)","Number",169.747531423051,157.303926538423,184.483632434097
"DJI","Djibouti",2015,"7 to 27 days (late neonatal)","Rate (per 100,000)",8656.14038029066,8021.58864445564,9407.59613308071
"DJI","Djibouti",2015,"Under 1","Number",1624.38610278497,1563.0738171274,1690.14328205078
"DJI","Djibouti",2015,"Under 1","Rate (per 100,000)",4849.41602140446,4666.37531460021,5045.72644175787
"DJI","Djibouti",2015,"2 to 4","Number",218.923729396739,201.928045343625,236.403870198968
"DJI","Djibouti",2015,"2 to 4","Rate (per 100,000)",242.27340021091,223.46501349191,261.61791421124
"DJI","Djibouti",2015,"12 to 23 months","Number",132.524084062323,122.262850090533,143.25120089268
"DJI","Djibouti",2015,"12 to 23 months","Rate (per 100,000)",410.32311162368,378.55212084722,443.53657608734
"DJI","Djibouti",2015,"1 to 5 months","Number",538.360046131075,498.767825766746,577.906950599892
"DJI","Djibouti",2015,"1 to 5 months","Rate (per 100,000)",3759.46793196437,3482.98812280201,4035.63129183372
"DJI","Djibouti",2015,"6-11 months","Number",239.281183316647,220.767596876705,257.504172516079
"DJI","Djibouti",2015,"6-11 months","Rate (per 100,000)",1445.50486653915,1333.66373082972,1555.59049552825
"ERI","Eritrea",2015,"Under 5","Number",12707.9072451884,12316.9927559569,13162.5110072011
"ERI","Eritrea",2015,"Under 5","Rate (per 100,000)",1411.7939836004,1368.36506069823,1462.29851150957
"ERI","Eritrea",2015,"0 to 6 days (early neonatal)","Number",2778.38600849673,2603.48856739278,2964.44360283017
"ERI","Eritrea",2015,"0 to 6 days (early neonatal)","Rate (per 100,000)",74298.0314406957,69621.0227247366,79273.4786792333
"ERI","Eritrea",2015,"7 to 27 days (late neonatal)","Number",873.798635999165,811.976786909576,946.232320586385
"ERI","Eritrea",2015,"7 to 27 days (late neonatal)","Rate (per 100,000)",7875.26193223703,7318.0817826491,8528.08309187311
"ERI","Eritrea",2015,"Under 1","Number",7155.80038667367,6918.0584580559,7460.7317719769
"ERI","Eritrea",2015,"Under 1","Rate (per 100,000)",3763.20636864751,3638.17885369124,3923.56854606525
"ERI","Eritrea",2015,"2 to 4","Number",3681.25375015616,3389.31858780954,3969.96904971816
"ERI","Eritrea",2015,"2 to 4","Rate (per 100,000)",700.87573421425,645.29405331437,755.84438383554
"ERI","Eritrea",2015,"12 to 23 months","Number",1870.85310835859,1738.7077649951,2021.29874844453
"ERI","Eritrea",2015,"12 to 23 months","Rate (per 100,000)",1012.7128527448,941.18116110281,1094.15069127619
"ERI","Eritrea",2015,"1 to 5 months","Number",1985.96818285917,1823.6213342155,2144.23453672555
"ERI","Eritrea",2015,"1 to 5 months","Rate (per 100,000)",2446.42026241619,2246.43285904828,2641.38109728718
"ERI","Eritrea",2015,"6-11 months","Number",1517.64755931861,1405.88550497183,1635.57698293865
"ERI","Eritrea",2015,"6-11 months","Rate (per 100,000)",1612.14937018051,1493.42804755266,1737.42209562156
"ETH","Ethiopia",2015,"Under 5","Number",222280.681072973,216381.74706562,228904.88314171
"ETH","Ethiopia",2015,"Under 5","Rate (per 100,000)",1503.4980760241,1463.59791066634,1548.30392697555
"ETH","Ethiopia",2015,"0 to 6 days (early neonatal)","Number",81977.0890860459,77637.1025094604,86549.5914703708
"ETH","Ethiopia",2015,"0 to 6 days (early neonatal)","Rate (per 100,000)",133583.264848914,126511.17211222,141034.246627329
"ETH","Ethiopia",2015,"7 to 27 days (late neonatal)","Number",22562.2071764794,21013.7802420172,24437.600577081
"ETH","Ethiopia",2015,"7 to 27 days (late neonatal)","Rate (per 100,000)",12455.3042158776,11600.5062622053,13490.601655806
"ETH","Ethiopia",2015,"Under 1","Number",167712.19352396,162134.239408465,173319.225703827
"ETH","Ethiopia",2015,"Under 1","Rate (per 100,000)",5425.51263074695,5245.06504448949,5606.90089640413
"ETH","Ethiopia",2015,"2 to 4","Number",34216.526292913,31580.2952543496,36818.313352235
"ETH","Ethiopia",2015,"2 to 4","Rate (per 100,000)",393.83999393288,363.49637554961,423.7871542871
"ETH","Ethiopia",2015,"12 to 23 months","Number",20351.9612561001,18963.0784046451,21867.5442992829
"ETH","Ethiopia",2015,"12 to 23 months","Rate (per 100,000)",677.24021719049,631.02318129231,727.67338067873
"ETH","Ethiopia",2015,"1 to 5 months","Number",39991.1041213342,37434.1002800145,43401.3834342365
"ETH","Ethiopia",2015,"1 to 5 months","Rate (per 100,000)",3027.22587977305,2833.6671278157,3285.37543628318
