"svkey","iso3","survey_year","band","month","age_months","person_months_w","person_months_n","deaths_w","deaths_n"
"SN81FL","SEN",2018,"<1 month",4,0,428.654199,510,8.140666,12
"GM81FL","GMB",2019,"<1 month",4,0,582.77172,610,15.044983,23
"SN8BFL","SEN",2019,"<1 month",4,0,428.628042,489,5.604661,9
"MR71FL","MRT",2020,"<1 month",4,0,808.988632,796,27.278742,25
"BF81FL","BFA",2021,"<1 month",4,0,1081.505936,972,21.181637,18
"ML8AFL","MLI",2023,"<1 month",4,0,1401.616454,1386,27.471168,27
"SN8SFL","SEN",2023,"<1 month",4,0,747.502781,820,9.60902,13
"NG8BFL","NGA",2024,"<1 month",4,0,1048.61589,785,70.255964,47
"ML41FL","MLI",2001,"<1 month",5,0,946.174628,904,45.591676,44
"BF43FL","BFA",2003,"<1 month",5,0,889.381539,789,22.304453,24
"NG4BFL","NGA",2003,"<1 month",5,0,167.994323,142,4.868077,3
"CM44FL","CMR",2004,"<1 month",5,0,133.9698,82,1.57786,1
"TD41FL","TCD",2004,"<1 month",5,0,289.734952,312,9.300073,9
"GN52FL","GIN",2005,"<1 month",5,0,68.378618,73,2.545431,3
"SN4AFL","SEN",2005,"<1 month",5,0,672.550858,719,28.735755,32
"BJ51FL","BEN",2006,"<1 month",5,0,154.005479,138,8.034173,6
"ML53FL","MLI",2006,"<1 month",5,0,1511.370271,1471,65.623412,68
"NI51FL","NER",2006,"<1 month",5,0,772.686615,705,19.519148,18
"NG53FL","NGA",2008,"<1 month",5,0,807.716907000007,764,22.028853,20
"SN5AFL","SEN",2008,"<1 month",5,0,834.880535,956,24.115918,27
"BF62FL","BFA",2010,"<1 month",5,0,1283.35638,1182,34.814514,36
"NG61FL","NGA",2010,"<1 month",5,0,89.726989,71,0,0
"SN61FL","SEN",2010,"<1 month",5,0,720.640938,810,16.544708,22
"CM61FL","CMR",2011,"<1 month",5,0,184.244079,121,3.142967,2
"BJ61FL","BEN",2012,"<1 month",5,0,31.680263,40,0.928404,2
"GN62FL","GIN",2012,"<1 month",5,0,134.050789,152,2.433336,2
"ML6AFL","MLI",2012,"<1 month",5,0,989.433404,970,34.56511,34
"NI61FL","NER",2012,"<1 month",5,0,1121.595657,1111,29.228862,25
"SN6DFL","SEN",2012,"<1 month",5,0,366.546176,439,16.011103,18
"GM61FL","GMB",2013,"<1 month",5,0,536.790251,573,11.398059,10
"NG6AFL","NGA",2013,"<1 month",5,0,871.009314000001,753,44.584056,41
"SN71FL","SEN",2014,"<1 month",5,0,442.970527,488,8.206197,13
"TD71FL","TCD",2014,"<1 month",5,0,738.384773,868,19.914068,24
"SN7AFL","SEN",2015,"<1 month",5,0,409.67584,515,8.537547,13
"SN7IFL","SEN",2016,"<1 month",5,0,444.36681,505,9.648442,17
"BJ71FL","BEN",2017,"<1 month",5,0,159.21329,142,4.081587,4
"SN7ZFL","SEN",2017,"<1 month",5,0,818.377105,938,21.739489,28
"CM71FL","CMR",2018,"<1 month",5,0,203.461528,138,10.94783,8
"GN71FL","GIN",2018,"<1 month",5,0,202.75302,236,2.716292,4
"ML7AFL","MLI",2018,"<1 month",5,0,996.939436,918,39.293488,34
"NG7BFL","NGA",2018,"<1 month",5,0,1174.828644,974,61.387963,49
"SN81FL","SEN",2018,"<1 month",5,0,453.385427,479,21.068138,19
"GM81FL","GMB",2019,"<1 month",5,0,583.566898,641,18.385506,22
"SN8BFL","SEN",2019,"<1 month",5,0,405.973786,475,8.859244,11
"MR71FL","MRT",2020,"<1 month",5,0,998.347144,966,35.964295,31
"BF81FL","BFA",2021,"<1 month",5,0,1061.865765,1008,17.979009,17
"ML8AFL","MLI",2023,"<1 month",5,0,1277.088305,1224,51.118918,44
"SN8SFL","SEN",2023,"<1 month",5,0,754.508641,838,25.212878,26
"NG8BFL","NGA",2024,"<1 month",5,0,938.455560999998,740,37.523589,32
"ML41FL","MLI",2001,"<1 month",6,0,1055.001578,1055,63.166756,60
"BF43FL","BFA",2003,"<1 month",6,0,888.850442,784,41.345082,32
"NG4BFL","NGA",2003,"<1 month",6,0,144.169839,132,2.610366,3
"CM44FL","CMR",2004,"<1 month",6,0,116.94086,71,5.0611,3
"TD41FL","TCD",2004,"<1 month",6,0,310.643722,346,10.044158,9
"GN52FL","GIN",2005,"<1 month",6,0,267.76532,286,10.111878,10
"SN4AFL","SEN",2005,"<1 month",6,0,622.503118,647,22.519256,18
"BJ51FL","BEN",2006,"<1 month",6,0,142.862778,131,7.315536,7
"ML53FL","MLI",2006,"<1 month",6,0,1497.889528,1456,83.420346,67
"NI51FL","NER",2006,"<1 month",6,0,670.112098,612,27.800822,20
"NG53FL","NGA",2008,"<1 month",6,0,1013.94772800001,927,43.356518,38
"SN5AFL","SEN",2008,"<1 month",6,0,858.2785,938,36.551681,39
"BF62FL","BFA",2010,"<1 month",6,0,1179.241627,1063,23.8386,21
"NG61FL","NGA",2010,"<1 month",6,0,140.088536,108,5.996569,4
"SN61FL","SEN",2010,"<1 month",6,0,613.376027,732,21.286471,27
"CM61FL","CMR",2011,"<1 month",6,0,184.100784,125,9.749538,7
"BJ61FL","BEN",2012,"<1 month",6,0,55.135561,61,0,0
"GN62FL","GIN",2012,"<1 month",6,0,152.579206,171,6.100264,8
"ML6AFL","MLI",2012,"<1 month",6,0,1075.374554,1045,41.732388,42
"NI61FL","NER",2012,"<1 month",6,0,983.365292,873,16.369556,17
"SN6DFL","SEN",2012,"<1 month",6,0,408.069483,464,11.92765,12
"GM61FL","GMB",2013,"<1 month",6,0,569.912184,568,14.648625,19
"NG6AFL","NGA",2013,"<1 month",6,0,799.936232,674,34.990816,33
"SN71FL","SEN",2014,"<1 month",6,0,376.319425,454,12.975763,15
"TD71FL","TCD",2014,"<1 month",6,0,766.659614,901,33.239195,32
"SN7AFL","SEN",2015,"<1 month",6,0,414.947345,486,6.741404,9
"SN7IFL","SEN",2016,"<1 month",6,0,343.972777,448,9.893321,13
"BJ71FL","BEN",2017,"<1 month",6,0,150.696341,135,4.915758,4
"SN7ZFL","SEN",2017,"<1 month",6,0,735.949177,862,26.9249,35
"CM71FL","CMR",2018,"<1 month",6,0,161.261272,109,1.636403,2
"GN71FL","GIN",2018,"<1 month",6,0,92.924428,114,2.608012,3
"ML7AFL","MLI",2018,"<1 month",6,0,931.06534,885,24.155298,24
"NG7BFL","NGA",2018,"<1 month",6,0,1238.460166,1008,44.670348,38
"SN81FL","SEN",2018,"<1 month",6,0,410.738774,509,22.746898,21
"GM81FL","GMB",2019,"<1 month",6,0,527.88088,594,11.843697,20
"SN8BFL","SEN",2019,"<1 month",6,0,372.197575,463,4.98281,8
"MR71FL","MRT",2020,"<1 month",6,0,967.457895,973,16.430981,23
"BF81FL","BFA",2021,"<1 month",6,0,929.798455,863,11.163432,13
"ML8AFL","MLI",2023,"<1 month",6,0,1271.141376,1255,31.15894,30
"SN8SFL","SEN",2023,"<1 month",6,0,632.150896,777,22.203121,33
"NG8BFL","NGA",2024,"<1 month",6,0,972.474800999998,756,34.205323,27
"ML41FL","MLI",2001,"<1 month",7,0,922.512192,870,50.517393,50
"BF43FL","BFA",2003,"<1 month",7,0,855.004164,735,21.267777,18
"NG4BFL","NGA",2003,"<1 month",7,0,98.72016,84,3.364231,5
"CM44FL","CMR",2004,"<1 month",7,0,134.29732,82,4.73358,3
"TD41FL","TCD",2004,"<1 month",7,0,302.50881,324,18.764866,14
"GN52FL","GIN",2005,"<1 month",7,0,110.137674,119,2.061961,2
"SN4AFL","SEN",2005,"<1 month",7,0,560.391432,567,21.571359,20
"BJ51FL","BEN",2006,"<1 month",7,0,161.498376,145,4.083565,4
"ML53FL","MLI",2006,"<1 month",7,0,1137.296995,1130,61.118183,67
"NI51FL","NER",2006,"<1 month",7,0,700.787303,646,22.46154,20
"NG53FL","NGA",2008,"<1 month",7,0,817.983400000007,750,28.048302,22
"SN5AFL","SEN",2008,"<1 month",7,0,905.495007,1003,23.591545,28
"BF62FL","BFA",2010,"<1 month",7,0,1085.985077,986,24.014705,22
"NG61FL","NGA",2010,"<1 month",7,0,153.535308,117,4.864171,3
"SN61FL","SEN",2010,"<1 month",7,0,659.65623,755,25.008144,28
"CM61FL","CMR",2011,"<1 month",7,0,170.799487,111,8.482491,5
"BJ61FL","BEN",2012,"<1 month",7,0,48.269554,57,1.168065,2
"GN62FL","GIN",2012,"<1 month",7,0,112.377202,130,4.208173,4
"ML6AFL","MLI",2012,"<1 month",7,0,926.481196,922,32.662102,32
"NI61FL","NER",2012,"<1 month",7,0,848.411748,808,14.373491,18
"SN6DFL","SEN",2012,"<1 month",7,0,422.945146,471,11.325499,8
"GM61FL","GMB",2013,"<1 month",7,0,442.424933,481,5.704799,5
"NG6AFL","NGA",2013,"<1 month",7,0,984.957001000001,842,45.733027,42
"SN71FL","SEN",2014,"<1 month",7,0,403.981736,456,9.592951,12
"TD71FL","TCD",2014,"<1 month",7,0,842.843881,970,18.996505,21
"SN7AFL","SEN",2015,"<1 month",7,0,419.918662,481,8.92944,11
"SN7IFL","SEN",2016,"<1 month",7,0,427.338953,496,8.370305,10
"BJ71FL","BEN",2017,"<1 month",7,0,121.46639,111,4.724202,5
"SN7ZFL","SEN",2017,"<1 month",7,0,800.635721,878,29.725321,31
"CM71FL","CMR",2018,"<1 month",7,0,136.345515,97,3.903563,2
"GN71FL","GIN",2018,"<1 month",7,0,73.98556,91,0.728741,1
"ML7AFL","MLI",2018,"<1 month",7,0,852.424027,804,16.370361,19
