"svkey","iso3","survey_year","regkey","band","month","person_months_w","person_months_n","deaths_w","deaths_n"
"SN5AFL","SEN",2008,"saintlouis","<1 month",1,53.760198,117,0.238773,1
"SN61FL","SEN",2010,"saintlouis","<1 month",1,51.381982,54,0.40189,1
"SN7ZFL","SEN",2017,"saintlouis","<1 month",1,82.645331,85,2.021303,2
"SN8SFL","SEN",2023,"saintlouis","<1 month",1,84.734893,75,2.831528,2
"SN61FL","SEN",2010,"sedhiou","<1 month",1,40.554146,88,0.578597,1
"SN7ZFL","SEN",2017,"sedhiou","<1 month",1,35.751446,82,1.305857,3
"SN8SFL","SEN",2023,"sedhiou","<1 month",1,30.047795,67,1.066769,2
"ML41FL","MLI",2001,"segou","<1 month",1,252.790834,205,15.681879,11
"ML53FL","MLI",2006,"segou","<1 month",1,215.596367,158,16.278713,12
"ML6AFL","MLI",2012,"segou","<1 month",1,136.480887,127,10.618066,7
"ML7AFL","MLI",2018,"segou","<1 month",1,126.307735,100,3.383667,3
"ML8AFL","MLI",2023,"segou","<1 month",1,178.743705,138,4.894877,5
"ML41FL","MLI",2001,"sikasso","<1 month",1,244.347103,221,12.001081,8
"ML53FL","MLI",2006,"sikasso","<1 month",1,222.139851,236,9.80124,11
"ML6AFL","MLI",2012,"sikasso","<1 month",1,177.777052,129,11.352521,9
"ML7AFL","MLI",2018,"sikasso","<1 month",1,150.96568,143,5.515622,4
"ML8AFL","MLI",2023,"sikasso","<1 month",1,271.066141,198,7.836791,5
"TD71FL","TCD",2014,"sila","<1 month",1,49.450994,79,1.266075,2
"SN6DFL","SEN",2012,"south","<1 month",1,90.623925,166,1.335194,3
"SN71FL","SEN",2014,"south","<1 month",1,79.5145720000001,167,2.538008,5
"SN7AFL","SEN",2015,"south","<1 month",1,103.832953,185,2.04057,3
"SN7IFL","SEN",2016,"south","<1 month",1,90.1036299999999,180,2.867851,6
"SN81FL","SEN",2018,"south","<1 month",1,80.388208,170,1.022242,2
"SN8BFL","SEN",2019,"south","<1 month",1,101.043297,190,1.033984,2
"MR71FL","MRT",2020,"southnouakchott","<1 month",1,87.631639,42,0,0
"MR71FL","MRT",2020,"tagant","<1 month",1,28.040604,63,1.071209,2
