"iso3","country","year","map_matched","snow_matched","map_full","snow_full","pfpr_pct","previous_map_gamma1","ihme_malaria","matched_snow_minus_map","matched_snow_vs_map_percent","full_snow_minus_map","full_snow_vs_map_percent","map_gamma2_minus_previous","map_gamma2_vs_previous_percent"
"ETH","Ethiopia",2015,11700.8735252726,8533.92832703918,12364.3490996435,8518.71721691574,4.44168903034584,11460.1289214996,11813.4580723826,-3166.94519823341,-27.0658869305199,-3845.63188272778,-31.1025825276856,904.22017814392,7.89013966891394
"GAB","Gabon",2015,392.267302352182,299.943760781965,411.054799496462,299.456143517927,16.5336880312919,379.100663887335,307.793775942293,-92.3235415702163,-23.5358749038244,-111.598655978535,-27.149337780569,31.9541356091271,8.42893158810811
"GHA","Ghana",2015,10168.9437966443,8244.79768531019,10643.5832613536,8232.36210020312,27.1359006682193,9643.33092275288,9488.9556894683,-1924.14611133409,-18.9217892222893,-2411.22116115052,-22.6542236946232,1000.25233860076,10.372477586979
"GIN","Guinea",2015,13922.2341263484,11733.8184972603,14705.0290383345,11722.5913165751,37.0047253732389,13256.395283172,8411.25835546664,-2188.41562908809,-15.718853807712,-2982.43772175936,-20.2817533646785,1448.63375516247,10.9278104961264
"GMB","The Gambia",2015,750.433773347225,576.657368989221,783.279896674818,575.721283396382,16.1615436677223,726.451644086098,380.221418593574,-173.776404358004,-23.1567941809034,-207.558613278436,-26.4986519071362,56.82825258872,7.82271649480704
"GNB","Guinea-Bissau",2015,441.493715569764,323.491229132421,478.733409070967,323.053536148977,5.43390998716656,447.303594539874,240.020921747807,-118.002486437343,-26.7280104508524,-155.67987292199,-32.5191160617145,31.4298145310929,7.02650613917459
"GNQ","Equatorial Guinea",2015,602.522937318738,504.982563873128,634.764463158916,504.383559408296,34.4631748290858,565.858656569197,720.251418626558,-97.5403734456099,-16.1886572948858,-130.38090375062,-20.540044586267,68.9058065897185,12.1772117099868
"KEN","Kenya",2015,3950.43862625934,2878.94248088215,4174.42133024693,2873.65637976131,5.61238811543549,3856.80849649151,2218.91481903351,-1071.49614537719,-27.1234727772948,-1300.76495048562,-31.1603656550087,317.612833755421,8.23512067151766
"LBR","Liberia",2015,4362.15465270381,3619.05170856092,4573.18768555479,3614.55593461032,33.370745219075,4098.46234528327,2549.96903104348,-743.102944142888,-17.0352269303952,-958.631750944469,-20.9620032427813,474.725340271521,11.5830109020731
"LSO","Lesotho",2015,,,,,,,,,,,,,
"MDG","Madagascar",2015,5824.01955916576,4272.15789045348,6329.94871050391,4266.40636131463,6.1292538325627,5890.98312653028,3397.67118195632,-1551.86166871228,-26.645886967704,-2063.54234918928,-32.5996693427395,438.965583973628,7.45148262259874
"MLI","Mali",2015,24657.9249068637,20037.7928437458,26188.8750265554,20015.903470003,29.3609132094117,23913.9342656264,17514.868481058,-4620.13206311793,-18.7369053988476,-6172.97155655239,-23.5709687808011,2274.94076092904,9.51303426554537
"MOZ","Mozambique",2015,18937.3892668685,15855.8810096833,19955.2471777882,15836.0532431125,34.6327854633793,17838.8693067979,6527.55341006905,-3081.5082571852,-16.2720859446892,-4119.19393467562,-20.642159417903,2116.37787099027,11.8638565852589
"MRT","Mauritania",2015,463.926712228393,341.798262052676,483.097532606016,341.153653444182,6.4035707842887,447.907046700647,382.678216987015,-122.128450175717,-26.3249446424617,-141.943879161834,-29.3820335608285,35.1904859053688,7.85664931252754
"MWI","Malawi",2015,8272.18685370666,6401.18216053217,8780.76029325346,6392.82201022167,18.220052663991,8136.2127097837,4821.92982126994,-1871.00469317449,-22.6180177776826,-2387.93828303179,-27.1951198219877,644.547583469763,7.92196082453329
"NAM","Namibia",2015,32.0838218498926,23.1851867768158,34.6119293945131,23.1476694535451,0.747527078008077,31.8982872823856,8.80805539286492,-8.89863507307673,-27.7355831069936,-11.464259940968,-33.1222793456448,2.71364211212748,8.50717183685898
