"survey","country","region","records","deaths","distinct_children","regkey","survey_year","lat","lon","selected","exclusion"
"BF43FL","BFA","BFA:BF43FL:centreest",1848,39,1005,"centreest",2003,11.6041594002688,-0.18567495122542,FALSE,"centroid_south_of_12N"
"BF43FL","BFA","BFA:BF43FL:centrenord",2436,73,1296,"centrenord",2003,13.2686113917498,-0.974232929476776,TRUE,"included"
"BF43FL","BFA","BFA:BF43FL:boucledumouhoun",2358,70,1226,"boucledumouhoun",2003,12.5380342481171,-3.48300292988694,TRUE,"included"
"BF43FL","BFA","BFA:BF43FL:hautsbassins",2309,55,1205,"hautsbassins",2003,11.3686838991293,-4.32866514777171,FALSE,"centroid_south_of_12N"
"BF43FL","BFA","BFA:BF43FL:centresud",1828,28,984,"centresud",2003,11.5859456759347,-1.21945357538953,FALSE,"centroid_south_of_12N"
"BF43FL","BFA","BFA:BF43FL:cascades",1884,56,1004,"cascades",2003,10.3495549456586,-4.56509106126012,FALSE,"centroid_south_of_12N"
"BF43FL","BFA","BFA:BF43FL:ouagadougou",704,11,415,"ouagadougou",2003,12.3630066060918,-1.53439361878581,TRUE,"included"
"BF43FL","BFA","BFA:BF43FL:sudouest",2637,69,1406,"sudouest",2003,10.4790458518943,-3.23017347361138,FALSE,"centroid_south_of_12N"
"BF43FL","BFA","BFA:BF43FL:centreouest",2823,77,1528,"centreouest",2003,11.7993637666693,-2.22008548708101,FALSE,"centroid_south_of_12N"
"BF43FL","BFA","BFA:BF43FL:sahel",2037,88,1064,"sahel",2003,14.1479483167321,-0.442209231256767,TRUE,"included"
"BF43FL","BFA","BFA:BF43FL:plateaucentral",2733,48,1428,"plateaucentral",2003,12.4497844241213,-1.14239478438732,TRUE,"included"
"BF62FL","BFA","BFA:BF62FL:boucledumouhoun",7534,129,2271,"boucledumouhoun",2010,12.5380342481171,-3.48300292988694,TRUE,"included"
"BF62FL","BFA","BFA:BF62FL:cascades",5275,103,1634,"cascades",2010,10.3495549456586,-4.56509106126012,FALSE,"centroid_south_of_12N"
"BF62FL","BFA","BFA:BF62FL:centre",5174,60,1530,"centre",2010,12.3225449031426,-1.50225972108387,TRUE,"included"
"BF62FL","BFA","BFA:BF62FL:centreest",6432,70,1914,"centreest",2010,11.6041594002688,-0.18567495122542,FALSE,"centroid_south_of_12N"
"BF62FL","BFA","BFA:BF62FL:centrenord",6227,87,1889,"centrenord",2010,13.2686113917498,-0.974232929476776,TRUE,"included"
"BF62FL","BFA","BFA:BF62FL:centreouest",7572,134,2264,"centreouest",2010,11.7993637666693,-2.22008548708101,FALSE,"centroid_south_of_12N"
"BF62FL","BFA","BFA:BF62FL:centresud",5493,91,1654,"centresud",2010,11.5859456759347,-1.21945357538953,FALSE,"centroid_south_of_12N"
"BF62FL","BFA","BFA:BF62FL:est",8472,191,2551,"est",2010,12.2282387138743,0.920215008871161,TRUE,"included"
"BF62FL","BFA","BFA:BF62FL:hautsbassins",6872,120,2048,"hautsbassins",2010,11.3686838991293,-4.32866514777171,FALSE,"centroid_south_of_12N"
"BF62FL","BFA","BFA:BF62FL:nord",6742,122,2048,"nord",2010,13.4565926624718,-2.28301186955895,TRUE,"included"
"BF62FL","BFA","BFA:BF62FL:plateaucentral",5894,103,1783,"plateaucentral",2010,12.4497844241213,-1.14239478438732,TRUE,"included"
"BF62FL","BFA","BFA:BF62FL:sahel",6841,219,2036,"sahel",2010,14.1479483167321,-0.442209231256767,TRUE,"included"
"BF62FL","BFA","BFA:BF62FL:sudouest",6166,181,1861,"sudouest",2010,10.4790458518943,-3.23017347361138,FALSE,"centroid_south_of_12N"
"BF81FL","BFA","BFA:BF81FL:boucledumouhoun",6453,44,1931,"boucledumouhoun",2021,12.5380342480862,-3.48300292992806,TRUE,"included"
"BF81FL","BFA","BFA:BF81FL:cascades",3857,33,1146,"cascades",2021,10.3495549456591,-4.56509106120655,FALSE,"centroid_south_of_12N"
"BF81FL","BFA","BFA:BF81FL:centre",6671,28,1943,"centre",2021,12.3225449030978,-1.50225972117308,TRUE,"included"
"BF81FL","BFA","BFA:BF81FL:centreest",7162,54,2104,"centreest",2021,11.6034993861784,-0.181709976495725,FALSE,"centroid_south_of_12N"
"BF81FL","BFA","BFA:BF81FL:centrenord",5657,41,1629,"centrenord",2021,13.2685074972795,-0.974384932422449,TRUE,"included"
"BF81FL","BFA","BFA:BF81FL:centreouest",6399,32,1873,"centreouest",2021,11.7993637668096,-2.22008548726617,FALSE,"centroid_south_of_12N"
"BF81FL","BFA","BFA:BF81FL:centresud",4425,33,1294,"centresud",2021,11.5865392966111,-1.21654367403864,FALSE,"centroid_south_of_12N"
"BF81FL","BFA","BFA:BF81FL:est",4612,34,1354,"est",2021,12.2283825490974,0.920098233673592,TRUE,"included"
"BF81FL","BFA","BFA:BF81FL:hautsbassins",7406,55,2208,"hautsbassins",2021,11.3686838990998,-4.32866514799334,FALSE,"centroid_south_of_12N"
"BF81FL","BFA","BFA:BF81FL:nord",6471,34,1898,"nord",2021,13.4565926624788,-2.28301186916294,TRUE,"included"
"BF81FL","BFA","BFA:BF81FL:plateaucentral",6175,38,1863,"plateaucentral",2021,12.4495264684502,-1.14173970417544,TRUE,"included"
"BF81FL","BFA","BFA:BF81FL:sahel",2850,32,864,"sahel",2021,14.1479483170986,-0.442209231185252,TRUE,"included"
"BF81FL","BFA","BFA:BF81FL:sudouest",5989,85,1817,"sudouest",2021,10.4790458522412,-3.23017347374625,FALSE,"centroid_south_of_12N"
"CI62FL","CIV","CIV:CI62FL:west",3992,68,1207,"west",2012,6.93910908993038,-7.65374227695257,FALSE,"centroid_south_of_12N"
"CI62FL","CIV","CIV:CI62FL:northeast",3439,60,1034,"northeast",2012,8.66794877591308,-3.34345982077578,FALSE,"centroid_south_of_12N"
"CI62FL","CIV","CIV:CI62FL:northcentral",4312,51,1330,"northcentral",2012,8.26990753728874,-4.94530729720774,FALSE,"centroid_south_of_12N"
"CI62FL","CIV","CIV:CI62FL:central",3287,63,1045,"central",2012,7.03983439024734,-4.49918421732424,FALSE,"centroid_south_of_12N"
"CI62FL","CIV","CIV:CI62FL:abidjan",3537,56,1078,"abidjan",2012,5.34535422777325,-4.01103823788522,FALSE,"centroid_south_of_12N"
"CI62FL","CIV","CIV:CI62FL:southwest",3700,38,1089,"southwest",2012,5.35566732452234,-6.7508557635767,FALSE,"centroid_south_of_12N"
"CI62FL","CIV","CIV:CI62FL:westcentral",3968,38,1181,"westcentral",2012,6.87071487519228,-6.23210096276598,FALSE,"centroid_south_of_12N"
"CI62FL","CIV","CIV:CI62FL:eastcentral",3298,56,1026,"eastcentral",2012,6.69948585831887,-3.42091446305214,FALSE,"centroid_south_of_12N"
"CI62FL","CIV","CIV:CI62FL:north",4153,122,1248,"north",2012,9.56479396499323,-5.55713336148983,FALSE,"centroid_south_of_12N"
"CI62FL","CIV","CIV:CI62FL:northwest",6074,166,1845,"northwest",2012,8.87394209492248,-7.00224005729886,FALSE,"centroid_south_of_12N"
"CI81FL","CIV","CIV:CI81FL:abidjan",3607,28,1085,"abidjan",2021,5.42029555004346,-4.06496299549194,FALSE,"centroid_south_of_12N"
"CI81FL","CIV","CIV:CI81FL:sassandramarahoue",5931,79,1786,"sassandramarahoue",2021,7.05511275516198,-6.33687427437895,FALSE,"centroid_south_of_12N"
"CI81FL","CIV","CIV:CI81FL:savanes",4675,66,1399,"savanes",2021,9.5647722815211,-5.5570084285279,FALSE,"centroid_south_of_12N"
"CI81FL","CIV","CIV:CI81FL:valleedubandama",4076,50,1226,"valleedubandama",2021,8.26990775195846,-4.94530736212915,FALSE,"centroid_south_of_12N"
"CI81FL","CIV","CIV:CI81FL:comoe",2936,15,879,"comoe",2021,6.07479241885024,-3.3058162207109,FALSE,"centroid_south_of_12N"
"CI81FL","CIV","CIV:CI81FL:montagnes",5631,100,1691,"montagnes",2021,6.93918728309938,-7.65375317880414,FALSE,"centroid_south_of_12N"
"CI81FL","CIV","CIV:CI81FL:yamoussoukro",2624,21,788,"yamoussoukro",2021,6.86232019763196,-5.26873576461189,FALSE,"centroid_south_of_12N"
"CI81FL","CIV","CIV:CI81FL:zanzan",3887,22,1153,"zanzan",2021,8.66792604504252,-3.3434898279203,FALSE,"centroid_south_of_12N"
"CI81FL","CIV","CIV:CI81FL:bassassandra",4719,47,1425,"bassassandra",2021,5.35279300163283,-6.67619990799401,FALSE,"centroid_south_of_12N"
"CI81FL","CIV","CIV:CI81FL:denguele",6128,126,1821,"denguele",2021,9.6339737653872,-7.39194747929818,FALSE,"centroid_south_of_12N"
"CI81FL","CIV","CIV:CI81FL:lacs",3606,40,1064,"lacs",2021,7.05371344251933,-4.43876390197973,FALSE,"centroid_south_of_12N"
"CI81FL","CIV","CIV:CI81FL:woroba",5263,95,1599,"woroba",2021,8.37149416522225,-6.7455366108128,FALSE,"centroid_south_of_12N"
"CI81FL","CIV","CIV:CI81FL:gohdjiboua",4105,47,1245,"gohdjiboua",2021,5.95324281432625,-5.60656454964301,FALSE,"centroid_south_of_12N"
"CI81FL","CIV","CIV:CI81FL:lagunes",3977,29,1174,"lagunes",2021,5.8480010965969,-4.29282653021397,FALSE,"centroid_south_of_12N"
"CM44FL","CMR","CMR:CM44FL:douala",1633,21,717,"douala",2004,3.96905202684184,9.67368860636383,FALSE,"centroid_south_of_12N"
"CM44FL","CMR","CMR:CM44FL:north",3429,98,1463,"north",2004,8.4663315975173,13.9455451157472,FALSE,"centroid_south_of_12N"
"CM44FL","CMR","CMR:CM44FL:farnorth",4035,104,1680,"farnorth",2004,11.0636603815714,14.5230685152645,FALSE,"centroid_south_of_12N"
"CM44FL","CMR","CMR:CM44FL:littoral",1818,37,784,"littoral",2004,4.289832733335,10.1538248995837,FALSE,"centroid_south_of_12N"
"CM44FL","CMR","CMR:CM44FL:yaounde",1497,28,691,"yaounde",2004,3.80848627492537,11.5127756388235,FALSE,"centroid_south_of_12N"
"CM44FL","CMR","CMR:CM44FL:west",3229,66,1423,"west",2004,5.50888332721826,10.6556576247098,FALSE,"centroid_south_of_12N"
"CM44FL","CMR","CMR:CM44FL:east",2220,61,960,"east",2004,3.79497702886679,14.2173341426912,FALSE,"centroid_south_of_12N"
"CM44FL","CMR","CMR:CM44FL:south",1943,48,817,"south",2004,2.7597094808959,11.5684723783622,FALSE,"centroid_south_of_12N"
"CM44FL","CMR","CMR:CM44FL:adamawa",2352,38,992,"adamawa",2004,6.84161546239821,13.1264486309506,FALSE,"centroid_south_of_12N"
