"iso3","year","allcause_deaths","under5_person_years","leaf_deaths","leaf_person_years","age_rows","death_sum_relative_error","person_year_sum_relative_error","ihme_malaria_deaths","ihme_native_rate_per100000","malaria_native_person_years","malaria_denominator_relative_difference"
"BDI",2016,38712.8485840452,2036404.71241719,38712.8485840452,2036404.7124172,6,2.22044604925031e-16,6.21724893790088e-15,8525.94107761011,418.67616125725,2036404.71241721,8.65973959207622e-15
"BDI",2017,37918.99159186,2042955.44364497,37918.99159186,2042955.44364497,6,4.44089209850063e-16,-6.66133814775094e-16,8945.8946246008,437.88985474102,2042955.44364499,6.66133814775094e-15
"BDI",2018,37614.766316433,2065708.65509319,37614.766316433,2065708.6550932,6,0,2.66453525910038e-15,10547.7363768518,510.61103659731,2065708.6550932,6.43929354282591e-15
"BDI",2019,38379.520737586,2125011.10404278,38379.520737586,2125011.10404277,6,-2.22044604925031e-16,-3.33066907387547e-15,10910.2149621501,513.41919773472,2125011.10404277,-4.2188474935756e-15
"BDI",2020,39235.1029558139,2193999.80595519,39235.1029558139,2193999.80595519,6,-7.7715611723761e-16,-3.44169137633799e-15,12405.5845104953,565.43234310334,2193999.80595522,1.11022302462516e-14
"BDI",2021,39631.5781634981,2238056.88859734,39631.5781634981,2238056.88859734,6,-7.7715611723761e-16,-6.66133814775094e-16,12454.020918451,556.46578877877,2238056.88859737,1.22124532708767e-14
"BDI",2022,39669.5633754281,2284880.17741204,39669.5633754281,2284880.17741204,6,-5.55111512312578e-16,-1.4432899320127e-15,11986.4535838054,524.59878212878,2284880.17741203,-2.44249065417534e-15
"BDI",2023,39925.0553009662,2327164.91269312,39925.0553009662,2327164.91269312,6,2.22044604925031e-16,6.66133814775094e-16,10501.404362192,451.25312370059,2327164.91269316,1.68753899743024e-14
"BDI",2024,43783.7562317263,2382299.07874954,43783.7562317264,2381252.31562283,6,2.22044604925031e-16,-0.000439391987364202,14430.2985954673,605.260261658183,2384147.69803881,0.000775981196384112
"BEN",2000,37968.0829957684,1313344.3230241,37968.0829957684,1313344.3230241,6,-3.33066907387547e-16,1.33226762955019e-15,4759.10597885623,362.36544335136,1313344.32302411,5.99520433297585e-15
"BEN",2001,37415.4557129101,1354243.94347737,37415.4557129101,1354243.94347737,6,0,-2.1094237467878e-15,5352.70979704726,395.25447559342,1354243.9434774,2.17603712826531e-14
"BEN",2002,36893.3674968856,1398104.36378522,36893.3674968856,1398104.36378523,6,0,1.99840144432528e-15,5921.42485367255,423.53239193395,1398104.36378524,8.88178419700125e-15
"BEN",2003,36466.935830212,1444587.49670889,36466.935830212,1444587.49670889,6,6.66133814775094e-16,-1.11022302462516e-15,6447.80420254287,446.34224075955,1444587.49670892,1.75415237890775e-14
"BEN",2004,35946.1441226403,1493657.30157613,35946.1441226403,1493657.30157613,6,-5.55111512312578e-16,2.44249065417534e-15,7364.3116397314,493.0389073826,1493657.30157613,4.44089209850063e-15
"BEN",2005,35764.568969811,1544457.41506072,35764.5689698109,1544457.41506072,6,-5.55111512312578e-16,-3.33066907387547e-16,7882.71211201263,510.38714535892,1544457.41506073,8.21565038222616e-15
"BEN",2006,35884.736046735,1595823.22199404,35884.736046735,1595823.22199404,6,0,3.5527136788005e-15,8058.41945631353,504.9694317798,1595823.22199407,1.77635683940025e-14
"BEN",2007,35811.8317183153,1646998.17666959,35811.8317183153,1646998.1766696,6,-2.22044604925031e-16,1.77635683940025e-15,8095.2632376421,491.51622341268,1646998.1766696,6.66133814775094e-16
"BEN",2008,36132.284087249,1697701.9730141,36132.284087249,1697701.9730141,6,-4.44089209850063e-16,1.77635683940025e-15,8061.19934555678,474.8300628552,1697701.97301409,-2.44249065417534e-15
"BEN",2009,36665.8975239231,1747902.62689483,36665.897523923,1747902.62689484,6,-1.22124532708767e-15,2.22044604925031e-16,7908.33323774279,452.44701369847,1747902.62689483,-2.22044604925031e-16
"BEN",2010,37252.3584382951,1797752.61222833,37252.3584382951,1797752.61222833,6,-5.55111512312578e-16,1.33226762955019e-15,7592.83538697841,422.3515146262,1797752.61222833,-9.99200722162641e-16
"BEN",2011,37921.8973327964,1847330.7305064,37921.8973327964,1847330.73050641,6,2.22044604925031e-16,3.33066907387547e-15,7019.52187517024,379.98187109928,1847330.73050641,2.22044604925031e-15
"BEN",2012,38426.9602507843,1896455.06045158,38426.9602507844,1896455.06045158,6,4.44089209850063e-16,3.10862446895044e-15,6993.49933045391,368.76694187462,1896455.06045162,2.22044604925031e-14
