"iso3","year","allcause_deaths","under5_person_years","leaf_deaths","leaf_person_years","age_rows","death_sum_relative_error","person_year_sum_relative_error","ihme_malaria_deaths","ihme_native_rate_per100000","malaria_native_person_years","malaria_denominator_relative_difference"
"BWA",2018,1765.41353058937,249504.530016064,1765.41353058937,249504.530016078,6,-1.11022302462516e-16,5.6843418860808e-14,1.11302199404707,0.44609290018,249504.530020083,1.61104463103356e-11
"BWA",2019,1693.39376597886,250709.9953623,1693.39376597886,250709.995362307,6,4.44089209850063e-16,2.55351295663786e-14,0.348312478170196,0.13893043142,250709.995362509,8.31335000839317e-13
"BWA",2020,1610.2333491891,251414.943026907,1610.2333491891,251414.943026911,6,0,1.46549439250521e-14,1.89585994368078,0.75407607871,251414.943028564,6.59072796338478e-12
"BWA",2021,1553.71496873085,251566.796686848,1553.71496873085,251566.796686854,6,-1.11022302462516e-16,2.46469511466785e-14,1.5040761913317,0.59788342942,251566.796689914,1.21882504089399e-11
"BWA",2022,1397.4834990479,251235.366679932,1397.4834990479,251235.366679931,6,2.22044604925031e-16,-3.33066907387547e-15,0.721782253931715,0.28729325153,251235.366681192,5.01665375907123e-12
"BWA",2023,1228.95690254165,250631.515952065,1228.95690254165,250631.515952075,6,-2.22044604925031e-16,3.73034936274053e-14,1.3728763780339,0.54776685718,250631.51595219,4.97157870427145e-13
"BWA",2024,1172.25308563155,245303.743809843,1172.25308563155,245196.328368328,6,4.44089209850063e-16,-0.000437887493467515,0.695282142301979,0.283397864963384,245337.819461629,0.00013891207389416
"CAF",2000,26398.2658797607,684245.541122588,26398.2658797606,684245.541122588,6,-1.22124532708767e-15,-5.55111512312578e-16,2975.50562606514,434.85933736352,684245.541122594,8.43769498715119e-15
"CAF",2001,26736.8161426875,707628.861920373,26736.8161426875,707628.861920374,6,-6.66133814775094e-16,1.11022302462516e-15,3039.63517153292,429.55217559723,707628.861920382,1.35447209004269e-14
"CAF",2002,26774.7742000658,727284.870903988,26774.7742000658,727284.87090399,6,0,1.55431223447522e-15,3254.80210422824,447.5278167388,727284.870903993,5.55111512312578e-15
"CAF",2003,26937.1522471441,747975.232955608,26937.1522471441,747975.232955608,6,-4.44089209850063e-16,6.66133814775094e-16,3470.76651616297,464.02158296716,747975.232955619,1.48769885299771e-14
"CAF",2004,27295.3995281624,772337.897462398,27295.3995281624,772337.897462401,6,2.22044604925031e-16,3.99680288865056e-15,3632.08424650765,470.27140043771,772337.897462413,1.84297022087776e-14
"CAF",2005,27492.8570841914,795433.86677637,27492.8570841914,795433.866776371,6,-6.66133814775094e-16,4.44089209850063e-16,3752.68743335549,471.77868457674,795433.866776377,8.88178419700125e-15
"CAF",2006,27778.1753516039,820634.466564419,27778.1753516039,820634.46656442,6,4.44089209850063e-16,8.88178419700125e-16,4013.67591903313,489.09424141498,820634.466564422,3.33066907387547e-15
"CAF",2007,27924.7377771723,844225.471579263,27924.7377771723,844225.471579265,6,4.44089209850063e-16,2.66453525910038e-15,4083.49806965733,483.69756743047,844225.471579266,4.44089209850063e-15
"CAF",2008,27855.7637254743,866733.158229722,27855.7637254743,866733.158229723,6,-4.44089209850063e-16,1.99840144432528e-15,3959.56023587,456.837285879,866733.158229722,8.88178419700125e-16
"CAF",2009,27935.5397071371,892068.779608064,27935.5397071371,892068.779608062,6,-2.22044604925031e-16,-1.66533453693773e-15,3912.55608836811,438.59354545365,892068.779608062,-2.22044604925031e-15
"CAF",2010,28255.312876908,920977.79108137,28255.312876908,920977.791081372,6,4.44089209850063e-16,2.88657986402541e-15,3709.04358838151,402.72888491985,920977.791081381,1.24344978758018e-14
"CAF",2011,28355.456314453,953046.207610879,28355.456314453,953046.20761088,6,-5.55111512312578e-16,8.88178419700125e-16,3439.35208404527,360.87988773043,953046.207610882,3.33066907387547e-15
