"prevalence","outcome","relative_change","lo","hi"
4.12781645689723,"Post-neonatal (1 month–5 years)",2.74401689985957,1.95619814516561,3.53792315488737
4.20372206228119,"Post-neonatal (1 month–5 years)",2.81153606146201,2.00414361184476,3.62531925702956
4.28102348092112,"Post-neonatal (1 month–5 years)",2.88034242205841,2.05299391069367,3.71439828744606
4.35974638015259,"Post-neonatal (1 month–5 years)",2.95046137592128,2.10276655206523,3.80519407483848
4.43991689930275,"Post-neonatal (1 month–5 years)",3.02191885009049,2.15347940130843,3.89774118079318
4.52156165836973,"Post-neonatal (1 month–5 years)",3.0947413167153,2.20515068655833,3.99207491759288
4.60470776686155,"Post-neonatal (1 month–5 years)",3.16895580572358,2.25779900671821,4.0882313665294
4.68938283279765,"Post-neonatal (1 month–5 years)",3.24458991782866,2.31144333963937,4.18624739673403
4.77561497187591,"Post-neonatal (1 month–5 years)",3.32167183788381,2.36610305050442,4.28616068454264
4.86343281680825,"Post-neonatal (1 month–5 years)",3.40023034859569,2.42179790041952,4.388009733413
4.95286552682791,"Post-neonatal (1 month–5 years)",3.48029484460735,2.47854805522194,4.49183389441299
5.04394279737154,"Post-neonatal (1 month–5 years)",3.56189534696287,2.53637409450911,4.59767338729824
5.13669486993932,"Post-neonatal (1 month–5 years)",3.64506251796561,2.59529702089547,4.70556932219934
5.23115254213644,"Post-neonatal (1 month–5 years)",3.72982767644217,2.65533826950384,4.81556372193903
5.32734717789919,"Post-neonatal (1 month–5 years)",3.81622281342524,2.71651971769826,4.92769954500043
5.42531071790915,"Post-neonatal (1 month–5 years)",3.90428060826893,2.77886369506539,5.04202070916873
5.52507569019878,"Post-neonatal (1 month–5 years)",3.99403444520974,2.84239299365168,5.15857211586912
5.62667522095215,"Post-neonatal (1 month–5 years)",4.08551843038838,2.90713087846408,5.27739967522471
5.7301430455042,"Post-neonatal (1 month–5 years)",4.17876740934662,2.97310109824223,5.3985503318595
5.83551351954235,"Post-neonatal (1 month–5 years)",4.27381698501503,3.04032789650988,5.5220720914718
5.94282163051397,"Post-neonatal (1 month–5 years)",4.37070353620761,3.10883602291439,5.64801404820516
6.05210300924372,"Post-neonatal (1 month–5 years)",4.4694642366397,3.17865074486281,5.77642641284426
6.16339394176452,"Post-neonatal (1 month–5 years)",4.5701370744865,3.24979785946355,5.90736054186509
6.27673138136598,"Post-neonatal (1 month–5 years)",4.6727608725003,3.32230370578293,6.040868967369
6.39215296086452,"Post-neonatal (1 month–5 years)",4.77737530870463,3.39619517742642,6.17700542793227
6.509697005099,"Post-neonatal (1 month–5 years)",4.88402093768481,3.47149973545431,6.3158249004035
6.62940254365622,"Post-neonatal (1 month–5 years)",4.99273921249483,3.54824542164245,6.45738363268249
6.75130932383038,"Post-neonatal (1 month–5 years)",5.10357250720133,3.62646087209846,6.60173917751619
6.87545782382085,"Post-neonatal (1 month–5 years)",5.2165641400862,3.70617533124464,6.74895042734778
7.00188926617267,"Post-neonatal (1 month–5 years)",5.33175839753026,3.78741866617927,6.89907765025755
7.13064563146412,"Post-neonatal (1 month–5 years)",5.44920055860103,3.87022138142754,7.05218252703452
7.26176967224613,"Post-neonatal (1 month–5 years)",5.56893692036917,3.95461463409548,7.2083281894209
7.39530492723785,"Post-neonatal (1 month–5 years)",5.69101482397809,4.0406302494385,7.36757925957148
7.53129573578338,"Post-neonatal (1 month–5 years)",5.81548268149343,4.12830073685861,7.53000189077349
