"grouping","age_group","sensitivity","cells","af10","af10_lo","af10_hi","af30","af30_lo","af30_hi","af50","af50_lo","af50_hi"
"six bands","3-11 months","Poisson likelihood",15696,0.104764943350733,0.063101433503061,0.14457569334275,0.256410427771383,0.186604840748183,0.320225298075619,0.330042084450834,0.263634944576898,0.390460471607951
"six bands","3-11 months","no survey intercept",15696,0.0717001469438718,0.0231171220842196,0.1178670067157,0.205074661436896,0.121725854673156,0.280513610412037,0.291727427897493,0.21257232339708,0.362925572343489
"six bands","12-23 months","primary (NB, windows 1-5, lag 0)",5232,0.265043815879992,0.202025470285106,0.323085421323866,0.490253673370241,0.410154336926626,0.559475751404805,0.502644012775437,0.424109914382943,0.570468420613502
"six bands","12-23 months","windows 1-4 only",4296,0.24725106421073,0.177649130068797,0.310962046675669,0.466506676374016,0.374960671396276,0.544644451431078,0.480957611366548,0.391013200607136,0.557617666808368
"six bands","12-23 months","window 1 only (12 months before interview)",1117,0.206335493801909,0.0755157081200991,0.318643535718949,0.458002206694674,0.301188788064862,0.579626653192409,0.482867733153063,0.327558716981155,0.602306122233192
"six bands","12-23 months","prevalence lagged one year",4349,0.253247117377898,0.18543435152172,0.315414455856117,0.472451338578255,0.384399675714208,0.547908636190596,0.481319170592029,0.394199636452473,0.555910133133761
"six bands","12-23 months","Poisson likelihood",5232,0.274484656274177,0.220974731050716,0.32431907543699,0.507928057922053,0.441753285539596,0.56625844826618,0.520163922025883,0.456000238701084,0.576759627291326
"six bands","12-23 months","no survey intercept",5232,0.240110232340186,0.178091377492079,0.297449323220208,0.45438779508336,0.372097257707335,0.525893648645281,0.482921684324071,0.403726285491599,0.551598572875732
"six bands","24-35 months","primary (NB, windows 1-5, lag 0)",5232,0.333187473991218,0.268494400158524,0.392159205700448,0.567011794767062,0.491658984728025,0.631194847084029,0.555608033123715,0.478003532430991,0.621675178868781
"six bands","24-35 months","windows 1-4 only",4296,0.334330485632358,0.261924658796276,0.399633238477015,0.569331357391271,0.48452098489366,0.640188107971412,0.56556324941221,0.479756086888769,0.637217686733559
"six bands","24-35 months","window 1 only (12 months before interview)",1117,0.290461906453899,0.147914912452144,0.409161932827794,0.524132259964349,0.348554414204787,0.65238830234729,0.529100498259271,0.348873722617288,0.65944188025861
"six bands","24-35 months","prevalence lagged one year",4349,0.347048620081232,0.277840400968981,0.409624264345602,0.576767612008934,0.49680043546158,0.644026611173778,0.578340866215494,0.498499400517763,0.645471161375556
"six bands","24-35 months","Poisson likelihood",5232,0.313686643473223,0.256537792799805,0.366442545720126,0.557524152490624,0.490644938003465,0.615622008620633,0.567624231926931,0.502400124382686,0.624298931777563
"six bands","24-35 months","no survey intercept",5232,0.32159610271354,0.257662593059457,0.38002336464459,0.549406377328618,0.473163793906422,0.614615300839715,0.544187085967921,0.46638381070244,0.610646347008487
"six bands","36-59 months","primary (NB, windows 1-5, lag 0)",10464,0.239336206900789,0.172974062092196,0.300373326142786,0.439690083222178,0.350423816638888,0.516689172292144,0.420367783055313,0.327029408153205,0.500760492374236
"six bands","36-59 months","windows 1-4 only",8592,0.222235355622325,0.148440575397724,0.289635198005752,0.40869713930156,0.304890564910016,0.497001399463242,0.389811273306054,0.281154057223939,0.482044399184473
"six bands","36-59 months","window 1 only (12 months before interview)",2234,0.225662967260365,0.105839221123578,0.329429500334983,0.427086310778083,0.262583532341012,0.554891828846906,0.473459237228784,0.31493163138778,0.595302910538222
"six bands","36-59 months","prevalence lagged one year",8698,0.183936987186642,0.111986927551471,0.2500573904326,0.362795296839615,0.256678626000648,0.453762735833736,0.351846541910269,0.241314871670632,0.446275023000982
"six bands","36-59 months","Poisson likelihood",10464,0.221848746009017,0.16188666021748,0.277520896821826,0.429333320491954,0.34846372834292,0.500165265899206,0.419777236101028,0.336916812118711,0.492283227957766
"six bands","36-59 months","no survey intercept",10464,0.226519026531038,0.161197844728278,0.286753363044605,0.417970582199057,0.327770917771051,0.496067260192813,0.402679863478362,0.30844940068623,0.484070513642423
"six bands (4-month split)","<1 month","primary (NB, windows 1-5, lag 0)",5232,0.0230439632807476,-0.0149325008553529,0.0595994345655353,0.0752020346937482,0.00236948134907844,0.142717408253383,0.0853144394385703,0.00684122359757167,0.157587190911994
"six bands (4-month split)","<1 month","windows 1-4 only",4296,0.0217171992290877,-0.0166813097282132,0.0586654548218037,0.0635339087997844,-0.0132051461842182,0.134460831283261,0.0652351123940175,-0.0202375921287894,0.143547148387448
"six bands (4-month split)","<1 month","window 1 only (12 months before interview)",1117,0.035849243573815,-0.0309792888284162,0.0983459210188907,0.0990919574203251,-0.0228818142705256,0.206520939309529,0.0752789487839857,-0.0650676391695089,0.197131720921663
"six bands (4-month split)","<1 month","prevalence lagged one year",4349,0.0230919452396253,-0.0173278033960054,0.0619057650150461,0.0670309769749269,-0.0109535297333274,0.138999793438612,0.0641700838677625,-0.0208944424325384,0.142146733758968
