"iso3","CountryName","year","SurveyType","SurveyId","FileName","no_extension","svkey","local_recode","boundary_file","recode_available","boundary_available","country","in_aggregate","in_analysis","in_main_sample","map_extraction_cached","recode_on_disk","boundary_on_disk","has_map_series","n_boundary_units","n_recode_units","n_region_overlap","omission_cause"
"GHA","Ghana",2022,"DHS","GH2022DHS","GHBR8CFL.ZIP","GHBR8CFL","GH8CFL","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs/GHBR8CFL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/GH2022DHS.rds",TRUE,TRUE,"Ghana",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"GIN","Guinea",2005,"DHS","GN2005DHS","GNBR52FL.zip","GNBR52FL","GN52FL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/GNBR52FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/GN2005DHS.rds",TRUE,TRUE,"Guinea",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"GIN","Guinea",2012,"DHS","GN2012DHS","GNBR62FL.ZIP","GNBR62FL","GN62FL","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs/GNBR62FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/GN2012DHS.rds",TRUE,TRUE,"Guinea",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"GIN","Guinea",2018,"DHS","GN2018DHS","GNBR71FL.ZIP","GNBR71FL","GN71FL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/GNBR71FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/GN2018DHS.rds",TRUE,TRUE,"Guinea",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"GMB","Gambia",2013,"DHS","GM2013DHS","GMBR61FL.ZIP","GMBR61FL","GM61FL","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs/GMBR61FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/GM2013DHS.rds",TRUE,TRUE,"Gambia",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"GMB","Gambia",2019,"DHS","GM2019DHS","GMBR81FL.ZIP","GMBR81FL","GM81FL","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs/GMBR81FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/GM2019DHS.rds",TRUE,TRUE,"Gambia",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"KEN","Kenya",2003,"DHS","KE2003DHS","KEBR42FL.ZIP","KEBR42FL","KE42FL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/KEBR42FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/KE2003DHS.rds",TRUE,TRUE,"Kenya",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"KEN","Kenya",2008,"DHS","KE2008DHS","KEBR52FL.ZIP","KEBR52FL","KE52FL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/KEBR52FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/KE2008DHS.rds",TRUE,TRUE,"Kenya",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"KEN","Kenya",2014,"DHS","KE2014DHS","KEBR72FL.ZIP","KEBR72FL","KE72FL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/KEBR72FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/KE2014DHS.rds",TRUE,TRUE,"Kenya",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"KEN","Kenya",2022,"DHS","KE2022DHS","KEBR8CFL.ZIP","KEBR8CFL","KE8CFL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/KEBR8CFL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/KE2022DHS.rds",TRUE,TRUE,"Kenya",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"LBR","Liberia",2007,"DHS","LB2007DHS","LBBR51FL.ZIP","LBBR51FL","LB51FL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/LBBR51FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/LB2007DHS.rds",TRUE,TRUE,"Liberia",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"LBR","Liberia",2009,"MIS","LB2009MIS","LBBR5AFL.ZIP","LBBR5AFL","LB5AFL","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs/LBBR5AFL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/LB2009MIS.rds",TRUE,TRUE,"Liberia",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"LBR","Liberia",2013,"DHS","LB2013DHS","LBBR6AFL.ZIP","LBBR6AFL","LB6AFL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/LBBR6AFL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/LB2013DHS.rds",TRUE,TRUE,"Liberia",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"LBR","Liberia",2019,"DHS","LB2019DHS","LBBR7AFL.ZIP","LBBR7AFL","LB7AFL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/LBBR7AFL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/LB2019DHS.rds",TRUE,TRUE,"Liberia",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
"LSO","Lesotho",2004,"DHS","LS2004DHS","LSBR41FL.zip","LSBR41FL","LS41FL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/LSBR41FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/LS2004DHS.rds",TRUE,TRUE,"Lesotho",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,10,10,9,"no_map_series"
"LSO","Lesotho",2009,"DHS","LS2009DHS","LSBR61FL.ZIP","LSBR61FL","LS61FL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/LSBR61FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/LS2009DHS.rds",TRUE,TRUE,"Lesotho",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,10,10,9,"no_map_series"
"LSO","Lesotho",2014,"DHS","LS2014DHS","LSBR71FL.ZIP","LSBR71FL","LS71FL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/LSBR71FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/LS2014DHS.rds",TRUE,TRUE,"Lesotho",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,10,10,9,"no_map_series"
"LSO","Lesotho",2023,"DHS","LS2023DHS","LSBR81FL.ZIP","LSBR81FL","LS81FL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/LSBR81FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/LS2023DHS.rds",TRUE,TRUE,"Lesotho",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,10,10,10,"no_map_series"
"MDG","Madagascar",2004,"DHS","MD2004DHS","MDBR42FL.ZIP","MDBR42FL","MD42FL","/Users/jameswatson/.rdhs_cache/datasets_reformatted/MDBR42FL.rds","/Users/jameswatson/Documents/Claude Projects/MIS:DHS malaria prevalence/data/dhs_boundaries/MD2004DHS.rds",TRUE,TRUE,"Madagascar",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA
