"grouping","age_group","pfpr","hr","lo","hi"
"six bands (4-month split)","<1 month",17,1.04099463773532,0.985305065823582,1.09983179157604
"six bands (4-month split)","<1 month",18,1.0440710135944,0.986004779562195,1.10555679244481
"six bands (4-month split)","<1 month",19,1.04720607028067,0.986929190129014,1.11116437187285
"six bands (4-month split)","<1 month",20,1.05039216384908,0.988067590329673,1.11664799926027
"six bands (4-month split)","<1 month",21,1.05361996270203,0.989405795922376,1.12200174122622
"six bands (4-month split)","<1 month",22,1.05687850858456,0.990926418295918,1.12722010563489
"six bands (4-month split)","<1 month",23,1.06015530321606,0.992609202316588,1.13229785127327
"six bands (4-month split)","<1 month",24,1.06343641952752,0.994431421177852,1.1372297720018
"six bands (4-month split)","<1 month",25,1.06670663629308,0.996368318004908,1.14201046676204
"six bands (4-month split)","<1 month",26,1.06994959468149,0.998393581640824,1.14663410924342
"six bands (4-month split)","<1 month",27,1.0731479750097,1.00047984194331,1.15109423297374
"six bands (4-month split)","<1 month",28,1.07628369168251,1.00259916818059,1.15538354882525
"six bands (4-month split)","<1 month",29,1.07933810400442,1.00472355316212,1.15949381209329
"six bands (4-month split)","<1 month",30,1.08229224024412,1.00682536584068,1.163415755139
"six bands (4-month split)","<1 month",31,1.08512703202525,1.0088777564484,1.16713909896987
"six bands (4-month split)","<1 month",32,1.08782355583392,1.01085500091144,1.17065265301173
"six bands (4-month split)","<1 month",33,1.09036327817729,1.01273277514055,1.1739445069629
"six bands (4-month split)","<1 month",34,1.09272830071434,1.01448835459535,1.1770023123216
"six bands (4-month split)","<1 month",35,1.09490160152284,1.01610073979852,1.17981364451619
"six bands (4-month split)","<1 month",36,1.09686726858555,1.01755071375404,1.1823664301268
"six bands (4-month split)","<1 month",37,1.09861072155429,1.01882084196102,1.18464941803792
"six bands (4-month split)","<1 month",38,1.1001189179499,1.01989542951155,1.18665266909851
"six bands (4-month split)","<1 month",39,1.10138054009608,1.02076045223228,1.18836803625137
"six bands (4-month split)","<1 month",40,1.10238614444102,1.02140346667554,1.18978958962315
"six bands (4-month split)","<1 month",41,1.1031282016531,1.02181345572744,1.1909138820413
"six bands (4-month split)","<1 month",42,1.10360126786009,1.02198083749763,1.19174030836485
"six bands (4-month split)","<1 month",43,1.10380211608176,1.02189749984138,1.19227134977401
"six bands (4-month split)","<1 month",44,1.10372978424923,1.02155683474798,1.19251263875043
