"subset","split","region","era","prevalence","af","lo","hi"
"2013 onwards","era","Both regions","2013 onwards",29.1081700932012,0.344497401894998,0.229321370402003,0.44772332902019
"2013 onwards","era","Both regions","2013 onwards",30.3541943390034,0.351999390004791,0.237603125066155,0.45375641544488
"2013 onwards","era","Both regions","2013 onwards",31.6002185848056,0.358869091429916,0.244660934543186,0.46038754993637
"2013 onwards","era","Both regions","2013 onwards",32.8462428306078,0.36517401738741,0.251708056409059,0.465309279108092
"2013 onwards","era","Both regions","2013 onwards",34.09226707641,0.370982534310606,0.258898997829293,0.470056213760516
"2013 onwards","era","Both regions","2013 onwards",35.3382913222123,0.376364980444489,0.264475754429317,0.475037752966362
"2013 onwards","era","Both regions","2013 onwards",36.5843155680145,0.381392872035492,0.271555666749381,0.480094449030881
"2013 onwards","era","Both regions","2013 onwards",37.8303398138167,0.386137584915503,0.277566568583106,0.485855305285765
"2013 onwards","era","Both regions","2013 onwards",39.0763640596189,0.390668296179383,0.281302727243712,0.489010089398184
"2013 onwards","era","Both regions","2013 onwards",40.3223883054211,0.395050996119534,0.285151462561942,0.493761880428827
"2013 onwards","era","Both regions","2013 onwards",41.5684125512233,0.39934581008399,0.290267560116988,0.498069662984464
"2013 onwards","era","Both regions","2013 onwards",42.8144367970255,0.403603787436458,0.295500520234019,0.50307808696844
"2013 onwards","era","Both regions","2013 onwards",44.0604610428277,0.407863542268626,0.29908767269366,0.507542915998391
"2013 onwards","era","Both regions","2013 onwards",45.3064852886299,0.41215325104719,0.304144400880568,0.511512219116351
"2013 onwards","era","Both regions","2013 onwards",46.5525095344321,0.416490676172931,0.307443711737712,0.517078311456413
"2013 onwards","era","Both regions","2013 onwards",47.7985337802343,0.42088660696101,0.312260634178375,0.521280616295564
"2013 onwards","era","Both regions","2013 onwards",49.0445580260365,0.425343648037015,0.316415874819689,0.526751535339004
"2013 onwards","era","Both regions","2013 onwards",50.2905822718387,0.429855310482502,0.320473447209388,0.532392164298091
"West","region","West","All years",2.02022926144962,0.0115936580852733,0.00149648025879529,0.0262159930890923
"West","region","West","All years",3.90673101909314,0.0325570623974652,0.00431796257325333,0.0728409405600519
"West","region","West","All years",5.79323277673667,0.0528798845399843,0.00730088271864977,0.116829709242983
"West","region","West","All years",7.6797345343802,0.072494687843974,0.0108058817681827,0.158094117222698
"West","region","West","All years",9.56623629202372,0.0913184365371568,0.0142734561461082,0.195646944322864
"West","region","West","All years",11.4527380496672,0.109263496519994,0.0192298896194639,0.22942754654898
"West","region","West","All years",13.3392398073108,0.126235468400239,0.0243280413158633,0.257952523032055
"West","region","West","All years",15.2257415649543,0.14213760123949,0.0296220768213942,0.286105453382733
"West","region","West","All years",17.1122433225978,0.156859451612041,0.0348616478759995,0.30845400899273
"West","region","West","All years",18.9987450802413,0.170292374236559,0.0404493914387438,0.326730595603924
"West","region","West","All years",20.8852468378849,0.182328285896036,0.0464239281950499,0.3430513012667
"West","region","West","All years",22.7717485955284,0.19289453392846,0.05302461003002,0.3565710565042
"West","region","West","All years",24.6582503531719,0.20198127629545,0.0591434076054726,0.366707029359202
"West","region","West","All years",26.5447521108155,0.209644233036336,0.0640550241636771,0.375262639374133
"West","region","West","All years",28.431253868459,0.215996057738384,0.0692628347898133,0.38189672806589
"West","region","West","All years",30.3177556261025,0.221197398420078,0.0737736135622461,0.384901096950849
"West","region","West","All years",32.204257383746,0.225457225649996,0.0779221360357214,0.386397228296753
"West","region","West","All years",34.0907591413896,0.229024813569935,0.0816274042598439,0.388634177373586
"West","region","West","All years",35.9772608990331,0.23217966588747,0.0839600937415911,0.387534094816834
"West","region","West","All years",37.8637626566766,0.235219649352242,0.0856110189264022,0.387753798738389
"West","region","West","All years",39.7502644143201,0.238436787826529,0.0898354996556984,0.388182646433034
"West","region","West","All years",41.6367661719637,0.242089392117848,0.0934824261269491,0.390307224125907
"West","region","West","All years",43.5232679296072,0.246372335651295,0.09725810012519,0.393222230351062
"West","region","West","All years",45.4097696872507,0.251399548846479,0.101478057908213,0.398124471550995
"West","region","West","All years",47.2962714448942,0.257215280233368,0.107488266167085,0.405406234587659
"West","region","West","All years",49.1827732025378,0.263807559688341,0.114783646488933,0.411724188054968
"West","region","West","All years",51.0692749601813,0.271096867191117,0.121469324168276,0.419958048922792
"West","region","West","All years",52.9557767178248,0.278942321419034,0.129616212843655,0.427570106113737
