"subset","split","region","era","prevalence","af","lo","hi"
"Central & East, before 2013","era x region","Central & East","before 2013",33.2549959289892,0.24111931880069,0.0953789401121514,0.36973155666302
"Central & East, before 2013","era x region","Central & East","before 2013",35.0106548004601,0.245851825595198,0.1003746496633,0.374143778518371
"Central & East, before 2013","era x region","Central & East","before 2013",36.766313671931,0.249814552877905,0.103956068151472,0.378015558364266
"Central & East, before 2013","era x region","Central & East","before 2013",38.521972543402,0.252999321078045,0.107476937496257,0.381592846017456
"Central & East, before 2013","era x region","Central & East","before 2013",40.2776314148729,0.255402105818143,0.108594219325219,0.384908025444566
"Central & East, before 2013","era x region","Central & East","before 2013",42.0332902863439,0.257025048104216,0.108489525150263,0.387829618783821
"Central & East, before 2013","era x region","Central & East","before 2013",43.7889491578148,0.257877646047161,0.108711303765,0.388619242715438
"Central & East, before 2013","era x region","Central & East","before 2013",45.5446080292857,0.257980746354196,0.107426548903696,0.389377935587979
"Central & East, before 2013","era x region","Central & East","before 2013",47.3002669007567,0.257358181001608,0.105783128161689,0.387778510960626
"Central & East, before 2013","era x region","Central & East","before 2013",49.0559257722276,0.256040217771169,0.103550902721276,0.387757560865003
"Central & East, before 2013","era x region","Central & East","before 2013",50.8115846436985,0.25407695073795,0.0994047377448757,0.388347700831981
"Central & East, before 2013","era x region","Central & East","before 2013",52.5672435151695,0.251511361012769,0.0936862301549228,0.386773044184348
"Central & East, before 2013","era x region","Central & East","before 2013",54.3229023866404,0.248394846152843,0.0876133103881649,0.38498306467526
"Central & East, before 2013","era x region","Central & East","before 2013",56.0785612581114,0.24478569649999,0.0818070796962845,0.383838281175792
"Central & East, before 2013","era x region","Central & East","before 2013",57.8342201295823,0.24075622087666,0.0770726091088229,0.382835015374422
"Central & East, before 2013","era x region","Central & East","before 2013",59.5898790010532,0.236368179205532,0.0695713279169797,0.382369507954891
"Central & East, before 2013","era x region","Central & East","before 2013",61.3455378725242,0.231667225301911,0.0612701135752723,0.380621951214543
