"iso3","year","pfpr_pct","share_pn","malaria_deaths","allcause_pn","hib3_wuenic","pcv3_wuenic","rotac_wuenic","log_hiv_prev","log_gdp","log_hexp_pc","hiv_imputed"
"KEN",2019,4.64810161374769,7.79472790924248,2082.39401087041,26715.4163059527,93,93,92,-0.754457743535532,7.58090793899552,4.45021419184896,FALSE
"KEN",2020,4.83709025019264,9.87298275080054,2551.04347295591,25838.6298988425,93,92,92,-0.869303745652932,7.56406449233848,4.46120966831818,FALSE
"KEN",2021,4.93105769569647,10.6940291045692,2650.75377239761,24787.2317017075,95,94,95,-0.957901381400229,7.6311194048182,4.54544663303715,FALSE
"KEN",2022,4.88454315264881,10.5844501555528,2457.19872246508,23215.1759076118,94,93,29,-1.05385644788365,7.65423604156395,4.51288126303747,FALSE
"KEN",2023,4.65061462454929,9.14056991289195,2039.01168462119,22307.2708162906,93,91,71,-1.1291303466599,7.57177639784922,4.44216869301647,FALSE
"KEN",2024,4.54009415967545,12.3832595319437,2762.50881132626,22308.4140665883,91,89,82,-1.20981082663702,7.66550126044416,4.44216869301647,FALSE
"LBR",2000,47.6404695760135,25.4709031381366,4798.98502538132,18841.0477608702,0,0,0,-0.454536185198819,5.69872082133842,2.07122679787375,FALSE
"LBR",2001,49.4377831218782,27.2361549471136,4751.59682393687,17445.9164047326,0,0,0,-0.433540301484987,5.70532737601127,1.86611408881894,FALSE
"LBR",2002,49.6438750947653,28.2631081874217,4555.31167998211,16117.5184617856,0,0,0,-0.434966709948086,5.70223609809744,1.88642793863484,FALSE
"LBR",2003,47.9208394100722,28.2584177405213,4296.03916695228,15202.688297696,0,0,0,-0.44259209845424,5.47971998740421,1.75168312199098,FALSE
"LBR",2004,42.774599996116,32.0861737195183,4500.04404014744,14024.8696509737,0,0,0,-0.443307772276366,5.64946786276085,2.82011362797391,FALSE
"LBR",2005,42.3265645877889,33.2239250467693,4318.96062855385,12999.5496392255,0,0,0,-0.455191694367737,5.66117880167164,2.95208315209876,FALSE
"LBR",2006,39.6420137014951,32.2644983951618,4144.8441345937,12846.4545886609,0,0,0,-0.491026339942482,5.77006349608655,2.90932780417685,FALSE
"LBR",2007,36.656245844254,31.5005940636841,3979.87871368656,12634.2973267124,0,0,0,-0.532181755955798,5.92482063279621,2.7636045097939,FALSE
"LBR",2008,34.4364710706802,30.4987658558784,3792.71962406148,12435.6495013075,75,0,0,-0.594443336698432,6.11304891804414,3.26960074704286,FALSE
"LBR",2009,32.4365593585378,27.8308894958212,3420.01195079544,12288.5470524,81,0,0,-0.658449857796968,6.10565528713533,3.69436005166481,FALSE
"LBR",2010,30.1709733465493,27.0167036651459,3245.43466193076,12012.6966714954,70,0,0,-0.721536824445088,6.19899242198996,3.71049324418574,FALSE
"LBR",2011,27.6494788464211,27.4792016246566,3217.3238487233,11708.2144258385,77,0,0,-0.787083912072584,6.34227609957436,3.86252117383351,FALSE
"LBR",2012,23.8084393716677,23.8884399871914,2805.34637290043,11743.5310736264,80,0,0,-0.852854185617653,6.45891609672657,3.84314631190656,FALSE
"LBR",2013,23.8244945941456,21.452019292668,2477.19672748666,11547.6156052747,80,0,0,-0.915664746512511,6.56631311199031,3.88628153930316,FALSE
