"iso3","state","key","age_band","year","series","exposure_source","pfpr_pct","ihme_deaths","implied_person_years","age_mapping","ihme_rate_per100000","log_hr_zero_vs_current","log_hr_se","hr_zero_vs_current","hr_lower_95","hr_upper_95","attributable_fraction","af_lower_95","af_upper_95","counterfactual_deaths","attributable_deaths","attributable_deaths_lower_95","attributable_deaths_upper_95","zero_below_observed_support","current_pfpr_outside_central95","current_pfpr_outside_observed_support","negative_attributable_estimate"
"NGA","Borno","borno","1-5",2024,"map_full","MAP",18.9105232538524,2271.38747132121,77193.5402586685,"direct age match",2942.45796178022,-0.101297408216827,0.0328607854677145,0.903664235747643,0.84729653289292,0.963781886586066,0.0963357642523573,0.0362181134139341,0.15270346710708,2052.57162335825,218.815847962958,82.2653690433007,346.848742014332,TRUE,FALSE,FALSE,FALSE
"NGA","Borno","borno","6-11",2024,"map_full","MAP",18.9105232538524,1630.57403332069,89524.7228552426,"direct age match",1821.36730650063,-0.279033017075152,0.0452298639505885,0.756514924892565,0.692336236539439,0.826642896009389,0.243485075107435,0.173357103990611,0.307663763460561,1233.55359234937,397.02044097132,282.671592258764,501.668543692508,TRUE,FALSE,FALSE,FALSE
"NGA","Borno","borno","12-23",2024,"map_full","MAP",18.9105232538524,1667.84632157356,171965.5349658,"IHME 1 to 4 minus 2 to 4",969.872435139552,-0.609461656338476,0.0635874672102496,0.543643457320297,0.479940523529773,0.615801738335252,0.456356542679703,0.384198261664748,0.520059476470227,906.71374053919,761.132581034371,640.783657472507,867.379284830339,TRUE,FALSE,FALSE,FALSE
"NGA","Borno","borno","24-35",2024,"map_full","MAP",18.9105232538524,1077.63089813169,166429.155342318,"IHME 2-4 rate shared; deaths and person-time divided equally",647.501272187059,-0.775924117543124,0.0722707817031807,0.460278233211134,0.399486682527709,0.53032068710643,0.539721766788866,0.46967931289357,0.600513317472291,496.01004584578,581.620852285906,506.14093978737,647.131705647703,TRUE,FALSE,FALSE,FALSE
"NGA","Borno","borno","36-47",2024,"map_full","MAP",18.9105232538524,1077.63089813169,166429.155342318,"IHME 2-4 rate shared; deaths and person-time divided equally",647.501272187059,-0.665763845893751,0.075859610623581,0.513880851975194,0.442883429355758,0.596259675849435,0.486119148024806,0.403740324150565,0.557116570644242,553.773884046704,523.857014084982,435.083048126351,600.366030387399,TRUE,FALSE,FALSE,FALSE
"NGA","Borno","borno","48-59",2024,"map_full","MAP",18.9105232538524,1077.63089813169,166429.155342318,"IHME 2-4 rate shared; deaths and person-time divided equally",647.501272187059,-0.663285724401438,0.0876784002342961,0.515155890356459,0.433815743637592,0.611747257357857,0.484844109643541,0.388252742642143,0.566184256362408,555.147904802659,522.482993329026,418.393151755542,610.137648691842,TRUE,FALSE,FALSE,FALSE
"NGA","Cross River","crossriver","<1",2024,"map_full","MAP",31.0693055166162,1171.17530797148,4491.63203705818,"0-27 days mapped to model <1 completed month",26074.6049166251,-0.0558367208561669,0.0297983689362391,0.945693535315725,0.892042480219889,1.00257138260669,0.0543064646842749,-0.00257138260668954,0.107957519780111,1107.57291747003,63.6023905014479,-3.01153981630213,126.437181476308,TRUE,FALSE,FALSE,FALSE
"NGA","Cross River","crossriver","1-5",2024,"map_full","MAP",31.0693055166162,706.283188280828,24302.7786488932,"direct age match",2906.18286281019,-0.153322221610111,0.0420801995623887,0.85785325841438,0.789939109753972,0.931606251526615,0.14214674158562,0.0683937484733845,0.210060890246028,605.887334430005,100.395853850823,48.305354730259,148.362475296074,TRUE,FALSE,FALSE,FALSE
"NGA","Cross River","crossriver","6-11",2024,"map_full","MAP",31.0693055166162,552.591302928032,28772.9868976828,"direct age match",1920.52116414974,-0.405397239003348,0.0533734773298893,0.666711914271984,0.600490021509654,0.740236741178001,0.333288085728016,0.259763258821999,0.399509978490346,368.419205385198,184.172097542834,143.54291764528,220.76573954673,TRUE,FALSE,FALSE,FALSE
"NGA","Cross River","crossriver","12-23",2024,"map_full","MAP",31.0693055166162,519.630531586347,55750.4857387361,"IHME 1 to 4 minus 2 to 4",932.064581502474,-0.745109375879226,0.066729996700701,0.474682378297997,0.416486942081137,0.541009423106349,0.525317621702003,0.458990576893651,0.583513057918863,246.65945656966,272.971075016687,238.505517464372,303.211200473954,TRUE,FALSE,FALSE,FALSE
