"group","records","observed_deaths","fitted_deaths","age_band","grouping","observed_probability","fitted_probability","residual_deaths"
"RW61FL",9095,247,244.839793663905,"<1","survey",0.0271577789994502,0.0269202631845965,2.1602063360948
"RW70FL",7834,156,169.253060921524,"<1","survey",0.0199131988766913,0.0216049350167889,-13.2530609215239
"RW81FL",8121,155,166.552168650161,"<1","survey",0.0190863194187908,0.0205088251016084,-11.5521686501614
"SN4AFL",11017,368,361.406847206212,"<1","survey",0.0334029227557411,0.0328044701103942,6.59315279378751
"SN5AFL",15604,560,534.574912800556,"<1","survey",0.0358882337862087,0.034258838297908,25.4250871994442
"SN61FL",12367,372,362.586707395072,"<1","survey",0.0300800517506267,0.0293188895767019,9.41329260492802
"SN6DFL",6910,164,175.499714296192,"<1","survey",0.0237337192474674,0.0253979326043694,-11.4997142961924
"SN71FL",6887,149,167.51701123394,"<1","survey",0.0216349644257296,0.0243236548909452,-18.5170112339395
"SN7AFL",7013,168,177.084588902169,"<1","survey",0.0239555111934978,0.0252509038788206,-9.08458890216872
"SN7IFL",6751,160,167.573149434555,"<1","survey",0.0237001925640646,0.0248219744385358,-7.57314943455489
"SN7ZFL",12197,348,330.50991714864,"<1","survey",0.0285316061326556,0.0270976401696024,17.4900828513598
"SN81FL",6729,154,161.62379653465,"<1","survey",0.0228860157527121,0.0240189919058776,-7.62379653465041
"SN8BFL",6097,139,145.106737572852,"<1","survey",0.0227980974249631,0.0237996945338448,-6.10673757285184
"SN8SFL",10531,257,248.258176646286,"<1","survey",0.0244041401576299,0.023574036335228,8.74182335371378
"SL51FL",5659,212,210.87181609798,"<1","survey",0.037462449195971,0.0372630881954374,1.12818390201969
