survey,country,variable,national,n
MC_GMB2018,GMB,urban_pct,63.5719571887721,6907
MC_GMB2018,GMB,facility_delivery_pct,81.3015368588252,3792
MC_GMB2018,GMB,short_birth_interval_pct,13.8850224939253,7902
MC_GMB2018,GMB,improved_water_pct,91.3115804291139,7403
MC_GMB2018,GMB,improved_sanitation_pct,64.4135078410985,7403
MC_GMB2018,GMB,electricity_pct,62.7840876122669,7401
MC_GMB2018,GMB,dtp3_pct,95.6677728252279,1853
MC_GMB2018,GMB,measles_pct,88.2095630619845,1859
MC_GMB2018,GMB,stunting_pct,18.9672085819374,9719
MC_GMB2018,GMB,wasting_pct,6.17859165156401,9713
MC_GNB2014,GNB,mean_maternal_age_first_birth,19.1288745259327,5477
MC_GNB2014,GNB,mean_maternal_education_years,2.54331791097135,5477
MC_GNB2014,GNB,mean_wealth_quintile,2.83979761788928,5477
MC_GNB2014,GNB,urban_pct,39.0124371563569,5477
MC_GNB2014,GNB,facility_delivery_pct,43.4206218273424,3196
MC_GNB2014,GNB,short_birth_interval_pct,10.526496038989,5815
MC_GNB2014,GNB,improved_water_pct,76.0801497210921,6601
MC_GNB2014,GNB,improved_sanitation_pct,25.5864973706454,6601
MC_GNB2014,GNB,electricity_pct,17.1787407826389,6601
MC_GNB2014,GNB,dtp3_pct,87.6526180708506,1499
MC_GNB2014,GNB,measles_pct,84.0060080792387,1535
MC_GNB2014,GNB,stunting_pct,27.6132500996091,7445
MC_GNB2014,GNB,wasting_pct,5.96294262411553,7515
MC_GNB2018,GNB,mean_maternal_age_first_birth,19.6106105538296,5412
MC_GNB2018,GNB,mean_maternal_education_years,5.30036021551729,2616
MC_GNB2018,GNB,mean_wealth_quintile,2.83808747125776,5412
MC_GNB2018,GNB,urban_pct,28.2022210178144,5412
MC_GNB2018,GNB,facility_delivery_pct,50.2897754844823,2930
MC_GNB2018,GNB,short_birth_interval_pct,8.62308065715705,5430
MC_GNB2018,GNB,improved_water_pct,67.1223719125691,7379
MC_GNB2018,GNB,improved_sanitation_pct,26.0430132057245,7379
MC_GNB2018,GNB,electricity_pct,17.9504648457224,7379
MC_GNB2018,GNB,dtp3_pct,89.8984335544887,1318
MC_GNB2018,GNB,measles_pct,79.0214052242381,1192
MC_GNB2018,GNB,stunting_pct,27.6904023767447,7383
MC_GNB2018,GNB,wasting_pct,5.10550731632971,7418
MC_KEN2013BUN,KEN,mean_maternal_age_first_birth,19.5670673855509,569
MC_KEN2013BUN,KEN,mean_maternal_education_years,8.52407562684564,569
MC_KEN2013BUN,KEN,mean_wealth_quintile,3.0466115708797,569
MC_KEN2013BUN,KEN,urban_pct,44.221611533017,569
MC_KEN2013BUN,KEN,facility_delivery_pct,47.0232862401126,297
MC_KEN2013BUN,KEN,short_birth_interval_pct,21.1251487601087,613
MC_KEN2013BUN,KEN,improved_water_pct,88.5189088195894,1246
MC_KEN2013BUN,KEN,improved_sanitation_pct,67.7196352094395,1246
MC_KEN2013BUN,KEN,electricity_pct,14.8047466804874,1246
MC_KEN2013BUN,KEN,dtp3_pct,89.748868589217,148
MC_KEN2013BUN,KEN,measles_pct,99.2490928513667,143
MC_KEN2013BUN,KEN,stunting_pct,30.5359848925954,777
MC_KEN2013BUN,KEN,wasting_pct,5.78508794052861,775
MC_KEN2013KAK,KEN,mean_maternal_age_first_birth,19.3827041869434,497
MC_KEN2013KAK,KEN,mean_maternal_education_years,7.79645501080161,497
MC_KEN2013KAK,KEN,mean_wealth_quintile,2.83991079465339,497
MC_KEN2013KAK,KEN,urban_pct,53.7382685216853,497
MC_KEN2013KAK,KEN,facility_delivery_pct,52.0386821074134,291
MC_KEN2013KAK,KEN,short_birth_interval_pct,23.6554681204303,565
MC_KEN2013KAK,KEN,improved_water_pct,81.4213825593305,1221
MC_KEN2013KAK,KEN,improved_sanitation_pct,69.1522228279148,1219
MC_KEN2013KAK,KEN,electricity_pct,17.5944232123251,1221
MC_KEN2013KAK,KEN,dtp3_pct,95.5935272286278,147
MC_KEN2013KAK,KEN,measles_pct,95.8284115262348,135
MC_KEN2013KAK,KEN,stunting_pct,36.8158558453018,727
MC_KEN2013KAK,KEN,wasting_pct,5.57173893503612,731
MC_KEN2009MOM,KEN,mean_maternal_age_first_birth,19.3937506415498,376
MC_KEN2009MOM,KEN,mean_maternal_education_years,7.72861860222412,376
MC_KEN2009MOM,KEN,mean_wealth_quintile,2.99487322975804,376
MC_KEN2009MOM,KEN,urban_pct,100,376
MC_KEN2009MOM,KEN,facility_delivery_pct,62.3290296308717,210
MC_KEN2009MOM,KEN,short_birth_interval_pct,21.0951341518873,331
MC_KEN2009MOM,KEN,improved_water_pct,99.1111385827722,1016
MC_KEN2009MOM,KEN,improved_sanitation_pct,71.7180856152549,1015
MC_KEN2009MOM,KEN,electricity_pct,43.4110002751969,1016
MC_KEN2009MOM,KEN,dtp3_pct,83.9344309451749,97
MC_KEN2009MOM,KEN,measles_pct,91.6173028993637,97
MC_KEN2009MOM,KEN,stunting_pct,23.4751472105225,442
MC_KEN2009MOM,KEN,wasting_pct,6.13424263693241,444
MC_KEN2011NYA,KEN,mean_maternal_age_first_birth,18.1471101705336,3397
MC_KEN2011NYA,KEN,mean_maternal_education_years,8.03111926800905,3397
MC_KEN2011NYA,KEN,mean_wealth_quintile,2.96916136783297,3397
MC_KEN2011NYA,KEN,urban_pct,14.2521364137948,3397
MC_KEN2011NYA,KEN,facility_delivery_pct,52.9540155156994,1812
MC_KEN2011NYA,KEN,short_birth_interval_pct,26.054567282816,3835
MC_KEN2011NYA,KEN,improved_water_pct,55.4906765599815,6825
MC_KEN2011NYA,KEN,improved_sanitation_pct,33.8101414971556,6817
MC_KEN2011NYA,KEN,electricity_pct,11.1213025228827,6823
MC_KEN2011NYA,KEN,dtp3_pct,93.3743492917461,789
MC_KEN2011NYA,KEN,measles_pct,96.2057625048205,721
MC_KEN2011NYA,KEN,stunting_pct,32.1584272491982,4895
MC_KEN2011NYA,KEN,wasting_pct,3.93190567099167,4903
MC_KEN2013TUR,KEN,mean_maternal_age_first_birth,19.9194055148431,636
MC_KEN2013TUR,KEN,mean_maternal_education_years,2.4375198584995,638
MC_KEN2013TUR,KEN,mean_wealth_quintile,2.97992743306726,638
MC_KEN2013TUR,KEN,urban_pct,53.2103843901186,638
MC_KEN2013TUR,KEN,facility_delivery_pct,34.2358076301766,410
MC_KEN2013TUR,KEN,short_birth_interval_pct,22.9568200697396,811
MC_KEN2013TUR,KEN,improved_water_pct,71.5845553281666,1277
MC_KEN2013TUR,KEN,improved_sanitation_pct,24.7002895351134,1275
MC_KEN2013TUR,KEN,electricity_pct,10.8073806605452,1277
