survey,iso3,year,round,subnational,n_files,has_bh,haz_var,whz_var,region_var,n_regions,region_labels,edu_var,wealth_var,urban_var,first_birth_var,delivery_var,water_var,toilet_var,electricity_var,dtp_vars,dtp3_var,measles_var,raw_anthro,bh_dob_source,bh_has_core,births,deaths,deaths_age_known,deaths_under5,births_last5y,deaths_last5y_under5,interview_year,alive_codes
STP_2014_MICS5_v01_M,STP,2014,5,FALSE,8,TRUE,HAP,WHP,HH7,4,RegiÃ£o Centro Este | RegiÃ£o Norte Oeste | RegiÃ£o Sul Este | RegiÃ£o Autonoma de Principe,welevel,windex5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,11,IM3D3D,IM3MD,TRUE,cmc,TRUE,7492,447,447,393,1960,80,2014,"1,2"
STP_2019_MICS6_v01_M,STP,2019,6,FALSE,8,TRUE,HAZ,WHZ,HH7,5,DISTRITO DE ÁGUA GRANDE | DISTRITO DE MÉ-ZÓCHI | REGIÃO NORTE OESTE | REGIÃO SUL ESTE | REGIÃO AUTÓNOMA DO PRÍNCIPE,welevel,windex5,HH6,WDOBFC,MN20,WS1,WS11,HC8,11,IM6PENTA3D,IM6MD,FALSE,cmc,TRUE,7477,330,330,263,1766,24,2019,"1,2"
SWZ_2000_MICS2_v01_M,SWZ,2000,2,FALSE,4,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWZ_2010_MICS4_v01_M,SWZ,2010,4,FALSE,7,TRUE,HAP,WHP,HH7,4,Hhohho | Manzini | Shiselweni | Lubombo,welevel,windex5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,11,IM3D3D,IM3M1D,TRUE,cmc,TRUE,9805,921,921,800,2519,216,2010,"1,2"
SWZ_2014_MICS5_v01_M,SWZ,2014,5,FALSE,6,TRUE,HAP,WHP,HH7,4,Hhohho | Manzini | Shiselweni | Lubombo,welevel,windex5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,11,IM3D3D,IM3M1D,TRUE,cmc,TRUE,9830,828,828,708,2380,128,2014,"1,2"
SWZ_2021_MICS6_v01_M,SWZ,2021,6,FALSE,7,TRUE,HAP,WHP,HH7,4,HHOHHO | MANZINI | SHISELWENI | LUBOMBO,welevel,windex5,HH6,WDOBFC,MN20,WS1,WS11,HC8,15,IM6PENTA3D,IM6M1D,TRUE,cmc,TRUE,7860,494,494,429,2020,73,2021,"1,2"
TCD_2000_MICS2_v01_M,TCD,2000,2,FALSE,4,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD_2010_MICS4_v01_M,TCD,2010,4,FALSE,5,FALSE,HAP,WHP,HH7,20,Bhata | BET | Chari Baguirmi | Guéra | Hadjer Lamis | Kanem | Lac | Logone Occidental | Logone Oriental | Mandoul | Mayo Kebbi Est | Mayo Kebbi Ouest | Moyen Chari | Ouaddai | Salamat | Tandjilé | Wad Fira | Ndjaména | Barh El Gazal | Sila,welevel,windex5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,20,IM3D3D,IM16,TRUE,,,,,,,,,,
TCD_2019_MICS6_v01_M,TCD,2019,6,FALSE,9,TRUE,HAP,WHP,HH7,22,Batha | Borkou | Chari Baguirmi | Guera | Hadjer Lamis | Kanem | Lac | Logone Occidental | Logone Oriental | Mandoul | Mayo Kebbi Est | Mayo Kebbi Ouest | Moyen Chari | Ouaddaï | Salamat | Tandjile | Wadi Fira | Ndjamena | Barh El Gazal | Ennedi Ouest | Sila | Ennedi Est,welevel,windex5,HH6,WDOBFC,MN20,WS1,WS11,HC8,11,IM6PENTA3D,IM6MD,TRUE,cmc,TRUE,74153,8066,8066,7298,22675,1927,2019,"1,2"
TGO_2000_MICS2_v01_M,TGO,2000,2,FALSE,4,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO_2006_MICS3_v01_M,TGO,2006,3,FALSE,5,FALSE,hap,whz,hh7,6,Lomé commune | Maritime (sans Lomé commune) | Plateaux | Centrale | Kara | Savanes,wm11,wlthind5,hh6,,mn8,ws1,ws7,hc9a,20,im4cd,im6d,TRUE,,,,,,,,,,
TGO_2010_MICS4_v01_M,TGO,2010,4,FALSE,7,FALSE,HAP,WHP,HH7,6,Maritime | Plateaux | Centrale | Kara | Savanes | Lomé,welevel,windex5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,12,IM3D3D,IM16,TRUE,,,,,,,,,,
TGO_2017_MICS6_v01_M,TGO,2017,6,FALSE,9,TRUE,HAP,WHP,HH7,7,Maritime | Plateaux | Centrale | Kara | Savanes | Lomé Commune | Golfe Urbain,welevel,windex5,HH6,WDOBFC,MN20,WS1,WS11,HC8,11,IM6PENTA3D,IM6MD,TRUE,cmc,TRUE,18511,1766,1766,1527,4940,267,2017,"1,2"
ZMB_1999_MICS2_v01_M,ZMB,1999,2,FALSE,4,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZWE_2009_MICS3_v01_M,ZWE,2009,3,FALSE,6,TRUE,hap,whp,hh7,10,bulawayo | manicaland | mashonaland central | mashonaland east | mashonaland west | matabeleland north | matabeleland south | midlands | masvingo | harare,wm11,wlthind5,hh6,,mn8,ws1,ws7,hc8,20,im4cd,im6d,TRUE,cmc,TRUE,23716,1916,1912,1665,6793,500,2009,"1,2"
ZWE_2014_MICS5_v01_M,ZWE,2014,5,FALSE,8,TRUE,HAP,WHP,HH7,10,Bulawayo | Manicaland | Mashonaland Central | Mashonaland East | Mashonaland West | Matabeleland North | Matabeleland South | Midlands | Masvingo | Harare,welevel,windex5,HH6,WDOBFC,MN18,WS1,WS8,HC8A,15,IM3D3D,IM3MD,TRUE,cmc,TRUE,32285,2606,2606,2285,9521,571,2014,"1,2"
ZWE_2019_MICS6_v01_M,ZWE,2019,6,FALSE,9,TRUE,HAP,WHP,HH7,10,Bulawayo | Manicaland | Mashonaland Central | Mashonaland East | Mashonaland West | Matabeleland North | Matabeleland South | Midlands | Masvingo | Harare,welevel,windex5,HH6,WDOBFC,MN20,WS1,WS11,HC8,15,IM6PENTA3D,IM6M1D,TRUE,cmc,TRUE,22844,1796,1796,1609,5747,285,2019,"1,2"
