"iso3","source_age","deaths","rate_per100000","implied_person_years","ihme_deaths_lower","ihme_deaths_upper","ihme_rate_lower","ihme_rate_upper"
"COD","0 to 6 days (early neonatal)",54777.7651766356,96315.1988275883,56873.4382978247,51912.143451911,57828.23895335,91276.604695617,101678.816481123
"COD","7 to 27 days (late neonatal)",10665.0028501862,6345.50454530244,168071.786475695,9908.20877514484,11493.523361912,5895.22428654478,6838.46087610552
"COD","1 to 5 months",42905.6492648664,3507.43448281961,1223277.28358235,39888.5266241353,46390.8631615145,3260.7919038047,3792.34240544871
"COD","6-11 months",43177.5078074106,3072.20964226323,1405421.92217074,40005.7381041207,46311.5942747586,2846.52868103339,3295.20932783149
"COD","12 to 23 months",31044.7637151542,1128.01099448412,2752168.53975364,28763.1076707689,33213.9164533152,1045.10705849954,1206.82712463127
"COD","2 to 4",65640.4535416074,843.62241945785,7780785.814558,60948.5780464369,70796.7776705014,783.32162713438,909.89238565132
"COG","0 to 6 days (early neonatal)",2639.65102331663,85096.0448071569,3101.9667592055,2471.63341598626,2796.25725534564,79679.5584172962,90144.6557106831
"COG","7 to 27 days (late neonatal)",534.070009408613,5795.80526813504,9214.76800376463,493.996751418143,578.130814122404,5360.92445535605,6273.95951679102
"COG","1 to 5 months",1655.94024038965,2449.82257539423,67594.2926243618,1535.28944390308,1794.11305126499,2271.32999591411,2654.23748308948
"COG","6-11 months",1360.8756101146,1726.60799139026,78817.8681496098,1258.61463725196,1475.07923807861,1596.86460291326,1871.5035977358
"COG","12 to 23 months",1074.30292778261,675.99116992975,158922.627331693,984.827104726902,1161.33342602025,619.68966991179,730.75398105293
"COG","2 to 4",1882.26599761028,403.33257228584,466678.400641624,1740.9851046144,2028.67566640774,373.05885642463,434.7052838997
"COM","0 to 6 days (early neonatal)",369.442434034081,91911.4299820424,401.95483206633,349.244945488006,388.77899109289,86886.6145214979,96722.0593155437
"COM","7 to 27 days (late neonatal)",107.898911817395,9055.69930850196,1191.50281100979,99.135733768295,116.922452255201,8320.22659554434,9813.02361814068
"COM","1 to 5 months",209.912335581845,2398.36883655801,8752.29582632078,195.401644780069,226.123061499449,2232.57587103532,2583.58567839342
"COM","6-11 months",155.931556493097,1526.12519688669,10217.4812925701,143.972437416446,167.569577857348,1409.07953040383,1640.02823258605
"COM","12 to 23 months",110.467320149619,545.42416044702,20253.4702641486,101.532984079896,118.865342571831,501.31154195152,586.88877027775
"COM","2 to 4",137.845213877954,227.81130675548,60508.5040954134,127.18568093256,149.475689630461,210.19472028594,247.0325318153
"CPV","0 to 6 days (early neonatal)",111.225162738365,57689.6956594788,192.799011100504,104.439649464454,118.768239056718,54170.2205152964,61602.0997093212
"CPV","7 to 27 days (late neonatal)",24.6408235248713,4283.33192192212,575.272334108861,22.6333191538937,26.5895076048323,3934.36600578999,4622.07306492869
"CPV","1 to 5 months",56.4020906173778,1324.62896992806,4257.95387975253,52.169724450944,61.1230702024832,1225.2299091125,1435.50334100931
"CPV","6-11 months",45.9950246850158,912.91645842119,5038.25122887589,42.7051482841195,49.5854698769944,847.61847601728,984.18017729652
"CPV","12 to 23 months",27.6508396172725,272.56882921391,10144.5347573373,25.6930608100053,29.8909884461874,253.26997663862,294.65115119811
"CPV","2 to 4",31.7604027287514,102.63722774092,30944.3302667157,29.4559496356292,34.4400943724906,95.19013461187,111.29694543603
"DJI","0 to 6 days (early neonatal)",676.997341914203,102274.34532754,661.942483959273,639.228081398094,716.816976530835,96568.5232310039,108289.918520313
"DJI","7 to 27 days (late neonatal)",169.747531423051,8656.14038029066,1961.00714597412,157.303926538423,184.483632434097,8021.58864445564,9407.59613308071
"DJI","1 to 5 months",538.360046131075,3759.46793196437,14320.1127360002,498.767825766746,577.906950599892,3482.98812280201,4035.63129183372
"DJI","6-11 months",239.281183316647,1445.50486653915,16553.4678475028,220.767596876705,257.504172516079,1333.66373082972,1555.59049552825
"DJI","12 to 23 months",132.524084062323,410.32311162368,32297.4944155388,122.262850090533,143.25120089268,378.55212084722,443.53657608734
"DJI","2 to 4",218.923729396739,242.27340021091,90362.2639572303,201.928045343625,236.403870198968,223.46501349191,261.61791421124
"ERI","0 to 6 days (early neonatal)",2778.38600849673,74298.0314406957,3739.51497047996,2603.48856739278,2964.44360283017,69621.0227247366,79273.4786792333
"ERI","7 to 27 days (late neonatal)",873.798635999165,7875.26193223703,11095.4866456227,811.976786909576,946.232320586385,7318.0817826491,8528.08309187311
"ERI","1 to 5 months",1985.96818285917,2446.42026241619,81178.5372026694,1823.6213342155,2144.23453672555,2246.43285904828,2641.38109728718
"ERI","6-11 months",1517.64755931861,1612.14937018051,94138.1479526728,1405.88550497183,1635.57698293865,1493.42804755266,1737.42209562156
"ERI","12 to 23 months",1870.85310835859,1012.7128527448,184736.779363265,1738.7077649951,2021.29874844453,941.18116110281,1094.15069127619
"ERI","2 to 4",3681.25375015616,700.87573421425,525236.296600167,3389.31858780954,3969.96904971816,645.29405331437,755.84438383554
"ETH","0 to 6 days (early neonatal)",81977.0890860459,133583.264848914,61367.7837405485,77637.1025094604,86549.5914703708,126511.17211222,141034.246627329
"ETH","7 to 27 days (late neonatal)",22562.2071764794,12455.3042158776,181145.372167769,21013.7802420172,24437.600577081,11600.5062622053,13490.601655806
"ETH","1 to 5 months",39991.1041213342,3027.22587977305,1321047.90688207,37434.1002800145,43401.3834342365,2833.6671278157,3285.37543628318
"ETH","6-11 months",23181.7931401001,1517.51457862297,1527615.84413481,21559.6159994845,24896.0844391605,1411.32445583497,1629.73463091179
"ETH","12 to 23 months",20351.9612561001,677.24021719049,3005131.81874071,18963.0784046451,21867.5442992829,631.02318129231,727.67338067873
"ETH","2 to 4",34216.526292913,393.83999393288,8687925.76173571,31580.2952543496,36818.313352235,363.49637554961,423.7871542871
"GAB","0 to 6 days (early neonatal)",772.871788165948,79897.640581211,967.327423618188,730.938455681149,824.458275829764,75562.672765665,85230.5285366524
"GAB","7 to 27 days (late neonatal)",134.462210329217,4680.7507044745,2872.66335719781,124.743979273976,144.062643803797,4342.45032441462,5014.95044460505
"GAB","1 to 5 months",356.21716428625,1692.5208810379,21046.5447296466,328.218431184898,383.954202361136,1559.48843575527,1824.30991544323
"GAB","6-11 months",352.659551859875,1442.46042633759,24448.4732766831,326.477562474636,381.424859514853,1335.36993815479,1560.11729320793
"GAB","12 to 23 months",266.58378799303,555.60226124224,47981.0480607099,248.540592567587,287.41693653881,517.99742317657,599.02179747125
"GAB","2 to 4",352.894144264732,258.94407523424,136281.992142707,328.230458600977,379.150526548717,240.84653697847,278.21029072696
"GHA","0 to 6 days (early neonatal)",17571.3002620631,101984.209051752,17229.4323066688,16577.657735669,18482.1705329825,96217.0862080724,107270.919923629
"GHA","7 to 27 days (late neonatal)",2869.5342998833,5621.93338198638,51041.7698843208,2640.91553725976,3099.85950911493,5174.02814057003,6073.18185897617
